SEBI REPORT For Trade date 10-Mar-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,383515.82,
2,Fresh Exposure taken during the day,8559.87,
3,Exposure liquidated during the day,8699.95,
4,Net scripwise outstanding at the end of the day,383375.74,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,18872,70.01
Reliance Industries Ltd,INE002A01018,195789,2845.04
SJVN LIMITED,INE002L01015,642185,558.04
Mahanagar Gas Limited,INE002S01010,20103,249.46
"Siemens Ltd.,",INE003A01024,6774,230.48
Protean eGov Technologies Limited,INE004A01022,49782,513.95
Avantel Limited,INE005B01027,255254,439.37
ASTRAL LIMITED,INE006I01046,7342,117.92
CRISIL Ltd.,INE007A01025,1708,83.00
Geojit Financial Services Limited,INE007B01023,47553,48.86
Fedbank Financial Services Limited,INE007N01010,54468,78.47
IDBI LTD,INE008A01015,773587,769.74
Infosys Ltd,INE009A01021,191111,2730.27
Bikaji Foods International Limited,INE00E101023,10067,78.06
Hariom Pipe Industries Limited,INE00EV01017,9211,41.07
Prudent Corporate Advisory Services Limited,INE00F201020,382,9.80
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4821,89.91
SWIGGY LIMITED,INE00H001014,217539,847.38
STOVE KRAFT LIMITED,INE00IN01015,8091,50.35
Craftsman Automation Limited,INE00LO01017,720,55.30
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,293392,721.22
Interarch Building Solutions Limited,INE00M901018,2427,50.47
Studds Accessories Limited,INE00Q601028,6012,32.37
DALMIA BHARAT LIMITED,INE00R701025,4203,90.24
Highway Infrastructure Limited,INE00RL01028,9467,5.57
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,35700,46.00
Manorama Industries Limited,INE00VM01036,4617,67.41
AFFLE 3I LIMITED,INE00WC01027,7242,130.84
Flair Writing Industries Limited,INE00Y201027,1941,6.27
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2183,11.62
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,2454,28.42
PRISM JOHNSON LIMITED.,INE010A01011,16633,24.83
Zydus Lifesciences Limited,INE010B01027,16102,159.26
Tejas Networks Limited,INE010J01012,202483,1089.94
L&T Technology Services Limited,INE010V01017,6060,240.53
BALU FORGE INDUSTRIES LIMITED,INE011E01029,29834,144.97
Tega Industries Limited,INE011K01018,3276,64.65
ACC,INE012A01025,14445,262.73
R&B Denims Limited,INE012Q01021,5533,10.14
Onesource Specialty Pharma Limited,INE013P01021,205331,3036.75
WIM PLAST LT,INE015B01018,930,4.31
Tinna Rubber and Infrastructure Limited,INE015C01016,332,2.81
DABUR INDIA,INE016A01026,17235,91.86
CEINSYS TECH LIMITED,INE016Q01014,160,1.98
"Great Eastern Shipping Co. Ltd.,",INE017A01032,7815,98.66
LARSEN & TOU,INE018A01030,33023,1291.61
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,13179,110.81
JSW SL,INE019A01038,5417,62.53
Himadri Speciality Chemical Ltd.,INE019C01026,58867,291.79
STANLEY LIFESTYLES LIMITED,INE01A001028,3612,8.12
Antony Waste Handling Cell Limited,INE01BK01022,5860,31.20
Vishal Mega Mart Limited,INE01EA01019,310665,410.94
Ritco Logistics Limited,INE01EG01016,82,0.24
Baazar Style Retail Limited,INE01FR01028,109622,381.03
Sky Gold And Diamonds Limited,INE01IU01018,15769,55.52
eMudhra Limited,INE01QM01018,11818,66.94
Vikran Engineering Limited,INE01R501028,548960,519.10
Canara HSBC Life Insurance Company Limited,INE01TY01017,9375,13.85
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,555352,2097.58
Asian Paints Ltd.,INE021A01026,11128,287.57
Dodla Dairy Limited,INE021O01019,435,5.43
ASIAN GRANITO INDIA LIMITED,INE022I01019,23402,16.79
Indian Energy Exchange Limited,INE022Q01020,244812,351.43
Nalwa Sons Investment Ltd,INE023A01030,31,1.97
Aeroflex Industries Limited,INE024001021,32042,67.64
SHILCHAR TEC,INE024F01011,2568,97.10
GRAVITA INDIA LIMITED,INE024L01027,14321,248.65
Goldiam International Ltd.,INE025B01025,140627,497.33
Artemis Medicare Services Limited,INE025R01021,1424,4.39
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,107531,208.83
"Lotus Chocolate Co. Ltd.,",INE026D01011,10,0.08
RASHTRIYA CH,INE027A01015,223991,353.31
Max Healthcare Institute Limited,INE027H01010,19344,225.61
Bank Of Baroda,INE028A01039,107354,312.67
BHARAT PETRO,INE029A01011,57217,202.47
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,1410,8.76
Raymond Lifestyle Limited,INE02ID01020,9668,110.97
Azad Engineering Limited,INE02IJ01035,21426,372.53
Borosil Scientific Limited,INE02L001032,182,0.24
Fino Payments Bank Limited,INE02NC01014,21072,52.17
Borosil Limited,INE02PY01013,6340,20.56
Brainbees Solutions Limited,INE02RE01045,55960,166.35
WONDER ELECTRICALS LIMITED,INE02WG01024,7492,12.48
Electronics Mart India Limited,INE02YR01019,52684,73.78
Corona Remedies Limited,INE02ZQ01018,42,0.66
"Hindustan Unilever Ltd.,",INE030A01027,15486,375.57
Housing &Urban Development Corporation Ltd.,INE031A01017,747015,1600.44
Ajanta Pharma Ltd.,INE031B01049,934,26.72
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,778037,940.19
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,21775,77.99
Arvind SmartSpaces Limited,INE034S01021,4351,29.22
SOTL,INE035D01020,1180,5.39
