SEBI REPORT For Trade date 30-Dec-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,355272.27,
2,Fresh Exposure taken during the day,6958.10,
3,Exposure liquidated during the day,8262.07,
4,Net scripwise outstanding at the end of the day,353968.30,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,40956,163.97
Reliance Industries Ltd,INE002A01018,78896,1161.87
SJVN LIMITED,INE002L01015,571413,541.05
Mahanagar Gas Limited,INE002S01010,27204,346.34
"Siemens Ltd.,",INE003A01024,11860,399.51
Protean eGov Technologies Limited,INE004A01022,69300,777.47
Avantel Limited,INE005B01027,296197,516.86
ASTRAL LIMITED,INE006I01046,11719,175.21
CRISIL Ltd.,INE007A01025,2552,121.65
Geojit Financial Services Limited,INE007B01023,39270,43.45
Fedbank Financial Services Limited,INE007N01010,30020,43.03
IDBI LTD,INE008A01015,855213,816.81
Infosys Ltd,INE009A01021,59405,937.92
Bikaji Foods International Limited,INE00E101023,11203,88.12
Hariom Pipe Industries Limited,INE00EV01017,13219,56.37
Prudent Corporate Advisory Services Limited,INE00F201020,413,11.10
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4236,68.02
SWIGGY LIMITED,INE00H001014,165752,701.63
STOVE KRAFT LIMITED,INE00IN01015,7033,45.41
Craftsman Automation Limited,INE00LO01017,973,68.83
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,256234,694.64
Interarch Building Solutions Limited,INE00M901018,956,23.46
Studds Accessories Limited,INE00Q601028,592,3.17
DALMIA BHARAT LIMITED,INE00R701025,6665,144.42
Highway Infrastructure Limited,INE00RL01028,2462,1.67
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39868,54.21
Manorama Industries Limited,INE00VM01036,6540,95.90
AFFLE 3I LIMITED,INE00WC01027,10842,204.57
Flair Writing Industries Limited,INE00Y201027,2413,7.82
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,1895,10.55
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,1561,16.96
PRISM JOHNSON LIMITED.,INE010A01011,16048,24.72
Zydus Lifesciences Limited,INE010B01027,25811,256.02
Tejas Networks Limited,INE010J01012,133053,868.30
L&T Technology Services Limited,INE010V01017,3445,155.16
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3340,21.11
Tega Industries Limited,INE011K01018,5539,112.11
ACC,INE012A01025,101556,1842.48
Onesource Specialty Pharma Limited,INE013P01021,1991,36.79
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,389,3.41
DABUR INDIA,INE016A01026,36872,195.42
CEINSYS TECH LIMITED,INE016Q01014,0,0.00
