SEBI REPORT For Trade date 05-May-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,418280.04,
2,Fresh Exposure taken during the day,12149.89,
3,Exposure liquidated during the day,16181.64,
4,Net scripwise outstanding at the end of the day,414248.28,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,15931,58.80
Reliance Industries Ltd,INE002A01018,220874,3123.22
SJVN LIMITED,INE002L01015,609728,513.68
Mahanagar Gas Limited,INE002S01010,23610,279.70
"Siemens Ltd.,",INE003A01024,3844,139.35
Protean eGov Technologies Limited,INE004A01022,51739,454.21
Avantel Limited,INE005B01027,300485,490.05
ASTRAL LIMITED,INE006I01046,16494,262.55
CRISIL Ltd.,INE007A01025,2256,104.09
Geojit Financial Services Limited,INE007B01023,23072,17.58
Fedbank Financial Services Limited,INE007N01010,55692,81.49
IDBI LTD,INE008A01015,1280929,1056.51
Infosys Ltd,INE009A01021,397117,5060.33
Bikaji Foods International Limited,INE00E101023,8830,68.25
Hariom Pipe Industries Limited,INE00EV01017,8013,30.70
Prudent Corporate Advisory Services Limited,INE00F201020,227,6.09
ACUTAAS CHEMICALS LIMITED,INE00FF01025,11824,272.27
SWIGGY LIMITED,INE00H001014,256636,884.95
STOVE KRAFT LIMITED,INE00IN01015,12134,72.68
Craftsman Automation Limited,INE00LO01017,765,58.02
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,352127,828.37
Interarch Building Solutions Limited,INE00M901018,3779,77.01
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,6246,32.72
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,4555,93.65
Highway Infrastructure Limited,INE00RL01028,107,0.08
Nila Spaces Ltd,INE00S901012,92,0.01
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,36164,43.72
Manorama Industries Limited,INE00VM01036,3203,47.36
AFFLE 3I LIMITED,INE00WC01027,9910,167.10
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,923,17.57
Flair Writing Industries Limited,INE00Y201027,1527,4.96
A B INFRABUILD LIMITED,INE00YB01025,4066,0.64
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2695,12.86
Entero Healthcare Solutions Limited,INE010601016,485,5.63
PRISM JOHNSON LIMITED.,INE010A01011,30774,43.53
Zydus Lifesciences Limited,INE010B01027,15994,156.57
Tejas Networks Limited,INE010J01012,184571,965.70
L&T Technology Services Limited,INE010V01017,5729,223.03
BALU FORGE INDUSTRIES LIMITED,INE011E01029,12318,60.94
Tega Industries Limited,INE011K01018,2939,56.76
ACC,INE012A01025,19081,314.23
Onesource Specialty Pharma Limited,INE013P01021,7425,107.28
Tinna Rubber and Infrastructure Limited,INE015C01016,562,4.32
DABUR INDIA,INE016A01026,34395,165.61
CEINSYS TECH LIMITED,INE016Q01014,1034,11.62
"Great Eastern Shipping Co. Ltd.,",INE017A01032,18415,270.92
LARSEN & TOU,INE018A01030,67784,2606.06
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,24425,180.09
JSW SL,INE019A01038,14729,185.06
Himadri Speciality Chemical Ltd.,INE019C01026,64794,350.18
STANLEY LIFESTYLES LIMITED,INE01A001028,3963,6.78
Antony Waste Handling Cell Limited,INE01BK01022,8422,44.90
Vishal Mega Mart Limited,INE01EA01019,271104,355.23
Ritco Logistics Limited,INE01EG01016,81,0.24
Baazar Style Retail Limited,INE01FR01028,6055,23.02
Sky Gold And Diamonds Limited,INE01IU01018,15441,55.99
eMudhra Limited,INE01QM01018,5832,32.52
Vikran Engineering Limited,INE01R501028,534132,492.61
Canara HSBC Life Insurance Company Limited,INE01TY01017,21392,31.36
Spencer's Retail Limited,INE020801028,2,0.00
REC LIMITED,INE020B01018,394233,1485.60
Asian Paints Ltd.,INE021A01026,11846,303.43
Dodla Dairy Limited,INE021O01019,1782,20.05
ASIAN GRANITO INDIA LIMITED,INE022I01019,82573,61.76
Indian Energy Exchange Limited,INE022Q01020,333092,456.12
Nalwa Sons Investment Ltd,INE023A01030,16,1.00
Aeroflex Industries Limited,INE024001021,55460,158.13
Shilchar Technologies Ltd.,INE024F01011,3177,134.05
GRAVITA INDIA LIMITED,INE024L01027,12120,206.26
Goldiam International Ltd.,INE025B01025,26077,100.53
Artemis Medicare Services Limited,INE025R01021,9774,23.73
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,396950,654.21
"Lotus Chocolate Co. Ltd.,",INE026D01011,20,0.15
RASHTRIYA CH,INE027A01015,195775,292.81
Max Healthcare Institute Limited,INE027H01010,23210,252.62
Bank Of Baroda,INE028A01039,244025,679.63
BHARAT PETRO,INE029A01011,142152,447.09
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,5918,29.58
Anand Rayons Limited,INE02GA01012,2000,1.35
Raymond Lifestyle Limited,INE02ID01020,12091,119.83
Azad Engineering Limited,INE02IJ01035,7877,150.82
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,20995,44.14
Borosil Limited,INE02PY01013,6299,18.39
Brainbees Solutions Limited,INE02RE01045,60372,174.00
WONDER ELECTRICALS LIMITED,INE02WG01024,2813,3.77
Electronics Mart India Limited,INE02YR01019,57409,79.82
Corona Remedies Limited,INE02ZQ01018,220,3.65
"Hindustan Unilever Ltd.,",INE030A01027,23453,547.08
