SEBI REPORT For Trade date 17-Feb-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,394582.99,
2,Fresh Exposure taken during the day,8473.50,
3,Exposure liquidated during the day,11119.00,
4,Net scripwise outstanding at the end of the day,391937.49,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,16862,64.70
Reliance Industries Ltd,INE002A01018,202641,2972.34
SJVN LIMITED,INE002L01015,716010,624.06
Mahanagar Gas Limited,INE002S01010,25030,311.09
"Siemens Ltd.,",INE003A01024,10337,344.50
Protean eGov Technologies Limited,INE004A01022,45633,500.29
Avantel Limited,INE005B01027,312897,536.33
ASTRAL LIMITED,INE006I01046,6852,107.20
CRISIL Ltd.,INE007A01025,1695,83.32
Geojit Financial Services Limited,INE007B01023,46396,48.31
Fedbank Financial Services Limited,INE007N01010,73653,113.64
IDBI LTD,INE008A01015,823879,806.87
Infosys Ltd,INE009A01021,149205,2220.20
Bikaji Foods International Limited,INE00E101023,13093,99.76
Hariom Pipe Industries Limited,INE00EV01017,10206,45.13
Prudent Corporate Advisory Services Limited,INE00F201020,245,6.60
ACUTAAS CHEMICALS LIMITED,INE00FF01025,5459,100.12
SWIGGY LIMITED,INE00H001014,251770,983.26
STOVE KRAFT LIMITED,INE00IN01015,7043,45.12
Craftsman Automation Limited,INE00LO01017,898,69.40
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,305717,757.72
Interarch Building Solutions Limited,INE00M901018,1762,38.15
Studds Accessories Limited,INE00Q601028,6097,32.80
DALMIA BHARAT LIMITED,INE00R701025,4559,98.36
Highway Infrastructure Limited,INE00RL01028,10637,6.26
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,29636,39.39
Manorama Industries Limited,INE00VM01036,5363,77.83
AFFLE 3I LIMITED,INE00WC01027,7346,136.88
Flair Writing Industries Limited,INE00Y201027,2806,9.06
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2332,12.53
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,2951,34.38
PRISM JOHNSON LIMITED.,INE010A01011,23407,33.47
Zydus Lifesciences Limited,INE010B01027,19922,194.84
Tejas Networks Limited,INE010J01012,153801,847.83
L&T Technology Services Limited,INE010V01017,5396,224.04
BALU FORGE INDUSTRIES LIMITED,INE011E01029,13763,66.92
Tega Industries Limited,INE011K01018,3914,76.38
ACC,INE012A01025,16405,301.79
R&B Denims Limited,INE012Q01021,35062,61.81
Onesource Specialty Pharma Limited,INE013P01021,2870,46.37
WIM PLAST LT,INE015B01018,930,4.31
Tinna Rubber and Infrastructure Limited,INE015C01016,332,2.82
DABUR INDIA,INE016A01026,20644,110.20
CEINSYS TECH LIMITED,INE016Q01014,150,1.89
"Great Eastern Shipping Co. Ltd.,",INE017A01032,7292,87.13
LARSEN & TOU,INE018A01030,16995,648.87
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,15997,134.60
JSW SL,INE019A01038,8165,96.18
Himadri Speciality Chemical Ltd.,INE019C01026,67260,331.55
STANLEY LIFESTYLES LIMITED,INE01A001028,3899,8.77
Antony Waste Handling Cell Limited,INE01BK01022,4282,24.22
Vishal Mega Mart Limited,INE01EA01019,287076,396.39
Ritco Logistics Limited,INE01EG01016,83,0.24
Baazar Style Retail Limited,INE01FR01028,108826,379.62
Sky Gold And Diamonds Limited,INE01IU01018,15747,55.50
eMudhra Limited,INE01QM01018,11801,69.59
Vikran Engineering Limited,INE01R501028,584597,569.18
Canara HSBC Life Insurance Company Limited,INE01TY01017,11117,16.57
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,587661,2252.75
Asian Paints Ltd.,INE021A01026,13424,354.83
Dodla Dairy Limited,INE021O01019,358,4.59
ASIAN GRANITO INDIA LIMITED,INE022I01019,19769,14.14
Indian Energy Exchange Limited,INE022Q01020,249279,365.54
Nalwa Sons Investment Ltd,INE023A01030,32,2.04
Aeroflex Industries Limited,INE024001021,39840,78.94
