SEBI REPORT For Trade date 06-Apr-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,384072.22,
2,Fresh Exposure taken during the day,8932.45,
3,Exposure liquidated during the day,10893.70,
4,Net scripwise outstanding at the end of the day,382110.98,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,16287,59.93
Reliance Industries Ltd,INE002A01018,308244,4293.05
SJVN LIMITED,INE002L01015,646648,545.20
Mahanagar Gas Limited,INE002S01010,19392,233.32
"Siemens Ltd.,",INE003A01024,4980,167.72
Protean eGov Technologies Limited,INE004A01022,46889,449.58
Avantel Limited,INE005B01027,302683,494.79
ASTRAL LIMITED,INE006I01046,5119,82.32
CRISIL Ltd.,INE007A01025,2212,100.42
Geojit Financial Services Limited,INE007B01023,29510,21.10
Fedbank Financial Services Limited,INE007N01010,54979,78.83
IDBI LTD,INE008A01015,743988,654.20
Infosys Ltd,INE009A01021,150300,2103.29
Bikaji Foods International Limited,INE00E101023,9562,73.78
Hariom Pipe Industries Limited,INE00EV01017,6326,27.25
Prudent Corporate Advisory Services Limited,INE00F201020,285,7.55
ACUTAAS CHEMICALS LIMITED,INE00FF01025,14949,331.19
SWIGGY LIMITED,INE00H001014,213522,777.18
STOVE KRAFT LIMITED,INE00IN01015,12772,74.87
Craftsman Automation Limited,INE00LO01017,612,44.93
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,283766,681.08
Interarch Building Solutions Limited,INE00M901018,2544,51.10
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,5274,28.24
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,3324,70.16
Highway Infrastructure Limited,INE00RL01028,1375,0.96
Nila Spaces Ltd,INE00S901012,3,0.00
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,32306,41.39
Manorama Industries Limited,INE00VM01036,3802,53.40
AFFLE 3I LIMITED,INE00WC01027,7702,135.27
Flair Writing Industries Limited,INE00Y201027,1731,5.60
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,1891,10.00
Entero Healthcare Solutions Limited,INE010601016,2521,29.74
PRISM JOHNSON LIMITED.,INE010A01011,13960,20.95
Zydus Lifesciences Limited,INE010B01027,16149,158.35
Tejas Networks Limited,INE010J01012,198018,1040.31
L&T Technology Services Limited,INE010V01017,5718,223.42
BALU FORGE INDUSTRIES LIMITED,INE011E01029,20172,95.60
Tega Industries Limited,INE011K01018,2439,48.13
ACC,INE012A01025,16394,278.07
R&B Denims Limited,INE012Q01039,2006,1.85
Onesource Specialty Pharma Limited,INE013P01021,205999,3047.72
Tinna Rubber and Infrastructure Limited,INE015C01016,362,2.79
DABUR INDIA,INE016A01026,22696,113.36
CEINSYS TECH LIMITED,INE016Q01014,223,2.61
"Great Eastern Shipping Co. Ltd.,",INE017A01032,6951,90.12
LARSEN & TOU,INE018A01030,42929,1588.13
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,15581,121.61
JSW SL,INE019A01038,6006,69.80
Himadri Speciality Chemical Ltd.,INE019C01026,51640,249.91
STANLEY LIFESTYLES LIMITED,INE01A001028,3382,5.67
Antony Waste Handling Cell Limited,INE01BK01022,5466,27.75
Vishal Mega Mart Limited,INE01EA01019,256521,333.12
Ritco Logistics Limited,INE01EG01016,581,1.15
Baazar Style Retail Limited,INE01FR01028,107579,374.46
Sky Gold And Diamonds Limited,INE01IU01018,14669,51.31
eMudhra Limited,INE01QM01018,9325,51.97
Vikran Engineering Limited,INE01R501028,564339,519.14
Canara HSBC Life Insurance Company Limited,INE01TY01017,5123,7.39
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,491498,1812.68
Asian Paints Ltd.,INE021A01026,12832,321.20
Dodla Dairy Limited,INE021O01019,349,4.31
ASIAN GRANITO INDIA LIMITED,INE022I01019,21523,14.66
Indian Energy Exchange Limited,INE022Q01020,219782,314.79
Nalwa Sons Investment Ltd,INE023A01030,36,1.96
Aeroflex Industries Limited,INE024001021,26497,60.69
Shilchar Technologies Ltd.,INE024F01011,2595,98.48
GRAVITA INDIA LIMITED,INE024L01027,14225,234.21
Goldiam International Ltd.,INE025B01025,24014,88.30
Artemis Medicare Services Limited,INE025R01021,1264,3.99
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,420016,697.77
"Lotus Chocolate Co. Ltd.,",INE026D01011,10,0.08
RASHTRIYA CH,INE027A01015,194077,289.36
Max Healthcare Institute Limited,INE027H01010,16247,183.44
Bank Of Baroda,INE028A01039,157632,438.76
BHARAT PETRO,INE029A01011,97439,308.11
Kalyani Investment Company Limited,INE029L01018,8,0.38
ROSSARI BIOTECH LIMITED,INE02A801020,1064,5.97
Anand Rayons Limited,INE02GA01012,2000,1.35
Raymond Lifestyle Limited,INE02ID01020,9029,95.22
Azad Engineering Limited,INE02IJ01035,19986,346.34
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,17753,40.14
Borosil Limited,INE02PY01013,3244,10.68
Brainbees Solutions Limited,INE02RE01045,44158,134.84
WONDER ELECTRICALS LIMITED,INE02WG01024,20797,18.32
Electronics Mart India Limited,INE02YR01019,52541,71.55
Corona Remedies Limited,INE02ZQ01018,149,2.38
"Hindustan Unilever Ltd.,",INE030A01027,19012,436.88
Housing &Urban Development Corporation Ltd.,INE031A01017,596037,1242.84
Ajanta Pharma Ltd.,INE031B01049,1157,33.53
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,220538,287.40
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,20787,75.51
Arvind SmartSpaces Limited,INE034S01021,3888,26.70
SOTL,INE035D01020,1180,5.39
Gujarat Ambuja Exports Ltd.,INE036B01030,26712,38.41
KARUR VYSYA,INE036D01028,28706,79.78
Concord Enviro Systems Limited,INE037Z01029,274,1.42
Hindalco Industries Ltd.,INE038A01020,38985,348.37
T.V.Today Network Limited,INE038F01029,637,0.90
IFCI LTD,INE039A01010,720921,428.05
"Jamna Auto Industries Ltd.,",INE039C01032,76521,97.20
JASH ENGINEERING LIMITED,INE039O01029,6488,32.70
