SEBI REPORT For Trade date 18-Mar-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,378210.29,
2,Fresh Exposure taken during the day,10789.15,
3,Exposure liquidated during the day,9209.18,
4,Net scripwise outstanding at the end of the day,379790.25,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,37608,122.64
Reliance Industries Ltd,INE002A01018,238312,3434.22
SJVN LIMITED,INE002L01015,619410,538.25
Mahanagar Gas Limited,INE002S01010,20122,247.68
"Siemens Ltd.,",INE003A01024,6508,221.32
Protean eGov Technologies Limited,INE004A01022,48230,493.87
Avantel Limited,INE005B01027,293517,488.70
ASTRAL LIMITED,INE006I01046,5195,83.54
CRISIL Ltd.,INE007A01025,1684,81.42
Geojit Financial Services Limited,INE007B01023,46408,48.04
Fedbank Financial Services Limited,INE007N01010,51352,74.26
IDBI LTD,INE008A01015,814304,753.19
Infosys Ltd,INE009A01021,180477,2563.54
Bikaji Foods International Limited,INE00E101023,9955,76.42
Hariom Pipe Industries Limited,INE00EV01017,8545,37.90
Prudent Corporate Advisory Services Limited,INE00F201020,298,7.84
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4748,89.59
SWIGGY LIMITED,INE00H001014,196587,760.96
STOVE KRAFT LIMITED,INE00IN01015,12056,72.04
Craftsman Automation Limited,INE00LO01017,739,54.60
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,291875,712.75
Interarch Building Solutions Limited,INE00M901018,2119,43.90
Studds Accessories Limited,INE00Q601028,5133,27.62
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,3849,82.63
Highway Infrastructure Limited,INE00RL01028,1385,0.96
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,34219,44.11
Manorama Industries Limited,INE00VM01036,4815,69.91
AFFLE 3I LIMITED,INE00WC01027,7029,127.08
Flair Writing Industries Limited,INE00Y201027,1746,5.65
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,1960,10.59
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,1927,22.36
PRISM JOHNSON LIMITED.,INE010A01011,14573,21.89
Zydus Lifesciences Limited,INE010B01027,15398,152.37
Tejas Networks Limited,INE010J01012,205147,1088.28
L&T Technology Services Limited,INE010V01017,5756,227.21
BALU FORGE INDUSTRIES LIMITED,INE011E01029,20259,96.77
Tega Industries Limited,INE011K01018,3091,61.14
ACC,INE012A01025,16322,284.63
R&B Denims Limited,INE012Q01021,3320,6.13
Onesource Specialty Pharma Limited,INE013P01021,204264,3022.67
WIM PLAST LT,INE015B01018,830,3.85
Tinna Rubber and Infrastructure Limited,INE015C01016,357,2.97
DABUR INDIA,INE016A01026,17506,92.59
CEINSYS TECH LIMITED,INE016Q01014,242,2.79
"Great Eastern Shipping Co. Ltd.,",INE017A01032,7487,96.06
LARSEN & TOU,INE018A01030,45099,1705.56
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,12645,106.15
JSW SL,INE019A01038,5374,62.83
Himadri Speciality Chemical Ltd.,INE019C01026,60076,296.88
STANLEY LIFESTYLES LIMITED,INE01A001028,3622,8.13
Antony Waste Handling Cell Limited,INE01BK01022,6600,33.72
Vishal Mega Mart Limited,INE01EA01019,290872,381.31
Ritco Logistics Limited,INE01EG01016,83,0.24
Baazar Style Retail Limited,INE01FR01028,112198,387.63
Sky Gold And Diamonds Limited,INE01IU01018,14770,51.70
eMudhra Limited,INE01QM01018,10517,59.80
Vikran Engineering Limited,INE01R501028,553358,520.42
Canara HSBC Life Insurance Company Limited,INE01TY01017,4989,7.20
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,546788,2056.89
Asian Paints Ltd.,INE021A01026,11224,288.79
Dodla Dairy Limited,INE021O01019,399,5.00
ASIAN GRANITO INDIA LIMITED,INE022I01019,25775,18.21
Indian Energy Exchange Limited,INE022Q01020,247605,351.33
Nalwa Sons Investment Ltd,INE023A01030,21,1.33
Aeroflex Industries Limited,INE024001021,20012,43.01
Shilchar Technologies Ltd.,INE024F01011,2544,96.31
GRAVITA INDIA LIMITED,INE024L01027,13017,223.54
Goldiam International Ltd.,INE025B01025,140628,496.52
Artemis Medicare Services Limited,INE025R01021,1224,3.91
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,426700,711.97
"Lotus Chocolate Co. Ltd.,",INE026D01011,10,0.08
RASHTRIYA CH,INE027A01015,229673,359.27
Max Healthcare Institute Limited,INE027H01010,19938,227.41
Bank Of Baroda,INE028A01039,126026,365.07
BHARAT PETRO,INE029A01011,78035,263.44
Kalyani Investment Company Limited,INE029L01018,4,0.20
ROSSARI BIOTECH LIMITED,INE02A801020,1467,8.76
Raymond Lifestyle Limited,INE02ID01020,8670,99.73
Azad Engineering Limited,INE02IJ01035,22471,388.64
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,21380,50.92
