SEBI REPORT For Trade date 07-Jan-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,359317.56,
2,Fresh Exposure taken during the day,9019.57,
3,Exposure liquidated during the day,9530.86,
4,Net scripwise outstanding at the end of the day,358806.27,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,41194,164.83
Reliance Industries Ltd,INE002A01018,151040,2267.73
SJVN LIMITED,INE002L01015,552631,523.11
Mahanagar Gas Limited,INE002S01010,30228,376.77
"Siemens Ltd.,",INE003A01024,12543,420.37
Protean eGov Technologies Limited,INE004A01022,67775,763.39
Avantel Limited,INE005B01027,301998,525.18
ASTRAL LIMITED,INE006I01046,9392,142.17
CRISIL Ltd.,INE007A01025,1792,88.43
Geojit Financial Services Limited,INE007B01023,47545,49.51
Fedbank Financial Services Limited,INE007N01010,27733,40.07
IDBI LTD,INE008A01015,704934,687.74
Infosys Ltd,INE009A01021,62374,986.94
Bikaji Foods International Limited,INE00E101023,11613,90.83
Hariom Pipe Industries Limited,INE00EV01017,10806,47.32
Prudent Corporate Advisory Services Limited,INE00F201020,343,9.27
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4170,66.73
SWIGGY LIMITED,INE00H001014,210040,866.43
STOVE KRAFT LIMITED,INE00IN01015,6808,43.94
Craftsman Automation Limited,INE00LO01017,453,31.80
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,260683,703.21
Interarch Building Solutions Limited,INE00M901018,760,18.22
Studds Accessories Limited,INE00Q601028,6077,32.82
DALMIA BHARAT LIMITED,INE00R701025,6795,147.06
Highway Infrastructure Limited,INE00RL01028,9311,5.67
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,38513,52.16
Manorama Industries Limited,INE00VM01036,6010,88.54
AFFLE 3I LIMITED,INE00WC01027,10221,193.11
Flair Writing Industries Limited,INE00Y201027,2478,8.02
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2275,12.28
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,1262,14.52
PRISM JOHNSON LIMITED.,INE010A01011,17717,26.97
Zydus Lifesciences Limited,INE010B01027,23430,233.73
Tejas Networks Limited,INE010J01012,131772,858.74
L&T Technology Services Limited,INE010V01017,3720,167.05
BALU FORGE INDUSTRIES LIMITED,INE011E01029,9390,52.86
Tega Industries Limited,INE011K01018,5760,116.32
ACC,INE012A01025,99938,1812.93
Onesource Specialty Pharma Limited,INE013P01021,2856,52.40
WIM PLAST LT,INE015B01018,5812,29.50
Tinna Rubber and Infrastructure Limited,INE015C01016,399,3.49
DABUR INDIA,INE016A01026,24033,128.25
CEINSYS TECH LIMITED,INE016Q01014,300,3.32
"Great Eastern Shipping Co. Ltd.,",INE017A01032,20538,231.89
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,18704,710.47
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,10098,90.21
JSW SL,INE019A01038,18747,218.36
Himadri Speciality Chemical Ltd.,INE019C01026,62567,310.53
STANLEY LIFESTYLES LIMITED,INE01A001028,1744,4.63
Antony Waste Handling Cell Limited,INE01BK01022,4282,24.21
Vishal Mega Mart Limited,INE01EA01019,321193,454.79
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,8623,26.22
Sky Gold And Diamonds Limited,INE01IU01018,16470,57.62
eMudhra Limited,INE01QM01018,8094,53.63
Vikran Engineering Limited,INE01R501028,507304,511.49
Canara HSBC Life Insurance Company Limited,INE01TY01017,3181,4.54
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,518932,2014.46
Asian Paints Ltd.,INE021A01026,12400,347.50
Dodla Dairy Limited,INE021O01019,640,8.45
ASIAN GRANITO INDIA LIMITED,INE022I01019,11489,8.19
Indian Energy Exchange Limited,INE022Q01020,138915,222.89
Nalwa Sons Investment Ltd,INE023A01030,46,2.99
Aeroflex Industries Limited,INE024001021,71098,136.40
SHILCHAR TEC,INE024F01011,1322,52.30
GRAVITA INDIA LIMITED,INE024L01027,14907,274.59
Goldiam International Ltd.,INE025B01025,56383,229.05
Artemis Medicare Services Limited,INE025R01021,2390,7.39
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,123700,246.86
RASHTRIYA CH,INE027A01015,266993,434.41
Max Healthcare Institute Limited,INE027H01010,31494,362.40
Bank Of Baroda,INE028A01039,129320,369.98
BHARAT PETRO,INE029A01011,60316,218.44
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,2539,16.16
Raymond Lifestyle Limited,INE02ID01020,10679,127.90
Azad Engineering Limited,INE02IJ01035,19144,334.49
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,14861,40.81
Borosil Limited,INE02PY01013,6681,22.83
Brainbees Solutions Limited,INE02RE01045,45024,160.14
WONDER ELECTRICALS LIMITED,INE02WG01024,13853,23.36
Electronics Mart India Limited,INE02YR01019,62609,87.47
"Hindustan Unilever Ltd.,",INE030A01027,12536,312.73
Housing &Urban Development Corporation Ltd.,INE031A01017,388726,930.21
Ajanta Pharma Ltd.,INE031B01049,1874,53.06
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,944146,1234.82
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,17529,57.92
Arvind SmartSpaces Limited,INE034S01021,4232,29.62
SOTL,INE035D01020,1212,5.54
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,8353,11.12
KARUR VYSYA,INE036D01028,19506,46.70
Concord Enviro Systems Limited,INE037Z01029,822,4.39
Hindalco Industries Ltd.,INE038A01020,39262,339.91
T.V.Today Network Limited,INE038F01029,232,0.46
IFCI LTD,INE039A01010,637080,370.03
"Jamna Auto Industries Ltd.,",INE039C01032,65581,72.17
JASH ENGINEERING LIMITED,INE039O01029,8328,42.05
Max Estates Limited,INE03EI01018,3574,16.68
VL E-Governance & IT Solutions Limited,INE03HW01020,5000,1.00
Go Digit General Insurance Limited,INE03JT01014,7391,26.67
Brigade Hotel Ventures Limited,INE03NU01014,2478,2.13
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,3301,30.75
Cohance Lifesciences Limited,INE03QK01018,13822,97.77
Chemcon Speciality Chemicals Limited,INE03YM01018,299,0.68
HDFC Bank Ltd.,INE040A01034,145605,1447.58
Mayur Uniquoters ltd.,INE040D01038,277,1.62
SUZLON ENERGY LTD.,INE040H01021,7016643,4175.25
"Dhampur Sugar Mills Ltd.,",INE041A01016,44896,64.71
Escorts Kubota Limited,INE042A01014,3495,130.42
Vijaya Diagnostic Centre Limited,INE043W01024,1111,11.46
Sun Pharmaceutical Industries Ltd.,INE044A01036,15894,265.89
Paras Defence and Space Technologies Limited,INE045601023,30735,223.52
ADOR WELDING,INE045A01017,650,7.17
Nelco Ltd,INE045B01015,12167,104.33
Fineotex Chemical Limited,INE045J01034,129265,38.62
Reliance Industrial Infrastructure,INE046A01015,6290,58.44
Muthoot Microfin Limited,INE046W01019,6623,11.54
GRASIM INDUS,INE047A01021,3085,88.02
JAGSONPAL PH,INE048B01035,5168,12.50
Navin Fluorent International Ltd,INE048G01026,1571,88.89
"Himatsingka Seide Ltd.,",INE049A01027,76581,105.60
Wockhardt Ltd,INE049B01025,75639,1086.18
SBC EXPORTS LIMITED,INE04AK01028,416185,102.82
