SEBI REPORT For Trade date 16-Jan-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,362040.74,
2,Fresh Exposure taken during the day,8919.30,
3,Exposure liquidated during the day,8461.79,
4,Net scripwise outstanding at the end of the day,362498.25,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,39190,156.42
Reliance Industries Ltd,INE002A01018,189802,2829.44
SJVN LIMITED,INE002L01015,546885,504.76
Mahanagar Gas Limited,INE002S01010,29617,368.83
"Siemens Ltd.,",INE003A01024,13425,441.41
Protean eGov Technologies Limited,INE004A01022,68047,762.96
Avantel Limited,INE005B01027,314334,544.12
ASTRAL LIMITED,INE006I01046,9041,137.12
CRISIL Ltd.,INE007A01025,1779,87.92
Geojit Financial Services Limited,INE007B01023,50845,51.89
Fedbank Financial Services Limited,INE007N01010,62926,100.07
IDBI LTD,INE008A01015,730716,715.94
Infosys Ltd,INE009A01021,52578,835.06
Bikaji Foods International Limited,INE00E101023,11827,92.26
Hariom Pipe Industries Limited,INE00EV01017,11328,49.58
Prudent Corporate Advisory Services Limited,INE00F201020,493,12.87
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4545,73.63
SWIGGY LIMITED,INE00H001014,226252,919.32
STOVE KRAFT LIMITED,INE00IN01015,6916,44.47
Craftsman Automation Limited,INE00LO01017,440,30.92
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,309038,790.66
Interarch Building Solutions Limited,INE00M901018,1097,25.08
Studds Accessories Limited,INE00Q601028,6067,32.76
DALMIA BHARAT LIMITED,INE00R701025,5810,125.47
Highway Infrastructure Limited,INE00RL01028,8362,5.10
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,40706,54.55
Manorama Industries Limited,INE00VM01036,6070,89.32
AFFLE 3I LIMITED,INE00WC01027,9583,180.36
Flair Writing Industries Limited,INE00Y201027,2133,6.90
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2021,10.95
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,1430,16.54
PRISM JOHNSON LIMITED.,INE010A01011,16899,25.65
Zydus Lifesciences Limited,INE010B01027,21689,212.40
Tejas Networks Limited,INE010J01012,143243,873.07
L&T Technology Services Limited,INE010V01017,6028,259.16
BALU FORGE INDUSTRIES LIMITED,INE011E01029,13472,70.83
Tega Industries Limited,INE011K01018,5800,116.83
ACC,INE012A01025,98753,1791.29
Onesource Specialty Pharma Limited,INE013P01021,1986,36.69
WIM PLAST LT,INE015B01018,5812,29.50
Tinna Rubber and Infrastructure Limited,INE015C01016,575,4.73
DABUR INDIA,INE016A01026,23599,126.10
CEINSYS TECH LIMITED,INE016Q01014,700,7.70
"Great Eastern Shipping Co. Ltd.,",INE017A01032,20283,229.53
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,21284,808.64
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,10159,90.50
JSW SL,INE019A01038,14385,167.86
Himadri Speciality Chemical Ltd.,INE019C01026,61143,303.17
STANLEY LIFESTYLES LIMITED,INE01A001028,1774,4.68
Antony Waste Handling Cell Limited,INE01BK01022,2930,17.09
Vishal Mega Mart Limited,INE01EA01019,308541,435.12
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,9995,29.43
Sky Gold And Diamonds Limited,INE01IU01018,16457,57.57
eMudhra Limited,INE01QM01018,7994,52.95
Vikran Engineering Limited,INE01R501028,508729,512.21
Canara HSBC Life Insurance Company Limited,INE01TY01017,13975,19.83
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,525342,2036.77
Asian Paints Ltd.,INE021A01026,11556,323.96
Dodla Dairy Limited,INE021O01019,468,5.94
ASIAN GRANITO INDIA LIMITED,INE022I01019,11568,8.25
Indian Energy Exchange Limited,INE022Q01020,193723,302.55
Nalwa Sons Investment Ltd,INE023A01030,45,2.92
Aeroflex Industries Limited,INE024001021,45396,90.07
SHILCHAR TEC,INE024F01011,2313,86.60
GRAVITA INDIA LIMITED,INE024L01027,16292,295.97
Goldiam International Ltd.,INE025B01025,56507,228.95
Artemis Medicare Services Limited,INE025R01021,2415,7.45
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,121355,240.49
RASHTRIYA CH,INE027A01015,259499,423.03
Max Healthcare Institute Limited,INE027H01010,31674,362.84
Bank Of Baroda,INE028A01039,110517,318.14
BHARAT PETRO,INE029A01011,83574,300.78
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,2177,13.85
Anand Rayons Limited,INE02GA01012,140,0.49
Raymond Lifestyle Limited,INE02ID01020,10261,122.87
Azad Engineering Limited,INE02IJ01035,21241,367.42
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,18326,48.87
Borosil Limited,INE02PY01013,6747,23.02
