SEBI REPORT For Trade date 10-Oct-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,313775.55,
2,Fresh Exposure taken during the day,10040.15,
3,Exposure liquidated during the day,9130.60,
4,Net scripwise outstanding at the end of the day,314685.11,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,35304,136.81
Reliance Industries Ltd,INE002A01018,233151,3275.64
SJVN LIMITED,INE002L01015,541824,547.03
Mahanagar Gas Limited,INE002S01010,14301,198.69
"Siemens Ltd.,",INE003A01024,13790,465.09
Protean eGov Technologies Limited,INE004A01022,69245,797.33
Avantel Limited,INE005B01027,358405,638.37
ASTRAL LIMITED,INE006I01046,16298,246.47
CRISIL Ltd.,INE007A01025,1758,90.22
Geojit Financial Services Limited,INE007B01023,44512,48.83
Fedbank Financial Services Limited,INE007N01010,27137,38.78
IDBI LTD,INE008A01015,1016460,930.86
Infosys Ltd,INE009A01021,106499,1629.28
Bikaji Foods International Limited,INE00E101023,13129,102.97
Hariom Pipe Industries Limited,INE00EV01017,9574,47.19
Prudent Corporate Advisory Services Limited,INE00F201020,576,15.67
ACUTAAS CHEMICALS LIMITED,INE00FF01025,3422,47.59
SWIGGY LIMITED,INE00H001014,160065,694.99
STOVE KRAFT LIMITED,INE00IN01015,9451,59.64
Craftsman Automation Limited,INE00LO01017,479,30.65
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,239462,705.54
Interarch Building Solutions Limited,INE00M901018,287,5.88
DALMIA BHARAT LIMITED,INE00R701025,1938,44.56
Highway Infrastructure Limited,INE00RL01028,553,0.45
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,37147,53.43
Manorama Industries Limited,INE00VM01036,4465,65.39
AFFLE 3I LIMITED,INE00WC01027,6698,132.70
Flair Writing Industries Limited,INE00Y201027,2680,8.78
Entero Healthcare Solutions Limited,INE010601016,1509,17.35
PRISM JOHNSON LIMITED.,INE010A01011,10028,16.51
Zydus Lifesciences Limited,INE010B01027,15725,162.86
Tejas Networks Limited,INE010J01012,137853,984.05
L&T Technology Services Limited,INE010V01017,4088,180.07
BALU FORGE INDUSTRIES LIMITED,INE011E01029,274,2.11
Tega Industries Limited,INE011K01018,6262,126.96
ACC,INE012A01025,106502,1937.28
Onesource Specialty Pharma Limited,INE013P01021,916,18.69
WIM PLAST LT,INE015B01018,5212,26.73
Tinna Rubber and Infrastructure Limited,INE015C01016,659,6.28
MANAKSIA LIMITED,INE015D01022,29,0.02
DABUR INDIA,INE016A01026,54349,290.14
"Great Eastern Shipping Co. Ltd.,",INE017A01032,27888,291.52
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,21643,771.93
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,3268,28.90
JSW SL,INE019A01038,6334,68.55
Himadri Speciality Chemical Ltd.,INE019C01026,91987,449.38
STANLEY LIFESTYLES LIMITED,INE01A001028,72,0.32
Antony Waste Handling Cell Limited,INE01BK01022,4549,28.35
Vishal Mega Mart Limited,INE01EA01019,353462,517.22
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,5727,17.65
Sky Gold And Diamonds Limited,INE01IU01018,1587,4.83
eMudhra Limited,INE01QM01018,7547,54.00
Vikran Engineering Limited,INE01R501028,3095,3.23
Spencer's Retail Limited,INE020801028,222,0.20
REC LIMITED,INE020B01018,522642,2088.39
BAID FINSERV LIMITED,INE020D01022,2000,0.23
Asian Paints Ltd.,INE021A01026,14423,357.31
Dodla Dairy Limited,INE021O01019,1382,18.89
ASIAN GRANITO INDIA LIMITED,INE022I01019,4876,2.86
Indian Energy Exchange Limited,INE022Q01020,204749,331.16
Nalwa Sons Investment Ltd,INE023A01030,375,28.90
Aeroflex Industries Limited,INE024001021,78875,152.92
GRAVITA INDIA LIMITED,INE024L01027,21440,383.00
Goldiam International Ltd.,INE025B01025,54617,210.11
Artemis Medicare Services Limited,INE025R01021,2559,7.62
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,75496,157.85
RASHTRIYA CH,INE027A01015,270992,454.06
Max Healthcare Institute Limited,INE027H01010,27463,333.18
Bank Of Baroda,INE028A01039,156416,400.31
BHARAT PETRO,INE029A01011,39979,131.43
Kalyani Investment Company Limited,INE029L01018,84,4.12
ROSSARI BIOTECH LIMITED,INE02A801020,2325,15.86
Axita Cotton Limited,INE02EZ01022,3071,0.31
Nova Agritech Limited,INE02H701025,118,0.06
Raymond Lifestyle Limited,INE02ID01020,10158,129.96
Azad Engineering Limited,INE02IJ01035,23515,406.09
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,11897,33.91
Borosil Limited,INE02PY01013,4537,17.11
Brainbees Solutions Limited,INE02RE01045,33740,132.33
WONDER ELECTRICALS LIMITED,INE02WG01024,16848,27.33
Electronics Mart India Limited,INE02YR01019,62838,96.78
"Hindustan Unilever Ltd.,",INE030A01027,9833,251.75
Housing &Urban Development Corporation Ltd.,INE031A01017,302545,735.55
Ajanta Pharma Ltd.,INE031B01049,1651,42.58
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,987013,1295.07
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,19171,62.78
Arvind SmartSpaces Limited,INE034S01021,4730,32.86
SOTL,INE035D01020,1195,5.62
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,27122,31.85
KARUR VYSYA,INE036D01028,16945,34.30
Concord Enviro Systems Limited,INE037Z01029,1116,6.29
Hindalco Industries Ltd.,INE038A01020,21055,153.89
T.V.Today Network Limited,INE038F01029,291,0.62
IFCI LTD,INE039A01010,491797,303.44
"Jamna Auto Industries Ltd.,",INE039C01032,158218,164.10
JASH ENGINEERING LIMITED,INE039O01029,6259,32.31
Max Estates Limited,INE03EI01018,3101,14.73
Go Digit General Insurance Limited,INE03JT01014,7192,25.96
Brigade Hotel Ventures Limited,INE03NU01014,8711,7.37
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,2178,21.00
Cohance Lifesciences Limited,INE03QK01018,4007,37.66
Chemcon Speciality Chemicals Limited,INE03YM01018,357,0.94
HDFC Bank Ltd.,INE040A01034,96945,961.04
Mayur Uniquoters ltd.,INE040D01038,713,3.95
SUZLON ENERGY LTD.,INE040H01021,5579834,3443.56
"Dhampur Sugar Mills Ltd.,",INE041A01016,52917,79.23
Escorts Kubota Limited,INE042A01014,7868,291.14
Vijaya Diagnostic Centre Limited,INE043W01024,5812,60.29
Sun Pharmaceutical Industries Ltd.,INE044A01036,22506,370.43
Paras Defence and Space Technologies Limited,INE045601023,14766,108.85
ADOR WELDING,INE045A01017,303,3.19
Nelco Ltd,INE045B01015,11203,99.69
Fineotex Chemical Limited,INE045J01026,24233,64.44
Reliance Industrial Infrastructure,INE046A01015,8732,81.48
Muthoot Microfin Limited,INE046W01019,11324,17.45
GRASIM INDUS,INE047A01021,2891,81.11
JAGSONPAL PH,INE048B01035,11566,28.32
Navin Fluorent International Ltd,INE048G01026,1747,89.51
"Himatsingka Seide Ltd.,",INE049A01027,174290,254.46
Wockhardt Ltd,INE049B01025,70526,999.04
SBC EXPORTS LIMITED,INE04AK01028,119020,21.59
KPIT Technologies Ltd,INE04I401011,29457,381.50
ETHOS LIMITED,INE04TZ01018,992,25.41
Prakash Pipes Limited,INE050001010,7226,32.55
Elin Electronics Limited,INE050401020,2906,6.35
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,4503,86.51
Balaji Amines Ltd.,INE050E01027,6051,99.58
Rane (Madras)  Ltd.,INE050H01012,1890,15.02
Vardhman Special Steels Ltd,INE050M01012,350,1.02
Vakrangee Softwares Ltd.,INE051B01021,3950,0.54
Windsor Machines Limited,INE052A01021,1953,6.22
Camlin Fine Sciences Ltd,INE052I01032,1097,2.32
BEST AGROLIFE LIMITED,INE052T01013,1291,4.86
Indian Hotels Co. Ltd,INE053A01029,88545,676.64
Indian Railway Finance Corporation,INE053F01010,1493275,2079.70
"V.I.P. Industries Ltd.,",INE054A01027,11601,53.46
Waterbase Limited,INE054C01015,12665,6.47
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,10191,210.33
Cyient DLM Limited,INE055S01018,33352,159.28
Refex Industries Limited,INE056I01025,9897,37.06
Sanofi India Ltd,INE058A01010,748,39.52
"Cipla Ltd.,",INE059A01026,4420,68.76
La Opala RG Ltd.,INE059D01020,11746,30.07
Hindware Home Innovation Limited,INE05AN01011,2092,6.12
Ratnaveer Precision Engineering Limited,INE05CZ01011,10021,16.05
Indogulf Cropsciences Limited,INE05J901018,1637,1.84
Likhitha Infrastructure Limited,INE060901027,4183,12.90
Navneet Education Limited,INE060A01024,14407,21.30
FORTIS HEALTHCARE LIMITED,INE061F01013,7326,66.56
"State Bank Of India,",INE062A01020,106736,883.38
Pondy Oxides & Chemicals Limited,INE063E01053,6216,76.68
Equitas Small Finance Bank Limited,INE063P01018,306448,198.00
Trident Ltd.,INE064C01022,768918,239.41
AEROFLEX ENTERPRISES LIMITED,INE065D01027,7901,8.10
Indegene Limited,INE065X01017,12870,75.05
Eicher Motors Ltd.,INE066A01021,2529,167.24
Hindustan Aeronautics Limited,INE066F01020,78803,3741.09
Wonderla Holidays Limited,INE066O01014,11437,75.17
Inox Wind Limited,INE066P01011,447761,764.86
CG Power and Industrial Solutions Limited,INE067A01029,60197,444.93
CANTABIL RETAIL INDIA LIMITED,INE068L01024,2772,7.88
Gland Pharma Limited,INE068V01023,3575,67.16
EMBASSY DEVELOPMENTS LIMITED,INE069I01010,527745,574.29
ECOS (India) Mobility & Hospitality Limited,INE06HJ01020,1011,2.66
INDIQUBE SPACES LIMITED,INE06ST01018,1603,3.76
LAXMI INDIA FINANCE LIMITED,INE06WU01026,3672,5.90
Gem Aromatics Limited,INE06XZ01023,200,0.49
SHANTI GOLD INTERNATIONAL LIMITED,INE06ZD01017,2031,4.59
SHREE CEMENT,INE070A01015,91,26.88
Jai Corp Limited,INE070D01027,35584,58.52
INSECTCID,INE070I01018,761,7.17
Ugar Sugar Works Ltd.,INE071E01023,2248,1.41
Epigral Limited,INE071N01016,2048,37.65
Associated Alcohols & Breweries Ltd,INE073G01016,2247,23.86
Sona BLW Precision Forgings Limited,INE073K01018,83545,391.47
Praj Industries Ltd.,INE074A01025,129183,551.93
Paramount Communications Ltd.,INE074B01023,98248,49.93
WIPRO LTD.,INE075A01022,169540,436.34
G M BREWERIE,INE075D01018,3160,25.23
HealthCare Global Enterprises Limited,INE075I01017,2143,13.72
SIYAR SILK M,INE076B01028,1332,10.61
GOCL Corporation Limited ,INE077F01035,907,3.44
Vikram Solar Limited,INE078V01014,3243,10.50
Ambuja Cements Ltd.,INE079A01024,52027,308.45
Gateway Distriparks Limited,INE079J01017,135068,91.85
ZAGGLE PREPAID OCEAN SERVICES LIMITED,INE07K301024,57959,227.08
Easy Trip Planners Limited,INE07O001026,1703972,216.74
NDR Auto Components Limited,INE07OG01012,502,4.63
Supriya Lifescience Limited,INE07RO01027,5210,36.03
Restaurant Brands Asia Limited,INE07T201019,112424,92.30
IRM ENERGY LIMITED,INE07U701015,6512,22.95
HITACHI ENERGY INDIA LIMITED,INE07Y701011,2771,544.37
LLOYDS ENTERPRISES LIMITED,INE080I01025,3066596,2365.14
TATA IORN AN,INE081A01020,334356,526.61
"Kopran Ltd.,",INE082A01010,3020,5.33
Morepen Laboratories Ltd.,INE083A01026,414717,245.54
Themis Medicare Ltd.,INE083B01024,5557,7.37
BANK OF INDI,INE084A01016,473230,569.27
Amanta Healthcare Limited,INE084K01015,231,0.31
CHAMBAL FERT,INE085A01013,86371,480.72
Thangamayil Jewellery Limited,INE085J01014,279,5.78
"Electrosteel Castings Ltd.,",INE086A01029,256682,271.47
KESORAM IND,INE087A01019,3040,0.17
Shree Renuka Sugars Ltd.,INE087H01022,1009930,360.24
Paradeep Phosphates Limited,INE088F01024,304442,591.02
DR.REDDY'S L,INE089A01031,9802,125.32
Sterlite Technologies Limited.,INE089C01029,19874,23.94
MUFIN GREEN FINANCE LIMITED,INE08KJ01020,4199,3.62
Krsnaa Diagnostics Limited,INE08LI01020,3429,31.72
M & B ENGINEERING LIMITED,INE08N601015,3676,15.23
SANSTAR LIMITED,INE08NE01025,3459,3.65
Samhi Hotels Limited,INE08U801020,67074,144.95
Greenpanel Industries Limited,INE08ZM01014,2884,9.77
Scoda Tubes Limited,INE090501011,11310,21.81
ICICI Bank Ltd.,INE090A01021,50045,696.37
Jai Balaji Industries Limited,INE091G01026,76826,80.02
TATA CHEMICA,INE092A01019,27964,259.31
INDIA NIPP E,INE092B01025,349,3.28
IDFC FIRST BANK LIMITED,INE092T01019,744247,524.34
Hexaware Technologies Limited,INE093A01041,10918,82.45
OBEROI REALTY LIMITED,INE093I01010,7209,122.85
LLOYDS ENGINEERING WORKS LIMITED,INE093R01011,206556,144.11
HINDUSTAN PE,INE094A01015,54798,235.33
Kolte-Patil Developers Ltd,INE094I01018,6564,25.59
UTI Asset Management Company Limited,INE094J01016,5753,78.63
Mishtann Foods Limited,INE094S01041,200,0.01
IndusInd Bank Ltd.,INE095A01012,92576,778.26
NBCC (India) Limited,INE095N01031,498679,568.47
NUCLEU SOF E,INE096B01018,1201,13.93
Amrutanjan Health Care Limited,INE098F01031,1103,8.71
Mishra Dhatu Nigam Limited,INE099Z01011,61394,256.34
Aarti Surfactants Limited,INE09EO01013,6,0.03
Atam Valves Limited,INE09KD01013,3,0.00
Gujarat Fluorochemicals Limited,INE09N301011,1972,75.06
Indigo Paints Limited,INE09VQ01012,2392,27.29
Akums Drugs and Pharmaceuticals Limited,INE09XN01023,7093,34.73
VISHNU PRAKASH R PUNGLIA LIMITED,INE0AE001013,117996,158.69
Ceigall India Limited,INE0AG901020,9298,25.10
Hemisphere Properties India Limited,INE0AJG01018,59310,95.11
ADVAIT ENERGY TRANSITIONS LIMITED,INE0ALI01010,27281,579.40
Leela Palaces Hotels & Resorts Limited,INE0AQ201015,818,3.58
KRONOX LAB SCIENCES LIMITED,INE0ATZ01017,1033,1.98
Bansal Wire Industries Limited,INE0B9K01025,849,3.32
Go Fashion (India) Limited,INE0BJS01011,3518,29.66
Premier Energies Limited,INE0BS701011,406687,4252.62
C.E. Info Systems Limited,INE0BV301023,3187,57.80
Aether Industries Limited,INE0BWX01014,16063,122.42
PROSTARM INFO SYSTEMS LIMITED,INE0BX301013,3590,7.55
Jubilant Ingrevia Limited,INE0BY001018,11077,82.04
Oswal Pumps Limited,INE0BYP01024,13134,105.64
Mukka Proteins Limited,INE0CG401037,30985,13.81
Max India Limited,INE0CG601016,106,0.25
Knowledge Marine & Engineering Works Limited,INE0CJD01011,1080,26.06
Western Carriers (India) Limited,INE0CJF01024,42915,57.12
RateGain Travel Technologies Limited,INE0CLI01024,220307,686.09
Meghmani Organics Limited,INE0CT101020,298198,258.54
GMR Power and Urban Infra Limited,INE0CU601026,76025,92.15
Anthem Biosciences Limited,INE0CZ201020,6758,55.26
Sigachi Industries Limited,INE0D0K01022,197699,96.90
India Pesticides Limited,INE0D6701023,26180,56.68
Ksolves India Limited,INE0D6I01023,928,4.16
RailTel Corporation of India Limited,INE0DD101019,161592,662.60
PIRAMAL PHARMA LIMITED,INE0DK501011,224459,476.28
Fairchem Organics Limited,INE0DNW01011,1224,13.99
INNOVA CAPTAB LIMITED,INE0DUT01020,1024,9.13
Syrma SGS Technology Limited,INE0DYJ01015,39111,291.78
HMA Agro Industries Limited,INE0ECP01024,121,0.04
TARC LIMITED,INE0EK901012,6433,11.04
Network People Services Technologies Limited,INE0FFK01017,1366,28.31
Deep Industries Limited,INE0FHS01024,5160,26.69
Motisons Jewellers Limited,INE0FRK01020,256142,52.10
