SEBI REPORT For Trade date 04-Mar-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,385721.80,
2,Fresh Exposure taken during the day,9954.20,
3,Exposure liquidated during the day,11513.43,
4,Net scripwise outstanding at the end of the day,384162.57,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,15859,60.42
Reliance Industries Ltd,INE002A01018,218584,3173.44
SJVN LIMITED,INE002L01015,727820,627.30
Mahanagar Gas Limited,INE002S01010,20017,249.65
"Siemens Ltd.,",INE003A01024,7403,253.10
Protean eGov Technologies Limited,INE004A01022,48353,511.85
Avantel Limited,INE005B01027,300809,515.59
ASTRAL LIMITED,INE006I01046,8958,144.91
CRISIL Ltd.,INE007A01025,1798,87.79
Geojit Financial Services Limited,INE007B01023,47611,48.96
Fedbank Financial Services Limited,INE007N01010,51077,74.66
IDBI LTD,INE008A01015,788320,789.36
Infosys Ltd,INE009A01021,192050,2758.28
Bikaji Foods International Limited,INE00E101023,10759,83.50
Hariom Pipe Industries Limited,INE00EV01017,9401,42.00
Prudent Corporate Advisory Services Limited,INE00F201020,351,9.15
ACUTAAS CHEMICALS LIMITED,INE00FF01025,5803,109.74
SWIGGY LIMITED,INE00H001014,228910,888.49
STOVE KRAFT LIMITED,INE00IN01015,8102,50.41
Craftsman Automation Limited,INE00LO01017,714,55.63
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,290221,720.73
Interarch Building Solutions Limited,INE00M901018,2453,51.12
Studds Accessories Limited,INE00Q601028,6414,34.47
DALMIA BHARAT LIMITED,INE00R701025,4399,94.80
Highway Infrastructure Limited,INE00RL01028,10267,6.04
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,36524,47.13
Manorama Industries Limited,INE00VM01036,4691,68.26
AFFLE 3I LIMITED,INE00WC01027,7251,131.41
Flair Writing Industries Limited,INE00Y201027,2373,7.66
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2287,12.28
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,2523,29.45
PRISM JOHNSON LIMITED.,INE010A01011,21385,30.88
Zydus Lifesciences Limited,INE010B01027,17534,172.72
Tejas Networks Limited,INE010J01012,186610,1025.41
L&T Technology Services Limited,INE010V01017,6089,243.81
BALU FORGE INDUSTRIES LIMITED,INE011E01029,27148,133.72
Tega Industries Limited,INE011K01018,3358,66.27
ACC,INE012A01025,14273,261.80
R&B Denims Limited,INE012Q01021,5833,10.68
Onesource Specialty Pharma Limited,INE013P01021,2860,45.80
WIM PLAST LT,INE015B01018,930,4.31
Tinna Rubber and Infrastructure Limited,INE015C01016,327,2.78
DABUR INDIA,INE016A01026,17839,95.38
CEINSYS TECH LIMITED,INE016Q01014,150,1.89
"Great Eastern Shipping Co. Ltd.,",INE017A01032,5459,65.22
LARSEN & TOU,INE018A01030,26079,1020.23
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,13751,115.47
JSW SL,INE019A01038,5685,65.84
Himadri Speciality Chemical Ltd.,INE019C01026,59158,293.36
STANLEY LIFESTYLES LIMITED,INE01A001028,3727,8.38
Antony Waste Handling Cell Limited,INE01BK01022,4964,27.15
Vishal Mega Mart Limited,INE01EA01019,337818,448.70
Ritco Logistics Limited,INE01EG01016,83,0.24
Baazar Style Retail Limited,INE01FR01028,108365,377.75
Sky Gold And Diamonds Limited,INE01IU01018,15930,56.26
eMudhra Limited,INE01QM01018,11698,66.87
Vikran Engineering Limited,INE01R501028,594816,566.06
Canara HSBC Life Insurance Company Limited,INE01TY01017,15748,23.10
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,573984,2181.40
Asian Paints Ltd.,INE021A01026,11405,296.22
Dodla Dairy Limited,INE021O01019,382,4.87
ASIAN GRANITO INDIA LIMITED,INE022I01019,33738,24.32
Indian Energy Exchange Limited,INE022Q01020,247441,360.04
Nalwa Sons Investment Ltd,INE023A01030,31,1.98
Aeroflex Industries Limited,INE024001021,38223,78.66
SHILCHAR TEC,INE024F01011,2458,92.95
GRAVITA INDIA LIMITED,INE024L01027,15803,273.52
Goldiam International Ltd.,INE025B01025,145442,515.62
Artemis Medicare Services Limited,INE025R01021,1534,4.69
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,114525,223.91
"Lotus Chocolate Co. Ltd.,",INE026D01011,10,0.08
RASHTRIYA CH,INE027A01015,255921,401.47
Max Healthcare Institute Limited,INE027H01010,19878,231.68
Bank Of Baroda,INE028A01039,94617,276.20
BHARAT PETRO,INE029A01011,61745,227.41
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,1811,11.41
Raymond Lifestyle Limited,INE02ID01020,9680,111.50
Azad Engineering Limited,INE02IJ01035,21795,378.76
Borosil Scientific Limited,INE02L001032,282,0.35
Fino Payments Bank Limited,INE02NC01014,21678,53.60
Borosil Limited,INE02PY01013,5451,18.36
Brainbees Solutions Limited,INE02RE01045,59769,175.63
