SEBI REPORT For Trade date 05-Feb-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,385959.06,
2,Fresh Exposure taken during the day,10468.46,
3,Exposure liquidated during the day,9379.29,
4,Net scripwise outstanding at the end of the day,387048.23,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,21091,81.41
Reliance Industries Ltd,INE002A01018,205523,3019.27
SJVN LIMITED,INE002L01015,579954,518.13
Mahanagar Gas Limited,INE002S01010,28568,352.01
"Siemens Ltd.,",INE003A01024,8775,296.35
Protean eGov Technologies Limited,INE004A01022,54292,556.98
Avantel Limited,INE005B01027,299382,515.49
ASTRAL LIMITED,INE006I01046,6993,107.03
CRISIL Ltd.,INE007A01025,1559,77.35
Geojit Financial Services Limited,INE007B01023,49230,50.28
Fedbank Financial Services Limited,INE007N01010,67034,104.92
IDBI LTD,INE008A01015,1072068,1066.99
Infosys Ltd,INE009A01021,90383,1413.17
Bikaji Foods International Limited,INE00E101023,11440,89.04
Hariom Pipe Industries Limited,INE00EV01017,9676,43.09
Prudent Corporate Advisory Services Limited,INE00F201020,388,10.27
ACUTAAS CHEMICALS LIMITED,INE00FF01025,5358,96.61
SWIGGY LIMITED,INE00H001014,217175,867.99
STOVE KRAFT LIMITED,INE00IN01015,6918,44.43
Craftsman Automation Limited,INE00LO01017,508,36.69
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,308755,773.35
Interarch Building Solutions Limited,INE00M901018,1842,40.69
Studds Accessories Limited,INE00Q601028,7736,41.05
DALMIA BHARAT LIMITED,INE00R701025,4624,99.64
Highway Infrastructure Limited,INE00RL01028,9615,5.68
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39237,52.69
Manorama Industries Limited,INE00VM01036,6172,89.19
AFFLE 3I LIMITED,INE00WC01027,8113,151.84
Flair Writing Industries Limited,INE00Y201027,1673,5.40
A B INFRABUILD LIMITED,INE00YB01025,1500,0.29
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2299,12.40
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,3690,43.08
PRISM JOHNSON LIMITED.,INE010A01011,21797,31.59
Zydus Lifesciences Limited,INE010B01027,18898,185.77
Tejas Networks Limited,INE010J01012,144911,819.05
L&T Technology Services Limited,INE010V01017,5460,230.48
BALU FORGE INDUSTRIES LIMITED,INE011E01029,17151,84.14
Tega Industries Limited,INE011K01018,3882,76.47
ACC,INE012A01025,14544,271.01
R&B Denims Limited,INE012Q01021,3157,4.90
Onesource Specialty Pharma Limited,INE013P01021,3064,49.79
WIM PLAST LT,INE015B01018,5942,30.06
Tinna Rubber and Infrastructure Limited,INE015C01016,336,2.92
DABUR INDIA,INE016A01026,25356,134.89
CEINSYS TECH LIMITED,INE016Q01014,0,0.00
"Great Eastern Shipping Co. Ltd.,",INE017A01032,7767,89.01
LARSEN & TOU,INE018A01030,28742,1109.70
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,15350,129.66
JSW SL,INE019A01038,9735,113.70
Himadri Speciality Chemical Ltd.,INE019C01026,67085,330.83
STANLEY LIFESTYLES LIMITED,INE01A001028,1754,4.65
Antony Waste Handling Cell Limited,INE01BK01022,3727,21.30
Vishal Mega Mart Limited,INE01EA01019,310708,432.08
Ritco Logistics Limited,INE01EG01016,84,0.25
Baazar Style Retail Limited,INE01FR01028,11883,38.08
Sky Gold And Diamonds Limited,INE01IU01018,17780,61.76
eMudhra Limited,INE01QM01018,8431,53.70
Vikran Engineering Limited,INE01R501028,521090,518.44
Canara HSBC Life Insurance Company Limited,INE01TY01017,8954,13.26
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,531910,2059.14
