SEBI REPORT For Trade date 16-Apr-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,379829.67,
2,Fresh Exposure taken during the day,20553.87,
3,Exposure liquidated during the day,16376.60,
4,Net scripwise outstanding at the end of the day,384006.94,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,18115,66.25
Reliance Industries Ltd,INE002A01018,333454,4632.29
SJVN LIMITED,INE002L01015,550614,462.02
Mahanagar Gas Limited,INE002S01010,21449,255.11
"Siemens Ltd.,",INE003A01024,6530,229.20
Protean eGov Technologies Limited,INE004A01022,47167,449.07
Avantel Limited,INE005B01027,276050,451.13
ASTRAL LIMITED,INE006I01046,13940,223.28
CRISIL Ltd.,INE007A01025,2815,126.35
Geojit Financial Services Limited,INE007B01023,27751,20.11
Fedbank Financial Services Limited,INE007N01010,54860,78.86
IDBI LTD,INE008A01015,898618,763.37
Infosys Ltd,INE009A01021,177500,2460.68
Bikaji Foods International Limited,INE00E101023,9535,73.55
Hariom Pipe Industries Limited,INE00EV01017,6434,25.86
Prudent Corporate Advisory Services Limited,INE00F201020,358,9.38
ACUTAAS CHEMICALS LIMITED,INE00FF01025,17318,389.31
SWIGGY LIMITED,INE00H001014,220235,783.71
STOVE KRAFT LIMITED,INE00IN01015,13441,79.82
Craftsman Automation Limited,INE00LO01017,730,53.58
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,280811,676.37
Interarch Building Solutions Limited,INE00M901018,2996,59.86
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,6204,32.51
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,5153,105.35
Highway Infrastructure Limited,INE00RL01028,2175,1.37
Nila Spaces Ltd,INE00S901012,3036,0.41
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,38614,47.46
Manorama Industries Limited,INE00VM01036,3365,47.60
AFFLE 3I LIMITED,INE00WC01027,8821,151.16
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,503,8.77
Flair Writing Industries Limited,INE00Y201027,1818,5.89
A B INFRABUILD LIMITED,INE00YB01025,1399,0.23
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2627,13.14
Entero Healthcare Solutions Limited,INE010601016,2488,29.17
PRISM JOHNSON LIMITED.,INE010A01011,14582,21.59
Zydus Lifesciences Limited,INE010B01027,13922,137.35
Tejas Networks Limited,INE010J01012,198506,1041.51
L&T Technology Services Limited,INE010V01017,6300,243.23
BALU FORGE INDUSTRIES LIMITED,INE011E01029,17669,83.96
Tega Industries Limited,INE011K01018,2764,53.82
ACC,INE012A01025,18551,308.33
Onesource Specialty Pharma Limited,INE013P01021,204962,3032.98
