SEBI REPORT For Trade date 11-Mar-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,383377.11,
2,Fresh Exposure taken during the day,9810.49,
3,Exposure liquidated during the day,6262.42,
4,Net scripwise outstanding at the end of the day,386925.17,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,18989,70.30
Reliance Industries Ltd,INE002A01018,226509,3278.62
SJVN LIMITED,INE002L01015,621680,543.31
Mahanagar Gas Limited,INE002S01010,19962,247.94
"Siemens Ltd.,",INE003A01024,6818,232.19
Protean eGov Technologies Limited,INE004A01022,49060,509.02
Avantel Limited,INE005B01027,255074,439.00
ASTRAL LIMITED,INE006I01046,4467,71.76
CRISIL Ltd.,INE007A01025,1676,81.59
Geojit Financial Services Limited,INE007B01023,47602,48.89
Fedbank Financial Services Limited,INE007N01010,56496,81.11
IDBI LTD,INE008A01015,784681,780.65
Infosys Ltd,INE009A01021,195894,2790.23
Bikaji Foods International Limited,INE00E101023,10012,77.67
Hariom Pipe Industries Limited,INE00EV01017,9711,42.79
Prudent Corporate Advisory Services Limited,INE00F201020,347,9.02
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4967,93.43
SWIGGY LIMITED,INE00H001014,219874,853.28
STOVE KRAFT LIMITED,INE00IN01015,8567,52.92
Craftsman Automation Limited,INE00LO01017,722,55.45
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,294248,722.22
Interarch Building Solutions Limited,INE00M901018,2345,48.69
Studds Accessories Limited,INE00Q601028,6012,32.37
DALMIA BHARAT LIMITED,INE00R701025,4304,92.07
Highway Infrastructure Limited,INE00RL01028,9467,5.57
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,35240,45.50
Manorama Industries Limited,INE00VM01036,4687,68.37
AFFLE 3I LIMITED,INE00WC01027,8559,149.39
Flair Writing Industries Limited,INE00Y201027,1772,5.73
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2183,11.62
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,2454,28.42
PRISM JOHNSON LIMITED.,INE010A01011,16588,24.75
Zydus Lifesciences Limited,INE010B01027,15787,156.33
Tejas Networks Limited,INE010J01012,208999,1122.08
L&T Technology Services Limited,INE010V01017,6007,238.02
BALU FORGE INDUSTRIES LIMITED,INE011E01029,29792,145.19
Tega Industries Limited,INE011K01018,3171,62.71
ACC,INE012A01025,14426,262.35
R&B Denims Limited,INE012Q01021,5533,10.14
Onesource Specialty Pharma Limited,INE013P01021,205331,3036.75
WIM PLAST LT,INE015B01018,930,4.31
Tinna Rubber and Infrastructure Limited,INE015C01016,332,2.81
DABUR INDIA,INE016A01026,17331,92.23
CEINSYS TECH LIMITED,INE016Q01014,172,2.08
"Great Eastern Shipping Co. Ltd.,",INE017A01032,7316,92.38
LARSEN & TOU,INE018A01030,33707,1317.64
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,13168,110.51
JSW SL,INE019A01038,5877,68.05
Himadri Speciality Chemical Ltd.,INE019C01026,58932,292.08
STANLEY LIFESTYLES LIMITED,INE01A001028,3612,8.12
Antony Waste Handling Cell Limited,INE01BK01022,5296,28.63
Vishal Mega Mart Limited,INE01EA01019,310917,410.90
Ritco Logistics Limited,INE01EG01016,83,0.24
Baazar Style Retail Limited,INE01FR01028,109211,379.92
Sky Gold And Diamonds Limited,INE01IU01018,15532,54.53
eMudhra Limited,INE01QM01018,11820,66.95
Vikran Engineering Limited,INE01R501028,551571,520.76
Canara HSBC Life Insurance Company Limited,INE01TY01017,9408,13.90
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,556004,2099.26
Asian Paints Ltd.,INE021A01026,11215,289.41
Dodla Dairy Limited,INE021O01019,435,5.43
ASIAN GRANITO INDIA LIMITED,INE022I01019,23352,16.75
Indian Energy Exchange Limited,INE022Q01020,246499,352.84
Nalwa Sons Investment Ltd,INE023A01030,31,1.97
Aeroflex Industries Limited,INE024001021,23840,50.08
SHILCHAR TEC,INE024F01011,2518,95.23
GRAVITA INDIA LIMITED,INE024L01027,14289,248.13
Goldiam International Ltd.,INE025B01025,140802,497.83
Artemis Medicare Services Limited,INE025R01021,1424,4.39
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,107132,208.23
"Lotus Chocolate Co. Ltd.,",INE026D01011,10,0.08
RASHTRIYA CH,INE027A01015,231231,362.40
Max Healthcare Institute Limited,INE027H01010,18955,220.41
Bank Of Baroda,INE028A01039,111614,325.08
BHARAT PETRO,INE029A01011,58424,206.38
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,1410,8.76
Raymond Lifestyle Limited,INE02ID01020,9511,109.54
Azad Engineering Limited,INE02IJ01035,21532,374.26
Borosil Scientific Limited,INE02L001032,182,0.24
Fino Payments Bank Limited,INE02NC01014,21072,52.17
Borosil Limited,INE02PY01013,6007,19.59
Brainbees Solutions Limited,INE02RE01045,54004,160.05
WONDER ELECTRICALS LIMITED,INE02WG01024,7492,12.48
Electronics Mart India Limited,INE02YR01019,55234,76.22
Corona Remedies Limited,INE02ZQ01018,47,0.74
"Hindustan Unilever Ltd.,",INE030A01027,15860,383.63
Housing &Urban Development Corporation Ltd.,INE031A01017,735517,1574.61
Ajanta Pharma Ltd.,INE031B01049,694,20.06
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,784883,947.62
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,21886,78.37
Arvind SmartSpaces Limited,INE034S01021,4251,28.67
SOTL,INE035D01020,1180,5.39
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,14770,20.82
KARUR VYSYA,INE036D01028,30338,86.87
Concord Enviro Systems Limited,INE037Z01029,310,1.50
Hindalco Industries Ltd.,INE038A01020,32279,289.29
T.V.Today Network Limited,INE038F01029,440,0.70
IFCI LTD,INE039A01010,737238,446.24
"Jamna Auto Industries Ltd.,",INE039C01032,89222,116.44
JASH ENGINEERING LIMITED,INE039O01029,6646,33.38
Jubilant Agri and Consumer Products Limited,INE03CC01015,95,1.86
Max Estates Limited,INE03EI01018,2058,9.61
VL E-Governance & IT Solutions Limited,INE03HW01020,5000,1.00
Go Digit General Insurance Limited,INE03JT01014,4365,15.39
Brigade Hotel Ventures Limited,INE03NU01014,1691,1.42
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1796,16.96
Cohance Lifesciences Limited,INE03QK01018,16416,80.37
Chemcon Speciality Chemicals Limited,INE03YM01018,136,0.34
HDFC Bank Ltd.,INE040A01034,239207,2224.79
