SEBI REPORT For Trade date 28-Apr-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,414228.06,
2,Fresh Exposure taken during the day,15221.58,
3,Exposure liquidated during the day,14266.55,
4,Net scripwise outstanding at the end of the day,415183.09,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,16801,61.93
Reliance Industries Ltd,INE002A01018,307175,4282.33
SJVN LIMITED,INE002L01015,558281,471.33
Mahanagar Gas Limited,INE002S01010,21402,254.74
"Siemens Ltd.,",INE003A01024,3785,141.11
Protean eGov Technologies Limited,INE004A01022,48964,453.11
Avantel Limited,INE005B01027,296237,483.99
ASTRAL LIMITED,INE006I01046,15749,251.17
CRISIL Ltd.,INE007A01025,1946,91.02
Geojit Financial Services Limited,INE007B01023,21560,16.59
Fedbank Financial Services Limited,INE007N01010,48249,70.18
IDBI LTD,INE008A01015,1252798,1035.67
Infosys Ltd,INE009A01021,415852,5300.44
Bikaji Foods International Limited,INE00E101023,9207,70.76
Hariom Pipe Industries Limited,INE00EV01017,7479,29.39
Prudent Corporate Advisory Services Limited,INE00F201020,373,10.19
ACUTAAS CHEMICALS LIMITED,INE00FF01025,12404,281.83
SWIGGY LIMITED,INE00H001014,248698,865.80
STOVE KRAFT LIMITED,INE00IN01015,12744,76.07
Craftsman Automation Limited,INE00LO01017,654,49.39
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,336826,802.96
Interarch Building Solutions Limited,INE00M901018,2863,57.38
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,6221,32.59
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,6527,131.93
Highway Infrastructure Limited,INE00RL01028,111,0.09
Nila Spaces Ltd,INE00S901012,91,0.01
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,35950,43.57
Manorama Industries Limited,INE00VM01036,3132,44.58
AFFLE 3I LIMITED,INE00WC01027,9411,159.98
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,620,11.38
Flair Writing Industries Limited,INE00Y201027,1527,4.96
A B INFRABUILD LIMITED,INE00YB01025,3416,0.54
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2721,12.97
