SEBI REPORT For Trade date 27-Apr-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,411156.84,
2,Fresh Exposure taken during the day,17399.44,
3,Exposure liquidated during the day,14326.83,
4,Net scripwise outstanding at the end of the day,414229.44,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,16718,61.60
Reliance Industries Ltd,INE002A01018,338603,4707.47
SJVN LIMITED,INE002L01015,569358,479.59
Mahanagar Gas Limited,INE002S01010,21487,255.71
"Siemens Ltd.,",INE003A01024,3956,147.08
Protean eGov Technologies Limited,INE004A01022,48128,448.83
Avantel Limited,INE005B01027,281366,461.39
ASTRAL LIMITED,INE006I01046,15624,249.23
CRISIL Ltd.,INE007A01025,1918,89.80
Geojit Financial Services Limited,INE007B01023,21561,16.59
Fedbank Financial Services Limited,INE007N01010,43766,63.15
IDBI LTD,INE008A01015,1267114,1048.48
Infosys Ltd,INE009A01021,412514,5292.27
Bikaji Foods International Limited,INE00E101023,9156,70.42
Hariom Pipe Industries Limited,INE00EV01017,7704,30.09
Prudent Corporate Advisory Services Limited,INE00F201020,248,6.62
ACUTAAS CHEMICALS LIMITED,INE00FF01025,17365,395.15
SWIGGY LIMITED,INE00H001014,246620,860.30
STOVE KRAFT LIMITED,INE00IN01015,12750,76.10
Craftsman Automation Limited,INE00LO01017,605,45.69
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,326531,780.51
Interarch Building Solutions Limited,INE00M901018,2884,57.82
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,6221,32.59
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,5164,105.61
Highway Infrastructure Limited,INE00RL01028,111,0.09
Nila Spaces Ltd,INE00S901012,91,0.01
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,35350,43.20
Manorama Industries Limited,INE00VM01036,3042,43.30
AFFLE 3I LIMITED,INE00WC01027,9312,158.53
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,537,9.79
Flair Writing Industries Limited,INE00Y201027,1527,4.96
A B INFRABUILD LIMITED,INE00YB01025,2016,0.31
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2686,12.83
Entero Healthcare Solutions Limited,INE010601016,1077,12.69
PRISM JOHNSON LIMITED.,INE010A01011,25873,37.01
Zydus Lifesciences Limited,INE010B01027,15654,153.53
Tejas Networks Limited,INE010J01012,186303,977.16
L&T Technology Services Limited,INE010V01017,5931,230.18
BALU FORGE INDUSTRIES LIMITED,INE011E01029,17786,85.72
Tega Industries Limited,INE011K01018,2768,53.94
ACC,INE012A01025,18319,303.93
Onesource Specialty Pharma Limited,INE013P01021,7489,108.34
WIM PLAST LT,INE015B01018,1000,3.98
Tinna Rubber and Infrastructure Limited,INE015C01016,592,4.40
DABUR INDIA,INE016A01026,29004,141.38
CEINSYS TECH LIMITED,INE016Q01014,758,8.73
"Great Eastern Shipping Co. Ltd.,",INE017A01032,11081,148.77
LARSEN & TOU,INE018A01030,71581,2748.40
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,20303,154.49
JSW SL,INE019A01038,12561,158.20
Himadri Speciality Chemical Ltd.,INE019C01026,80634,434.00
STANLEY LIFESTYLES LIMITED,INE01A001028,3064,5.27
Antony Waste Handling Cell Limited,INE01BK01022,7264,39.02
Vishal Mega Mart Limited,INE01EA01019,272027,355.23
Ritco Logistics Limited,INE01EG01016,91,0.26
Baazar Style Retail Limited,INE01FR01028,3970,13.08
Sky Gold And Diamonds Limited,INE01IU01018,18531,68.00
eMudhra Limited,INE01QM01018,4847,27.57
Vikran Engineering Limited,INE01R501028,555198,508.17
Canara HSBC Life Insurance Company Limited,INE01TY01017,12501,18.34
Spencer's Retail Limited,INE020801028,2,0.00
REC LIMITED,INE020B01018,367610,1388.90
Asian Paints Ltd.,INE021A01026,10830,278.26
Dodla Dairy Limited,INE021O01019,474,5.62
ASIAN GRANITO INDIA LIMITED,INE022I01019,70610,53.70
Indian Energy Exchange Limited,INE022Q01020,358511,488.52
Nalwa Sons Investment Ltd,INE023A01030,15,0.95
Aeroflex Industries Limited,INE024001021,53455,150.18
Shilchar Technologies Ltd.,INE024F01011,2878,116.51
GRAVITA INDIA LIMITED,INE024L01027,13203,220.87
Goldiam International Ltd.,INE025B01025,27034,104.31
Artemis Medicare Services Limited,INE025R01021,9864,23.95
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,400584,661.15
"Lotus Chocolate Co. Ltd.,",INE026D01011,20,0.15
RASHTRIYA CH,INE027A01015,193753,290.25
Max Healthcare Institute Limited,INE027H01010,19461,214.27
Bank Of Baroda,INE028A01039,216270,607.03
BHARAT PETRO,INE029A01011,99581,317.88
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,2425,12.90
Anand Rayons Limited,INE02GA01012,2000,1.35
Raymond Lifestyle Limited,INE02ID01020,11892,118.21
Azad Engineering Limited,INE02IJ01035,6878,127.64
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,18737,41.26
Borosil Limited,INE02PY01013,3589,11.56
Brainbees Solutions Limited,INE02RE01045,53942,159.14
WONDER ELECTRICALS LIMITED,INE02WG01024,2836,3.77
Electronics Mart India Limited,INE02YR01019,49743,69.56
Corona Remedies Limited,INE02ZQ01018,189,3.05
"Hindustan Unilever Ltd.,",INE030A01027,22682,529.52
Housing &Urban Development Corporation Ltd.,INE031A01017,379311,829.10
Ajanta Pharma Ltd.,INE031B01049,1884,54.13
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,224038,288.94
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,16447,59.23
Arvind SmartSpaces Limited,INE034S01021,3840,26.39
SOTL,INE035D01020,1727,7.15
Gujarat Ambuja Exports Ltd.,INE036B01030,24610,36.85
KARUR VYSYA,INE036D01028,33572,94.42
Concord Enviro Systems Limited,INE037Z01029,421,1.90
Hindalco Industries Ltd.,INE038A01020,32554,304.55
T.V.Today Network Limited,INE038F01029,937,1.25
IFCI LTD,INE039A01010,875325,530.17
"Jamna Auto Industries Ltd.,",INE039C01032,75717,94.46
JASH ENGINEERING LIMITED,INE039O01029,6542,32.82
Jubilant Agri and Consumer Products Limited,INE03CC01015,106,2.04
Max Estates Limited,INE03EI01018,2752,12.31
Go Digit General Insurance Limited,INE03JT01014,3729,12.89
Brigade Hotel Ventures Limited,INE03NU01014,1307,1.12
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1888,18.59
Cohance Lifesciences Limited,INE03QK01018,24556,105.40
Chemcon Speciality Chemicals Limited,INE03YM01018,118,0.30
HDFC Bank Ltd.,INE040A01034,581276,4797.95
Mayur Uniquoters ltd.,INE040D01038,1579,9.06
SUZLON ENERGY LTD.,INE040H01021,5792605,3144.11
"Dhampur Sugar Mills Ltd.,",INE041A01016,45830,65.30
Escorts Kubota Limited,INE042A01014,4146,145.98
GTL Ltd,INE043A01012,5000,0.31
Vijaya Diagnostic Centre Limited,INE043W01024,631,6.67
Sun Pharmaceutical Industries Ltd.,INE044A01036,29898,503.23
Paras Defence and Space Technologies Limited,INE045601023,33919,255.14
ADOR WELDING,INE045A01017,238,2.64
Nelco Ltd,INE045B01015,8630,69.78
Fineotex Chemical Limited,INE045J01034,90545,25.54
Reliance Industrial Infrastructure,INE046A01015,5278,46.26
Muthoot Microfin Limited,INE046W01019,7464,13.18
GRASIM INDUS,INE047A01021,4473,125.71
JAGSONPAL PH,INE048B01035,5146,11.20
Navin Fluorent International Ltd,INE048G01026,3399,216.62
"Himatsingka Seide Ltd.,",INE049A01027,60708,66.38
Wockhardt Ltd,INE049B01025,94432,1356.66
SBC EXPORTS LIMITED,INE04AK01028,848829,238.83
KPIT Technologies Ltd,INE04I401011,60645,543.56
ETHOS LIMITED,INE04TZ01018,1301,35.08
Seshaasai Technologies Limited,INE04VU01023,1441,4.03
Prakash Pipes Limited,INE050001010,3454,15.03
Elin Electronics Limited,INE050401020,3411,4.73
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,3959,68.39
IL & FS Investment Managers Ltd.,INE050B01023,244,0.02
Balaji Amines Ltd.,INE050E01027,5336,71.59
Rane (Madras)  Ltd.,INE050H01012,2035,16.10
Vardhman Special Steels Ltd,INE050M01012,981,2.91
Vakrangee Softwares Ltd.,INE051B01021,36150,2.84
Windsor Machines Limited,INE052A01021,1895,5.81
Camlin Fine Sciences Ltd,INE052I01032,20646,25.92
BEST AGROLIFE LIMITED,INE052T01021,2956,0.79
Indian Hotels Co. Ltd,INE053A01029,83912,580.50
Indian Railway Finance Corporation,INE053F01010,1819468,2148.43
"V.I.P. Industries Ltd.,",INE054A01027,102303,322.39
Waterbase Limited,INE054C01015,7090,3.79
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,7651,140.72
Cyient DLM Limited,INE055S01018,15744,65.00
IVALUE INFOSOLUTIONS LIMITED,INE056801025,693,1.89
Refex Industries Limited,INE056I01025,19337,52.96
Sanofi India Ltd,INE058A01010,1830,69.99
"Cipla Ltd.,",INE059A01026,22346,314.73
Simplex Infrastructures Limited,INE059B01024,4,0.01
La Opala RG Ltd.,INE059D01020,2897,6.99
Hindware Home Innovation Limited,INE05AN01011,5850,13.19
Ratnaveer Precision Engineering Limited,INE05CZ01011,350328,569.96
Indogulf Cropsciences Limited,INE05J901018,131,0.12
BHARAT COKING COAL LIMITED,INE05XR01022,489965,170.42
Navneet Education Limited,INE060A01024,7488,10.98
DEV INFORMATION TECHNOLOGY LIMITED,INE060X01034,300,0.11
FORTIS HEALTHCARE LIMITED,INE061F01013,17010,160.09
"State Bank Of India,",INE062A01020,144105,1581.74
ALICON,INE062D01024,1054,7.70
Pondy Oxides & Chemicals Limited,INE063E01053,5341,67.96
Equitas Small Finance Bank Limited,INE063P01018,121172,78.87
TIMES GROUP,INE064A01026,571659,1750.03
Trident Ltd.,INE064C01022,853496,242.68
AEROFLEX ENTERPRISES LIMITED,INE065D01027,1670,1.29
Indegene Limited,INE065X01017,7287,40.55
Eicher Motors Ltd.,INE066A01021,6558,473.17
Hindustan Aeronautics Limited,INE066F01020,86917,3900.93
Wonderla Holidays Limited,INE066O01014,2417,15.52
Inox Wind Limited,INE066P01011,551507,667.16
CG Power and Industrial Solutions Limited,INE067A01029,48881,363.44
CANTABIL RETAIL INDIA LIMITED,INE068L01024,1639,4.27
Gland Pharma Limited,INE068V01023,1917,34.33
EMBASSY DEVELOPMENTS LIMITED,INE069I01010,1802,2.53
ECOS (India) Mobility & Hospitality Limited,INE06HJ01020,3090,5.15
INDIQUBE SPACES LIMITED,INE06ST01018,805,1.67
LAXMI INDIA FINANCE LIMITED,INE06WU01026,2035,2.57
SHANTI GOLD INTERNATIONAL LIMITED,INE06ZD01017,11521,22.45
SHREE CEMENT,INE070A01015,413,108.19
Jai Corp Limited,INE070D01027,23207,33.13
INSECTCID,INE070I01018,312,2.36
Ugar Sugar Works Ltd.,INE071E01023,509,0.24
Epigral Limited,INE071N01016,3137,46.44
India Homes Limited,INE072A01029,10000000,1300.00
