SEBI REPORT For Trade date 13-May-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,435889.40,
2,Fresh Exposure taken during the day,13305.45,
3,Exposure liquidated during the day,11969.38,
4,Net scripwise outstanding at the end of the day,437225.47,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,16968,63.46
Reliance Industries Ltd,INE002A01018,307668,4369.70
SJVN LIMITED,INE002L01015,623255,524.30
Mahanagar Gas Limited,INE002S01010,18108,218.94
"Siemens Ltd.,",INE003A01024,4518,164.22
Protean eGov Technologies Limited,INE004A01022,51463,436.17
Avantel Limited,INE005B01027,203323,324.29
ASTRAL LIMITED,INE006I01046,14787,235.84
CRISIL Ltd.,INE007A01025,2351,107.90
Geojit Financial Services Limited,INE007B01023,31259,23.01
Fedbank Financial Services Limited,INE007N01010,55267,81.04
IDBI LTD,INE008A01015,1332750,1091.72
Infosys Ltd,INE009A01021,411760,5197.82
Bikaji Foods International Limited,INE00E101023,8830,68.25
Hariom Pipe Industries Limited,INE00EV01017,8704,33.06
Prudent Corporate Advisory Services Limited,INE00F201020,200,5.28
ACUTAAS CHEMICALS LIMITED,INE00FF01025,7583,169.82
SWIGGY LIMITED,INE00H001014,325560,1060.46
STOVE KRAFT LIMITED,INE00IN01015,14270,84.96
Craftsman Automation Limited,INE00LO01017,1338,120.19
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,344652,811.95
Interarch Building Solutions Limited,INE00M901018,3640,74.53
Studds Accessories Limited,INE00Q601028,6246,32.72
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,8514,165.17
Highway Infrastructure Limited,INE00RL01028,107,0.08
Nila Spaces Ltd,INE00S901012,1000,0.15
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,34605,41.74
Manorama Industries Limited,INE00VM01036,5990,87.67
AFFLE 3I LIMITED,INE00WC01027,12772,215.89
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,627,12.01
Flair Writing Industries Limited,INE00Y201027,1925,6.36
A B INFRABUILD LIMITED,INE00YB01025,6067,0.95
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2041,10.03
Entero Healthcare Solutions Limited,INE010601016,324,3.73
PRISM JOHNSON LIMITED.,INE010A01011,27397,38.73
Zydus Lifesciences Limited,INE010B01027,20997,204.89
Tejas Networks Limited,INE010J01012,170139,928.59
L&T Technology Services Limited,INE010V01017,5605,218.40
BALU FORGE INDUSTRIES LIMITED,INE011E01029,12763,64.20
Tega Industries Limited,INE011K01018,3088,59.14
ACC,INE012A01025,19341,317.30
Onesource Specialty Pharma Limited,INE013P01021,1159,18.10
Tinna Rubber and Infrastructure Limited,INE015C01016,642,4.99
DABUR INDIA,INE016A01026,41348,200.42
CEINSYS TECH LIMITED,INE016Q01014,2343,25.80
"Great Eastern Shipping Co. Ltd.,",INE017A01032,31870,484.15
LARSEN & TOU,INE018A01030,93810,3632.44
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,27276,198.20
JSW SL,INE019A01038,17625,221.79
Himadri Speciality Chemical Ltd.,INE019C01026,80676,454.96
STANLEY LIFESTYLES LIMITED,INE01A001028,5830,9.91
Antony Waste Handling Cell Limited,INE01BK01022,8898,46.97
Vishal Mega Mart Limited,INE01EA01019,265786,351.18
Ritco Logistics Limited,INE01EG01016,81,0.24
Baazar Style Retail Limited,INE01FR01028,12891,51.56
Sky Gold And Diamonds Limited,INE01IU01018,23316,94.82
eMudhra Limited,INE01QM01018,4462,25.66
Vikran Engineering Limited,INE01R501028,498068,453.26
Canara HSBC Life Insurance Company Limited,INE01TY01017,30681,43.95
Spencer's Retail Limited,INE020801028,2,0.00
REC LIMITED,INE020B01018,410759,1544.47
Asian Paints Ltd.,INE021A01026,10955,285.24
Dodla Dairy Limited,INE021O01019,1633,18.77
ASIAN GRANITO INDIA LIMITED,INE022I01019,74396,55.88
Indian Energy Exchange Limited,INE022Q01020,291239,404.30
Nalwa Sons Investment Ltd,INE023A01030,33,2.04
Aeroflex Industries Limited,INE024001021,32595,111.67
Shilchar Technologies Ltd.,INE024F01011,3564,146.17
GRAVITA INDIA LIMITED,INE024L01027,12042,206.63
Goldiam International Ltd.,INE025B01025,23116,90.72
Artemis Medicare Services Limited,INE025R01021,1616,5.00
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,396156,652.74
"Lotus Chocolate Co. Ltd.,",INE026D01011,20,0.15
RASHTRIYA CH,INE027A01015,210538,311.50
Max Healthcare Institute Limited,INE027H01010,22301,244.11
Bank Of Baroda,INE028A01039,283172,779.40
BHARAT PETRO,INE029A01011,173737,541.16
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,2953,15.44
Anand Rayons Limited,INE02GA01012,2000,1.35
Raymond Lifestyle Limited,INE02ID01020,12266,121.14
Azad Engineering Limited,INE02IJ01035,7558,148.20
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,23031,46.35
Borosil Limited,INE02PY01013,6099,17.89
Brainbees Solutions Limited,INE02RE01045,59380,171.26
