SEBI REPORT For Trade date 08-May-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,419344.26,
2,Fresh Exposure taken during the day,22740.88,
3,Exposure liquidated during the day,14756.60,
4,Net scripwise outstanding at the end of the day,427328.54,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,16315,60.78
Reliance Industries Ltd,INE002A01018,289120,4108.86
SJVN LIMITED,INE002L01015,620221,521.64
Mahanagar Gas Limited,INE002S01010,18102,219.64
"Siemens Ltd.,",INE003A01024,3966,144.94
Protean eGov Technologies Limited,INE004A01022,49163,427.77
Avantel Limited,INE005B01027,211898,335.41
ASTRAL LIMITED,INE006I01046,16521,263.31
CRISIL Ltd.,INE007A01025,2295,105.78
Geojit Financial Services Limited,INE007B01023,32449,24.01
Fedbank Financial Services Limited,INE007N01010,55723,81.50
IDBI LTD,INE008A01015,1311851,1079.18
Infosys Ltd,INE009A01021,430339,5442.67
Bikaji Foods International Limited,INE00E101023,8830,68.25
Hariom Pipe Industries Limited,INE00EV01017,7738,29.82
Prudent Corporate Advisory Services Limited,INE00F201020,257,6.94
ACUTAAS CHEMICALS LIMITED,INE00FF01025,10455,239.84
SWIGGY LIMITED,INE00H001014,255294,877.81
STOVE KRAFT LIMITED,INE00IN01015,12452,74.58
Craftsman Automation Limited,INE00LO01017,960,85.91
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,346010,816.51
Interarch Building Solutions Limited,INE00M901018,3842,78.62
Dharmaj Crop Guard Limited,INE00OQ01016,0,0.00
Studds Accessories Limited,INE00Q601028,6246,32.72
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,6793,134.68
Highway Infrastructure Limited,INE00RL01028,107,0.08
Nila Spaces Ltd,INE00S901012,1092,0.16
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,35034,42.39
Manorama Industries Limited,INE00VM01036,3509,52.25
AFFLE 3I LIMITED,INE00WC01027,12406,203.85
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,795,15.16
Flair Writing Industries Limited,INE00Y201027,1916,6.33
A B INFRABUILD LIMITED,INE00YB01025,5733,0.90
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,3207,14.98
Entero Healthcare Solutions Limited,INE010601016,565,6.64
PRISM JOHNSON LIMITED.,INE010A01011,25925,36.89
Zydus Lifesciences Limited,INE010B01027,19170,187.01
Tejas Networks Limited,INE010J01012,656343,3496.28
L&T Technology Services Limited,INE010V01017,5296,207.10
BALU FORGE INDUSTRIES LIMITED,INE011E01029,12942,64.72
Tega Industries Limited,INE011K01018,3053,58.58
ACC,INE012A01025,19891,325.27
Onesource Specialty Pharma Limited,INE013P01021,7172,102.86
Tinna Rubber and Infrastructure Limited,INE015C01016,617,4.79
DABUR INDIA,INE016A01026,33803,164.55
CEINSYS TECH LIMITED,INE016Q01014,2028,22.30
"Great Eastern Shipping Co. Ltd.,",INE017A01032,19120,284.26
LARSEN & TOU,INE018A01030,88090,3412.84
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,26836,195.64
JSW SL,INE019A01038,17122,215.77
Himadri Speciality Chemical Ltd.,INE019C01026,67619,372.50
STANLEY LIFESTYLES LIMITED,INE01A001028,4061,7.10
Antony Waste Handling Cell Limited,INE01BK01022,8468,45.06
Vishal Mega Mart Limited,INE01EA01019,257557,341.10
Ritco Logistics Limited,INE01EG01016,81,0.24
Baazar Style Retail Limited,INE01FR01028,10903,43.36
Sky Gold And Diamonds Limited,INE01IU01018,16403,62.64
eMudhra Limited,INE01QM01018,3505,20.90
Vikran Engineering Limited,INE01R501028,493223,452.17
Canara HSBC Life Insurance Company Limited,INE01TY01017,23734,34.66
Spencer's Retail Limited,INE020801028,2,0.00
REC LIMITED,INE020B01018,412960,1553.52
Asian Paints Ltd.,INE021A01026,11307,292.22
Dodla Dairy Limited,INE021O01019,2784,31.45
ASIAN GRANITO INDIA LIMITED,INE022I01019,75425,56.61
Indian Energy Exchange Limited,INE022Q01020,289598,402.46
Nalwa Sons Investment Ltd,INE023A01030,34,2.09
Aeroflex Industries Limited,INE024001021,48296,147.71
Shilchar Technologies Ltd.,INE024F01011,3620,148.70
GRAVITA INDIA LIMITED,INE024L01027,11608,198.73
Goldiam International Ltd.,INE025B01025,22621,88.42
Artemis Medicare Services Limited,INE025R01021,8074,19.74
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,407424,673.09
"Lotus Chocolate Co. Ltd.,",INE026D01011,20,0.15
RASHTRIYA CH,INE027A01015,202084,301.31
Max Healthcare Institute Limited,INE027H01010,22289,243.41
Bank Of Baroda,INE028A01039,247892,686.69
BHARAT PETRO,INE029A01011,169594,533.77
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,2890,15.18
Anand Rayons Limited,INE02GA01012,2000,1.35
Raymond Lifestyle Limited,INE02ID01020,12903,126.37
Azad Engineering Limited,INE02IJ01035,7622,147.15
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,23769,47.68
Borosil Limited,INE02PY01013,6099,17.89
Brainbees Solutions Limited,INE02RE01045,60400,173.93
WONDER ELECTRICALS LIMITED,INE02WG01024,2299,3.30
Electronics Mart India Limited,INE02YR01019,56107,78.38
Corona Remedies Limited,INE02ZQ01018,204,3.37
"Hindustan Unilever Ltd.,",INE030A01027,30044,699.85
Housing &Urban Development Corporation Ltd.,INE031A01017,300510,671.20
Ajanta Pharma Ltd.,INE031B01049,1447,42.45
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,224446,291.66
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,14453,54.84
Arvind SmartSpaces Limited,INE034S01021,3673,25.41
SOTL,INE035D01020,1609,7.05
Gujarat Ambuja Exports Ltd.,INE036B01030,12713,18.86
KARUR VYSYA,INE036D01028,65819,195.58
Concord Enviro Systems Limited,INE037Z01029,851,3.24
Hindalco Industries Ltd.,INE038A01020,33010,313.62
T.V.Today Network Limited,INE038F01029,825,1.12
IFCI LTD,INE039A01010,859191,526.99
"Jamna Auto Industries Ltd.,",INE039C01032,81527,102.89
JASH ENGINEERING LIMITED,INE039O01029,6495,32.47
Jubilant Agri and Consumer Products Limited,INE03CC01015,110,2.11
Max Estates Limited,INE03EI01018,2902,12.93
Go Digit General Insurance Limited,INE03JT01014,4270,14.60
Brigade Hotel Ventures Limited,INE03NU01014,1407,1.19
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,2378,24.51
Cohance Lifesciences Limited,INE03QK01018,239030,1163.66
Chemcon Speciality Chemicals Limited,INE03YM01018,118,0.30
HDFC Bank Ltd.,INE040A01034,616977,5060.75
Mayur Uniquoters ltd.,INE040D01038,1710,9.99
SUZLON ENERGY LTD.,INE040H01021,6295845,3457.67
"Dhampur Sugar Mills Ltd.,",INE041A01016,49558,70.90
Escorts Kubota Limited,INE042A01014,8180,277.41
GTL Ltd,INE043A01012,5000,0.31
Vijaya Diagnostic Centre Limited,INE043W01024,760,8.95
Sun Pharmaceutical Industries Ltd.,INE044A01036,19039,320.26
Paras Defence and Space Technologies Limited,INE045601023,40496,326.00
ADOR WELDING,INE045A01017,303,3.46
Nelco Ltd,INE045B01015,10613,84.52
Fineotex Chemical Limited,INE045J01034,116135,33.42
Reliance Industrial Infrastructure,INE046A01015,5521,48.31
Muthoot Microfin Limited,INE046W01019,14523,28.61
GRASIM INDUS,INE047A01021,2915,82.92
JAGSONPAL PH,INE048B01035,2833,6.50
Navin Fluorent International Ltd,INE048G01026,3770,251.59
"Himatsingka Seide Ltd.,",INE049A01027,83001,85.58
Wockhardt Ltd,INE049B01025,73754,1007.27
SBC EXPORTS LIMITED,INE04AK01028,850843,239.59
KPIT Technologies Ltd,INE04I401011,77306,666.23
ETHOS LIMITED,INE04TZ01018,1950,50.93
Seshaasai Technologies Limited,INE04VU01023,2825,7.89
Prakash Pipes Limited,INE050001010,3361,14.82
Elin Electronics Limited,INE050401020,3471,4.23
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,4886,82.95
IL & FS Investment Managers Ltd.,INE050B01023,200,0.02
Balaji Amines Ltd.,INE050E01027,6448,89.24
Rane (Madras)  Ltd.,INE050H01012,2238,18.01
Vardhman Special Steels Ltd,INE050M01012,1236,3.69
Vakrangee Softwares Ltd.,INE051B01021,45850,3.51
Windsor Machines Limited,INE052A01021,1450,4.59
Camlin Fine Sciences Ltd,INE052I01032,14922,20.59
BEST AGROLIFE LIMITED,INE052T01021,2956,0.79
Indian Hotels Co. Ltd,INE053A01029,84202,585.83
Indian Railway Finance Corporation,INE053F01010,1763584,2086.51
"V.I.P. Industries Ltd.,",INE054A01027,114399,360.97
Waterbase Limited,INE054C01015,202,0.10
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,8284,150.91
Cyient DLM Limited,INE055S01018,15094,62.95
IVALUE INFOSOLUTIONS LIMITED,INE056801025,835,2.26
Refex Industries Limited,INE056I01025,18829,51.95
Sanofi India Ltd,INE058A01010,1907,71.44
"Cipla Ltd.,",INE059A01026,22047,312.32
Simplex Infrastructures Limited,INE059B01024,55,0.13
La Opala RG Ltd.,INE059D01020,3897,8.84
Hindware Home Innovation Limited,INE05AN01011,5660,12.79
Ratnaveer Precision Engineering Limited,INE05CZ01011,341566,558.41
Central Mine Planning & Design Institute Limited,INE05HV01027,12863,26.44
Indogulf Cropsciences Limited,INE05J901018,126,0.12
Amir Chand Jagdish Kumar (Exports) Limited,INE05TO01019,2100,2.80
BHARAT COKING COAL LIMITED,INE05XR01022,478588,165.79
Navneet Education Limited,INE060A01024,6235,9.18
FORTIS HEALTHCARE LIMITED,INE061F01013,25279,239.33
"State Bank Of India,",INE062A01020,321008,3431.74
ALICON,INE062D01024,54,0.47
Pondy Oxides & Chemicals Limited,INE063E01053,5663,75.02
Equitas Small Finance Bank Limited,INE063P01018,130359,86.25
TIMES GROUP,INE064A01026,556128,1705.66
Trident Ltd.,INE064C01022,890510,252.57
AEROFLEX ENTERPRISES LIMITED,INE065D01027,450,0.41
Indegene Limited,INE065X01017,7467,41.35
Eicher Motors Ltd.,INE066A01021,5745,420.87
Hindustan Aeronautics Limited,INE066F01020,76384,3512.53
Wonderla Holidays Limited,INE066O01014,3134,19.25
Inox Wind Limited,INE066P01011,554264,671.91
CG Power and Industrial Solutions Limited,INE067A01029,55533,435.62
CANTABIL RETAIL INDIA LIMITED,INE068L01024,2639,6.66
Gland Pharma Limited,INE068V01023,2235,40.09
EMBASSY DEVELOPMENTS LIMITED,INE069I01010,1593,2.03
ECOS (India) Mobility & Hospitality Limited,INE06HJ01020,3350,5.55
INDIQUBE SPACES LIMITED,INE06ST01018,551,1.22
LAXMI INDIA FINANCE LIMITED,INE06WU01026,913,1.30
SHANTI GOLD INTERNATIONAL LIMITED,INE06ZD01017,11907,24.05
SHREE CEMENT,INE070A01015,375,97.88
Jai Corp Limited,INE070D01027,26712,37.18
INSECTCID,INE070I01018,312,2.36
Ugar Sugar Works Ltd.,INE071E01023,509,0.24
Epigral Limited,INE071N01016,3392,50.27
India Homes Limited,INE072A01029,10000000,1300.00
Associated Alcohols & Breweries Ltd,INE073G01016,3104,30.29
Sona BLW Precision Forgings Limited,INE073K01018,36952,203.13
Praj Industries Ltd.,INE074A01025,108023,445.75
Paramount Communications Ltd.,INE074B01023,86154,39.40
WIPRO LTD.,INE075A01022,802142,1697.35
G M BREWERIE,INE075D01018,7002,77.51
HealthCare Global Enterprises Limited,INE075I01017,3286,20.01
SIYAR SILK M,INE076B01028,3035,18.76
IFB Agro Industries Ltd,INE076C01018,149,1.37
GOCL Corporation Limited ,INE077F01035,4418,14.92
Vikram Solar Limited,INE078V01014,121114,282.67
Ambuja Cements Ltd.,INE079A01024,113461,559.98
Gateway Distriparks Limited,INE079J01017,56885,35.11
ZAGGLE PREPAID OCEAN SERVICES LIMITED,INE07K301024,108302,318.00
Easy Trip Planners Limited,INE07O001026,717210,74.55
NDR Auto Components Limited,INE07OG01012,247,2.28
Supriya Lifescience Limited,INE07RO01027,9520,68.93
Restaurant Brands Asia Limited,INE07T201019,1008096,659.79
IRM ENERGY LIMITED,INE07U701015,10336,31.13
HITACHI ENERGY INDIA LIMITED,INE07Y701011,2811,876.63
LLOYDS ENTERPRISES LIMITED,INE080I01025,3074432,2367.19
TATA IORN AN,INE081A01020,423501,839.10
"Kopran Ltd.,",INE082A01010,2928,4.89
Morepen Laboratories Ltd.,INE083A01026,371086,174.74
Themis Medicare Ltd.,INE083B01024,3137,3.52
BANK OF INDI,INE084A01016,602789,914.29
Amanta Healthcare Limited,INE084K01015,11122,15.01
WeWork India Management Limited,INE085001019,2644,14.19
CHAMBAL FERT,INE085A01013,720910,3174.28
Thangamayil Jewellery Limited,INE085J01014,328,13.03
"Electrosteel Castings Ltd.,",INE086A01029,495634,442.61
Shree Renuka Sugars Ltd.,INE087H01022,589225,182.21
Paradeep Phosphates Limited,INE088F01024,486293,741.12
DR.REDDY'S L,INE089A01031,12577,162.49
Sterlite Technologies Limited.,INE089C01029,381510,1078.61
MUFIN GREEN FINANCE LIMITED,INE08KJ01020,83719,98.68
Krsnaa Diagnostics Limited,INE08LI01020,1358,9.54
M & B ENGINEERING LIMITED,INE08N601015,5326,19.53
SANSTAR LIMITED,INE08NE01025,1007,1.21
Samhi Hotels Limited,INE08U801020,69510,125.11
Greenpanel Industries Limited,INE08ZM01014,7351,17.20
Scoda Tubes Limited,INE090501011,14368,24.21
ICICI Bank Ltd.,INE090A01021,139284,1843.63
OMAX AUTO LT,INE090B01011,4,0.01
Jai Balaji Industries Limited,INE091G01026,63552,51.11
TATA CHEMICA,INE092A01019,88069,679.79
INDIA NIPP E,INE092B01025,630,5.19
IDFC FIRST BANK LIMITED,INE092T01019,1243734,880.83
Hexaware Technologies Limited,INE093A01041,20757,110.46
OBEROI REALTY LIMITED,INE093I01010,6639,113.23
LLOYDS ENGINEERING WORKS LIMITED,INE093R01011,325227,186.16
HINDUSTAN PE,INE094A01015,94749,389.68
Kolte-Patil Developers Ltd,INE094I01018,4624,16.08
UTI Asset Management Company Limited,INE094J01016,12343,135.65
Mishtann Foods Limited,INE094S01041,200,0.01
IndusInd Bank Ltd.,INE095A01012,26524,251.33
NBCC (India) Limited,INE095N01031,866705,871.19
NUCLEU SOF E,INE096B01018,282,2.88
Amrutanjan Health Care Limited,INE098F01031,160,1.20
Mishra Dhatu Nigam Limited,INE099Z01011,36159,139.60
Aarti Surfactants Limited,INE09EO01013,169,0.68
Gujarat Fluorochemicals Limited,INE09N301011,3545,129.77
Indigo Paints Limited,INE09VQ01012,3335,31.55
Akums Drugs and Pharmaceuticals Limited,INE09XN01023,5366,27.52
Dc Infotech and Communication Limited,INE0A1101019,4000,10.16
VISHNU PRAKASH R PUNGLIA LIMITED,INE0AE001013,71755,47.94
Ceigall India Limited,INE0AG901020,3813,13.06
Hemisphere Properties India Limited,INE0AJG01018,70882,100.15
ADVAIT ENERGY TRANSITIONS LIMITED,INE0ALI01010,1132,22.36
Leela Palaces Hotels & Resorts Limited,INE0AQ201015,1810,7.95
KRONOX LAB SCIENCES LIMITED,INE0ATZ01017,420,0.70
Bansal Wire Industries Limited,INE0B9K01025,2040,6.20
Go Fashion (India) Limited,INE0BJS01011,14389,53.94
Premier Energies Limited,INE0BS701011,23342,232.83
C.E. Info Systems Limited,INE0BV301023,7051,88.19
Aether Industries Limited,INE0BWX01014,4669,51.08
PROSTARM INFO SYSTEMS LIMITED,INE0BX301013,7258,12.03
Jubilant Ingrevia Limited,INE0BY001018,8193,60.04
Oswal Pumps Limited,INE0BYP01024,44279,201.70
Urban Company Limited,INE0CAZ01013,120076,171.35
Mukka Proteins Limited,INE0CG401037,21161,7.36
Knowledge Marine & Engineering Works Limited,INE0CJD01029,4190,78.93
Western Carriers (India) Limited,INE0CJF01024,14218,18.98
RateGain Travel Technologies Limited,INE0CLI01024,2058065,12588.20
Meghmani Organics Limited,INE0CT101020,444419,309.61
GMR Power and Urban Infra Limited,INE0CU601026,45361,54.23
Anthem Biosciences Limited,INE0CZ201020,9938,71.37
Sigachi Industries Limited,INE0D0K01022,92155,23.56
India Pesticides Limited,INE0D6701023,24193,46.26
Ksolves India Limited,INE0D6I01023,146,0.53
RailTel Corporation of India Limited,INE0DD101019,173934,628.68
PIRAMAL PHARMA LIMITED,INE0DK501011,239436,453.05
Fairchem Organics Limited,INE0DNW01011,4762,31.10
INNOVA CAPTAB LIMITED,INE0DUT01020,792,6.71
Syrma SGS Technology Limited,INE0DYJ01015,38922,349.38
Wakefit Innovations Limited,INE0E7301029,2878,4.69
HMA Agro Industries Limited,INE0ECP01024,1047,0.28
TARC LIMITED,INE0EK901012,81723,127.10
Network People Services Technologies Limited,INE0FFK01017,1094,17.74
Deep Industries Limited,INE0FHS01024,13624,62.06
Motisons Jewellers Limited,INE0FRK01020,180913,36.21
Motherson Sumi Wiring India Limited,INE0FS801015,392854,167.30
Markolines Pavement Technologies Limited,INE0FW001016,600,0.97
EPACK Durable Limited,INE0G5901015,938897,3620.25
Tatva Chintan Pharma Chem Limited,INE0GK401011,2554,33.12
HP Adhesives Limited,INE0GSL01024,673,0.29
ALL TIME PLASTICS LIMITED,INE0GV601021,303,0.78
Windlas Biotech Limited,INE0H5O01029,1690,14.53
Sai Parenteral's Limited,INE0H9F01037,1700,8.44
ArisInfra Solutions Limited,INE0H9P01028,33789,42.12
Fabtech Technologies Limited,INE0HF201011,2387,4.28
One Mobikwik Systems Limited,INE0HLU01028,55133,128.84
Tracxn Technologies Limited,INE0HMF01019,14,0.01
Billionbrains Garage Ventures Limited,INE0HOQ01053,456685,939.20
DDEV PLASTIKS INDUSTRIES LIMITED,INE0HR601026,2474,6.52
Le Travenues Technology Limited,INE0HV901016,59115,117.49
Latent View Analytics Limited,INE0I7C01011,57137,204.98
Capillary Technologies India Limited,INE0ILV01024,1853,10.86
AEGIS VOPAK TERMINALS LIMITED,INE0INX01018,22989,52.36
Veranda Learning Solutions Limited,INE0IQ001011,497,1.04
Data Patterns (India) Limited,INE0IX101010,17125,615.97
Rashi Peripherals Limited,INE0J1F01024,2361,10.46
LIFE INSURANCE CORPORATION OF INDIA,INE0J1Y01017,128865,1143.29
Honasa Consumer Limited,INE0J5401028,13661,45.26
Jeena Sikho Lifecare Limited,INE0J5801029,13910,94.86
Venus Pipes & Tubes Limited,INE0JA001018,3956,55.48
YATHARTH HOSPITAL & TRAUMA CARE SERVICES LIMITED,INE0JO301016,13060,96.04
Sanathan Textiles Limited,INE0JPD01013,46,0.21
YATRA ONLINE LIMITED,INE0JR601024,45867,54.38
DREAMFOLKS SERVICES LIMITED,INE0JS101016,1155,5.84
Harsha Engineers International Limited,INE0JUS01029,301219,1250.18
Garuda Construction and Engineering Limited,INE0JVO01026,13984,25.38
Blue Jet Healthcare Limited,INE0KBH01020,41438,199.37
Eureka Forbes Limited,INE0KCE01017,97145,506.71
Rhetan TMT Limited,INE0KKN01029,293313,76.55
DCX Systems Limited,INE0KL801015,89881,198.77
MANOJ VAIBHAV GEMS 'N' JEWELLERS LIMITED,INE0KNT01012,378,0.75
Bajel Projects Limited,INE0KQN01018,4890,8.72
Gopal Snacks Limited,INE0L9R01028,17817,58.75
Avalon Technologies Limited,INE0LCL01028,3054,34.22
Ather Energy Limited,INE0LEZ01016,69914,637.44
INSOLATION ENERGY LIMITED,INE0LGX01024,15163,22.83
ENVIRO INFRA ENGINEERS LIMITED,INE0LLY01014,64647,143.63
Cello World Limited,INE0LMW01024,12921,68.66
IKIO Technologies Limited,INE0LOJ01019,5585,13.95
Physicswallah Limited,INE0LP301011,143545,169.41
Aarti Pharmalabs Limited,INE0LRU01027,8262,66.54
Quadrant Future Tek Limited,INE0LRY01011,19411,68.03
Ola Electric Mobility Limited,INE0LXG01040,2460473,911.79
REDTAPE Limited,INE0LXT01019,24844,34.17
STANDARD ENGINEERING TECHNOLOGY LIMITED,INE0M4D01010,8033,10.86
J.G.Chemicals Limited,INE0MB501011,3536,14.92
REGAAL RESOURCES LIMITED,INE0MHO01029,2096,1.78
Epack Prefab Technologies Limited,INE0MLS01022,12204,25.50
TRUALT BIOENERGY LIMITED,INE0MWH01014,9865,46.71
Rishabh Instruments Limited,INE0N2P01017,939,4.41
BEML Land Assets Limited,INE0N7W01012,1455,3.00
SMARTWORKS COWORKING SPACES LIMITED,INE0NAZ01010,876,4.00
BLS E-Services Limited,INE0NLT01010,35927,60.17
NMDC Steel Limited,INE0NNS01018,694836,301.89
NETWEB TECHNOLOGIES INDIA LIMITED,INE0NT901020,18618,726.23
Kross Limited,INE0O6601022,5196,11.22
Indef Manufacturing Limited,INE0O9T01021,285,1.19
JNK India Limited,INE0OAF01028,3277,8.94
Rossell Techsys Limited,INE0OJW01016,1734,14.71
NTPC GREEN ENERGY LIMITED,INE0ONG01011,346726,369.54
Deepak Builders and Engineers India Limited,INE0OPA01019,10411,7.31
EMS LIMITED,INE0OV601013,32691,159.13
Gaudium IVF and Women Health Limited,INE0P8B01020,2,0.00
GHCL Textiles Limited,INE0PA801013,200,0.18
Shipping Corporation of India Land and Assets Limited,INE0PB301013,38359,19.32
MANGAL ELECTRICAL INDUSTRIES LIMITED,INE0PKD01011,143,0.36
Orient Technologies Limited,INE0PPK01015,9011,29.31
SARASWATI SAREE DEPOT LIMITED,INE0PQ101010,800,0.51
Platinum Industries Limited,INE0PT501018,3594,10.26
KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,INE0Q3J01015,21086,263.47
SUNDARAM-CLAYTON LIMITED,INE0Q3R01026,196,2.91
International Gemological Institute Limited,INE0Q9301021,9885,35.64
KRYSTAL INTEGRATED SERVICES LIMITED,INE0QN801017,234,1.42
Sudeep Pharma Limited,INE0QPI01025,727,5.00
ARKADE DEVELOPERS LIMITED,INE0QRL01017,33952,46.71
Denta Water and Infra Solutions Limited,INE0R4L01018,5318,16.56
SRM CONTRACTORS LIMITED,INE0R6Z01013,4816,24.76
PATEL RETAIL LIMITED,INE0R8B01010,746,1.74
SENORES PHARMACEUTICALS LIMITED,INE0RB801010,9899,79.95
Gala Precision Engineering Limited,INE0RE001014,28,0.22
Tolins Tyres Limited,INE0RWQ01014,2399,3.92
Stallion India Fluorochemicals Limited,INE0RYC01010,20492,33.62
SHREE TIRUPATI BALAJEE AGRO TRADING COMPANY LIMITED,INE0S2G01011,5963,2.49
VRAJ IRON AND STEEL LIMITED,INE0S2V01010,100,0.13
Pace Digitek Limited,INE0S3G01027,115629,204.94
CRIZAC LIMITED,INE0S4R01014,15330,39.66
QUALITY POWER ELECTRICAL EQUIPMENTS LIMITED,INE0SII01026,14611,157.20
VMS TMT LIMITED,INE0SJA01013,16,0.01
MAMATA MACHINERY LIMITED,INE0TO701015,10033,46.04
Glottis Limited,INE0TQE01026,238,0.14
Solarworld Energy Solutions Limited,INE0TY101024,11075,24.59
Unimech Aerospace and Manufacturing Limited,INE0U3I01011,1247,11.92
Bluspring Enterprises Limited,INE0U4101014,15900,12.79
Digitide Solutions Limited,INE0U4701011,25304,33.85
Omnitech Engineering Limited,INE0UH301010,3150,12.50
BlackBuck Limited,INE0UIZ01018,29154,174.25
Sanofi Consumer Healthcare India Limited,INE0UOS01011,575,27.54
GUJARAT KIDNEY AND SUPER SPECIALITY LIMITED,INE0V0W01025,168100,182.06
HYUNDAI MOTOR INDIA LIMITED,INE0V6F01027,32336,653.51
CARRARO INDIA LIMITED,INE0V7W01012,2359,13.92
Sri Lotus Developers and Realty Limited,INE0V9Q01010,38874,65.79
Meesho Limited,INE0VDM01015,209622,432.88
Sagility Limited,INE0W2G01015,1114629,532.57
Laxmi Dental Limited,INE0WO601020,5707,14.11
Midwest Limited,INE0XAD01024,4238,52.13
ANLON HEALTHCARE LIMITED,INE0Y8W01025,39270,5.55
Jain Resource Recycling Limited,INE0YD401026,26798,122.94
Atlanta Electricals Limited,INE0Z4F01028,134,2.30
ATUL LTD.,INE100A01010,1001,70.80
Mahindra & Mahindra Ltd.,INE101A01026,54082,1800.60
Granules India Ltd.,INE101D01020,24508,150.46
Afcons Infrastructure Limited,INE101I01011,19105,69.69
HLV LIMITED,INE102A01024,4393,0.59
Choice International Ltd,INE102B01014,325060,2466.14
Godrej Consumer Products Ltd.,INE102D01028,22420,243.28
Allied Digital Services Limited,INE102I01027,12315,20.26
MANGALORE RE,INE103A01014,437600,775.64
SMC Global Securities Limited,INE103C01036,5818,3.77
TRAVEL FOOD SERVICES LIMITED,INE103V01028,1513,19.33
TVS Holdings Limited,INE105A01035,105,15.35
RPG Life Sciences Limited,INE105J01010,125,2.92
HI-TECH PIPES LIMITED,INE106T01025,221359,218.72
TAMILNADU NE,INE107A01015,12864,21.29
Awfis Space Solutions Limited,INE108V01019,12124,54.08
SHIPPING COR,INE109A01011,222133,617.22
ARMAN FIN,INE109C01017,448,6.86
Mindteck (India) Ltd,INE110B01017,330,0.71
CONTAIN CORP,INE111A01025,58464,331.12
FINANC TECHN,INE111B01023,610,4.74
