SEBI REPORT For Trade date 26-Feb-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,388317.71,
2,Fresh Exposure taken during the day,9131.09,
3,Exposure liquidated during the day,8718.20,
4,Net scripwise outstanding at the end of the day,388730.59,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,17607,67.26
Reliance Industries Ltd,INE002A01018,221165,3228.61
SJVN LIMITED,INE002L01015,744875,645.26
Mahanagar Gas Limited,INE002S01010,21929,272.59
"Siemens Ltd.,",INE003A01024,6791,232.25
Protean eGov Technologies Limited,INE004A01022,47037,506.85
Avantel Limited,INE005B01027,303385,520.19
ASTRAL LIMITED,INE006I01046,9555,153.38
CRISIL Ltd.,INE007A01025,1695,83.28
Geojit Financial Services Limited,INE007B01023,46845,48.57
Fedbank Financial Services Limited,INE007N01010,49033,72.04
IDBI LTD,INE008A01015,826498,822.24
Infosys Ltd,INE009A01021,208862,2992.41
Bikaji Foods International Limited,INE00E101023,12935,98.65
Hariom Pipe Industries Limited,INE00EV01017,9472,42.38
Prudent Corporate Advisory Services Limited,INE00F201020,345,9.08
ACUTAAS CHEMICALS LIMITED,INE00FF01025,5130,94.69
SWIGGY LIMITED,INE00H001014,232848,908.32
STOVE KRAFT LIMITED,INE00IN01015,8096,50.39
Craftsman Automation Limited,INE00LO01017,799,62.19
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,287093,716.31
Interarch Building Solutions Limited,INE00M901018,2459,51.27
Studds Accessories Limited,INE00Q601028,6414,34.47
DALMIA BHARAT LIMITED,INE00R701025,4505,97.07
Highway Infrastructure Limited,INE00RL01028,11067,6.49
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,37061,47.74
Manorama Industries Limited,INE00VM01036,4791,69.74
AFFLE 3I LIMITED,INE00WC01027,7676,138.41
Flair Writing Industries Limited,INE00Y201027,2673,8.62
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2347,12.59
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,138,0.28
Entero Healthcare Solutions Limited,INE010601016,2592,30.22
PRISM JOHNSON LIMITED.,INE010A01011,22880,32.78
Zydus Lifesciences Limited,INE010B01027,18211,179.10
Tejas Networks Limited,INE010J01012,161107,867.06
L&T Technology Services Limited,INE010V01017,5895,237.32
BALU FORGE INDUSTRIES LIMITED,INE011E01029,24567,121.65
Tega Industries Limited,INE011K01018,3452,68.00
ACC,INE012A01025,15663,287.96
R&B Denims Limited,INE012Q01021,24133,44.55
Onesource Specialty Pharma Limited,INE013P01021,2871,45.98
WIM PLAST LT,INE015B01018,930,4.31
Tinna Rubber and Infrastructure Limited,INE015C01016,332,2.82
DABUR INDIA,INE016A01026,17066,91.58
CEINSYS TECH LIMITED,INE016Q01014,150,1.89
"Great Eastern Shipping Co. Ltd.,",INE017A01032,6182,73.02
LARSEN & TOU,INE018A01030,17426,681.49
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,14239,120.84
JSW SL,INE019A01038,7148,83.95
Himadri Speciality Chemical Ltd.,INE019C01026,59464,295.35
STANLEY LIFESTYLES LIMITED,INE01A001028,3785,8.56
Antony Waste Handling Cell Limited,INE01BK01022,4849,26.76
Vishal Mega Mart Limited,INE01EA01019,268240,370.78
Ritco Logistics Limited,INE01EG01016,83,0.24
Baazar Style Retail Limited,INE01FR01028,108270,377.61
Sky Gold And Diamonds Limited,INE01IU01018,16984,60.04
eMudhra Limited,INE01QM01018,12432,71.68
Vikran Engineering Limited,INE01R501028,609582,581.00
Canara HSBC Life Insurance Company Limited,INE01TY01017,14081,21.01
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,578138,2214.83
Asian Paints Ltd.,INE021A01026,12676,333.91
Dodla Dairy Limited,INE021O01019,384,4.89
ASIAN GRANITO INDIA LIMITED,INE022I01019,33238,23.98
Indian Energy Exchange Limited,INE022Q01020,240806,354.22
Nalwa Sons Investment Ltd,INE023A01030,32,2.04
Aeroflex Industries Limited,INE024001021,48309,101.14
SHILCHAR TEC,INE024F01011,2461,93.14
GRAVITA INDIA LIMITED,INE024L01027,14898,260.04
Goldiam International Ltd.,INE025B01025,32302,123.64
Artemis Medicare Services Limited,INE025R01021,1934,5.57
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,125235,243.61
RASHTRIYA CH,INE027A01015,244814,391.56
Max Healthcare Institute Limited,INE027H01010,23273,268.39
Bank Of Baroda,INE028A01039,92919,268.82
BHARAT PETRO,INE029A01011,64506,238.13
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,1842,11.62
Raymond Lifestyle Limited,INE02ID01020,9113,107.05
Azad Engineering Limited,INE02IJ01035,21375,371.99
Borosil Scientific Limited,INE02L001032,282,0.35
Fino Payments Bank Limited,INE02NC01014,19561,50.33
Borosil Limited,INE02PY01013,6564,21.99
Brainbees Solutions Limited,INE02RE01045,67093,195.31
WONDER ELECTRICALS LIMITED,INE02WG01024,7528,12.53
Electronics Mart India Limited,INE02YR01019,56056,77.83
Corona Remedies Limited,INE02ZQ01018,41,0.65
"Hindustan Unilever Ltd.,",INE030A01027,14879,364.42
Housing &Urban Development Corporation Ltd.,INE031A01017,763447,1645.38
Ajanta Pharma Ltd.,INE031B01049,1050,29.84
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,773718,939.74
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,21715,77.86
Arvind SmartSpaces Limited,INE034S01021,4232,29.26
SOTL,INE035D01020,1188,5.43
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,14617,20.55
KARUR VYSYA,INE036D01028,26205,74.48
Concord Enviro Systems Limited,INE037Z01029,391,1.92
Hindalco Industries Ltd.,INE038A01020,41017,367.76
T.V.Today Network Limited,INE038F01029,1241,1.76
IFCI LTD,INE039A01010,801195,497.25
"Jamna Auto Industries Ltd.,",INE039C01032,111139,150.04
JASH ENGINEERING LIMITED,INE039O01029,6772,34.07
Jubilant Agri and Consumer Products Limited,INE03CC01015,95,1.86
Max Estates Limited,INE03EI01018,3063,14.14
VL E-Governance & IT Solutions Limited,INE03HW01020,5000,1.00
Go Digit General Insurance Limited,INE03JT01014,4420,15.58
Brigade Hotel Ventures Limited,INE03NU01014,1709,1.44
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1968,18.61
Cohance Lifesciences Limited,INE03QK01018,16896,87.73
Chemcon Speciality Chemicals Limited,INE03YM01018,125,0.32
HDFC Bank Ltd.,INE040A01034,219760,2109.22
Mayur Uniquoters ltd.,INE040D01038,3038,17.68
SUZLON ENERGY LTD.,INE040H01021,7430881,4120.88
"Dhampur Sugar Mills Ltd.,",INE041A01016,43337,61.94
Escorts Kubota Limited,INE042A01014,4584,169.26
GTL Ltd,INE043A01012,387,0.03
Vijaya Diagnostic Centre Limited,INE043W01024,1966,19.76
Sun Pharmaceutical Industries Ltd.,INE044A01036,15324,254.49
Paras Defence and Space Technologies Limited,INE045601023,37761,265.11
ADOR WELDING,INE045A01017,142,1.67
Nelco Ltd,INE045B01015,8968,75.03
Fineotex Chemical Limited,INE045J01034,127595,36.82
Reliance Industrial Infrastructure,INE046A01015,5567,50.42
Muthoot Microfin Limited,INE046W01019,5137,8.86
GRASIM INDUS,INE047A01021,3316,94.95
JAGSONPAL PH,INE048B01035,4214,10.23
Navin Fluorent International Ltd,INE048G01026,4434,286.78
"Himatsingka Seide Ltd.,",INE049A01027,63831,84.16
Wockhardt Ltd,INE049B01025,77297,1105.57
SBC EXPORTS LIMITED,INE04AK01028,560100,147.86
KPIT Technologies Ltd,INE04I401011,47786,501.75
ETHOS LIMITED,INE04TZ01018,528,14.95
Seshaasai Technologies Limited,INE04VU01023,1546,4.67
Prakash Pipes Limited,INE050001010,4782,18.65
Elin Electronics Limited,INE050401020,1309,2.81
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,3113,57.52
IL & FS Investment Managers Ltd.,INE050B01023,244,0.02
Balaji Amines Ltd.,INE050E01027,6624,90.26
Rane (Madras)  Ltd.,INE050H01012,2309,18.40
Vardhman Special Steels Ltd,INE050M01012,1850,5.52
Vakrangee Softwares Ltd.,INE051B01021,13950,1.31
Windsor Machines Limited,INE052A01021,1250,3.95
Camlin Fine Sciences Ltd,INE052I01032,12239,20.10
BEST AGROLIFE LIMITED,INE052T01021,3376,0.88
Indian Hotels Co. Ltd,INE053A01029,78697,576.00
Indian Railway Finance Corporation,INE053F01010,1868818,2354.40
"V.I.P. Industries Ltd.,",INE054A01027,15075,63.18
Waterbase Limited,INE054C01015,18376,10.32
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,8389,159.95
Cyient DLM Limited,INE055S01018,21396,91.74
IVALUE INFOSOLUTIONS LIMITED,INE056801025,415,0.99
Refex Industries Limited,INE056I01025,23639,67.41
Sanofi India Ltd,INE058A01010,871,39.37
"Cipla Ltd.,",INE059A01026,21615,319.14
La Opala RG Ltd.,INE059D01020,5729,13.67
Hindware Home Innovation Limited,INE05AN01011,3193,9.59
Ratnaveer Precision Engineering Limited,INE05CZ01011,338081,551.30
