SEBI REPORT For Trade date 27-Mar-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,386663.70,
2,Fresh Exposure taken during the day,14099.99,
3,Exposure liquidated during the day,9018.92,
4,Net scripwise outstanding at the end of the day,391744.76,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,17302,63.26
Reliance Industries Ltd,INE002A01018,264662,3756.55
SJVN LIMITED,INE002L01015,660963,562.45
Mahanagar Gas Limited,INE002S01010,20025,240.36
"Siemens Ltd.,",INE003A01024,5754,194.67
Protean eGov Technologies Limited,INE004A01022,47717,458.08
Avantel Limited,INE005B01027,296140,486.61
ASTRAL LIMITED,INE006I01046,5088,82.23
CRISIL Ltd.,INE007A01025,2023,93.96
Geojit Financial Services Limited,INE007B01023,53745,52.17
Fedbank Financial Services Limited,INE007N01010,51177,73.78
IDBI LTD,INE008A01015,821146,720.48
Infosys Ltd,INE009A01021,170699,2396.26
Bikaji Foods International Limited,INE00E101023,9978,76.53
Hariom Pipe Industries Limited,INE00EV01017,5938,26.64
Prudent Corporate Advisory Services Limited,INE00F201020,282,7.48
ACUTAAS CHEMICALS LIMITED,INE00FF01025,10255,222.42
SWIGGY LIMITED,INE00H001014,213033,786.02
STOVE KRAFT LIMITED,INE00IN01015,12221,72.33
Craftsman Automation Limited,INE00LO01017,611,45.27
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,288532,694.24
Interarch Building Solutions Limited,INE00M901018,2150,44.03
Studds Accessories Limited,INE00Q601028,5123,27.57
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,3785,81.01
Highway Infrastructure Limited,INE00RL01028,1375,0.96
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,33312,42.75
Manorama Industries Limited,INE00VM01036,3768,53.05
AFFLE 3I LIMITED,INE00WC01027,7753,136.17
Flair Writing Industries Limited,INE00Y201027,1751,5.66
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,1941,10.33
Entero Healthcare Solutions Limited,INE010601016,2747,32.28
PRISM JOHNSON LIMITED.,INE010A01011,14646,21.98
Zydus Lifesciences Limited,INE010B01027,15443,152.39
Tejas Networks Limited,INE010J01012,202079,1063.43
L&T Technology Services Limited,INE010V01017,6093,236.32
BALU FORGE INDUSTRIES LIMITED,INE011E01029,19410,92.44
Tega Industries Limited,INE011K01018,2773,54.36
ACC,INE012A01025,16908,288.20
R&B Denims Limited,INE012Q01021,1270,2.34
Onesource Specialty Pharma Limited,INE013P01021,206009,3047.83
WIM PLAST LT,INE015B01018,830,3.85
Tinna Rubber and Infrastructure Limited,INE015C01016,352,2.77
DABUR INDIA,INE016A01026,19419,100.62
CEINSYS TECH LIMITED,INE016Q01014,213,2.51
"Great Eastern Shipping Co. Ltd.,",INE017A01032,6692,84.97
LARSEN & TOU,INE018A01030,49665,1830.25
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,13596,111.53
JSW SL,INE019A01038,6636,77.01
Himadri Speciality Chemical Ltd.,INE019C01026,49456,241.56
STANLEY LIFESTYLES LIMITED,INE01A001028,5174,10.24
Antony Waste Handling Cell Limited,INE01BK01022,4689,24.66
Vishal Mega Mart Limited,INE01EA01019,252706,334.08
Ritco Logistics Limited,INE01EG01016,82,0.24
Baazar Style Retail Limited,INE01FR01028,109715,380.33
Sky Gold And Diamonds Limited,INE01IU01018,14741,51.58
eMudhra Limited,INE01QM01018,10825,59.71
Vikran Engineering Limited,INE01R501028,556076,516.51
Canara HSBC Life Insurance Company Limited,INE01TY01017,5384,7.76
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,495899,1843.75
Asian Paints Ltd.,INE021A01026,11811,300.30
Dodla Dairy Limited,INE021O01019,338,4.20
ASIAN GRANITO INDIA LIMITED,INE022I01019,15166,11.04
Indian Energy Exchange Limited,INE022Q01020,255115,359.44
Nalwa Sons Investment Ltd,INE023A01030,20,1.25
Aeroflex Industries Limited,INE024001021,29039,67.27
Shilchar Technologies Ltd.,INE024F01011,3283,124.70
GRAVITA INDIA LIMITED,INE024L01027,13107,220.50
Goldiam International Ltd.,INE025B01025,24661,92.71
Artemis Medicare Services Limited,INE025R01021,1224,3.91
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,439011,727.14
"Lotus Chocolate Co. Ltd.,",INE026D01011,10,0.08
RASHTRIYA CH,INE027A01015,231116,356.93
Max Healthcare Institute Limited,INE027H01010,15568,179.64
Bank Of Baroda,INE028A01039,142653,403.44
BHARAT PETRO,INE029A01011,94470,301.84
Kalyani Investment Company Limited,INE029L01018,8,0.38
ROSSARI BIOTECH LIMITED,INE02A801020,1466,8.59
Anand Rayons Limited,INE02GA01012,2000,1.35
Raymond Lifestyle Limited,INE02ID01020,9697,105.47
Azad Engineering Limited,INE02IJ01035,21663,372.39
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,27966,57.83
Borosil Limited,INE02PY01013,3744,11.87
Brainbees Solutions Limited,INE02RE01045,42849,132.00
WONDER ELECTRICALS LIMITED,INE02WG01024,1601,2.64
Electronics Mart India Limited,INE02YR01019,51720,71.33
Corona Remedies Limited,INE02ZQ01018,152,2.43
"Hindustan Unilever Ltd.,",INE030A01027,14851,351.27
Housing &Urban Development Corporation Ltd.,INE031A01017,637604,1343.77
Ajanta Pharma Ltd.,INE031B01049,910,26.62
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,223350,291.69
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,19079,69.23
Arvind SmartSpaces Limited,INE034S01021,3910,26.84
SOTL,INE035D01020,1180,5.39
Gujarat Ambuja Exports Ltd.,INE036B01030,16000,22.35
KARUR VYSYA,INE036D01028,23523,66.16
Concord Enviro Systems Limited,INE037Z01029,285,1.49
Hindalco Industries Ltd.,INE038A01020,41018,365.92
T.V.Today Network Limited,INE038F01029,763,1.02
IFCI LTD,INE039A01010,746282,443.74
"Jamna Auto Industries Ltd.,",INE039C01032,76524,97.74
JASH ENGINEERING LIMITED,INE039O01029,6485,32.71
Jubilant Agri and Consumer Products Limited,INE03CC01015,105,2.02
Max Estates Limited,INE03EI01018,2050,9.58
VL E-Governance & IT Solutions Limited,INE03HW01020,5000,1.00
Go Digit General Insurance Limited,INE03JT01014,4120,14.36
Brigade Hotel Ventures Limited,INE03NU01014,1307,1.12
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1705,16.15
Cohance Lifesciences Limited,INE03QK01018,71809,238.50
Chemcon Speciality Chemicals Limited,INE03YM01018,118,0.30
