SEBI REPORT For Trade date 09-Dec-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,342164.02,
2,Fresh Exposure taken during the day,6234.20,
3,Exposure liquidated during the day,6644.54,
4,Net scripwise outstanding at the end of the day,341753.68,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,21433,85.62
Reliance Industries Ltd,INE002A01018,90409,1323.00
SJVN LIMITED,INE002L01015,595804,569.65
Mahanagar Gas Limited,INE002S01010,24586,319.98
"Siemens Ltd.,",INE003A01024,10722,366.19
Protean eGov Technologies Limited,INE004A01022,71363,800.46
Avantel Limited,INE005B01027,301899,527.33
ASTRAL LIMITED,INE006I01046,22667,332.97
CRISIL Ltd.,INE007A01025,1962,96.51
Geojit Financial Services Limited,INE007B01023,41530,45.71
Fedbank Financial Services Limited,INE007N01010,28081,40.16
IDBI LTD,INE008A01015,901219,861.75
Infosys Ltd,INE009A01021,60992,948.73
Bikaji Foods International Limited,INE00E101023,11365,88.92
Hariom Pipe Industries Limited,INE00EV01017,10311,46.45
Prudent Corporate Advisory Services Limited,INE00F201020,894,23.63
ACUTAAS CHEMICALS LIMITED,INE00FF01025,5170,84.86
SWIGGY LIMITED,INE00H001014,185294,790.94
STOVE KRAFT LIMITED,INE00IN01015,7118,45.87
Craftsman Automation Limited,INE00LO01017,461,31.61
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,247940,683.10
Interarch Building Solutions Limited,INE00M901018,712,17.61
Studds Accessories Limited,INE00Q601028,197,1.04
DALMIA BHARAT LIMITED,INE00R701025,7640,165.17
Highway Infrastructure Limited,INE00RL01028,1141,0.90
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,40460,55.17
Manorama Industries Limited,INE00VM01036,7337,105.55
AFFLE 3I LIMITED,INE00WC01027,11191,211.62
Flair Writing Industries Limited,INE00Y201027,2799,9.14
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,807,4.85
Entero Healthcare Solutions Limited,INE010601016,976,11.21
PRISM JOHNSON LIMITED.,INE010A01011,14814,22.85
Zydus Lifesciences Limited,INE010B01027,24318,243.96
Tejas Networks Limited,INE010J01012,125370,842.67
L&T Technology Services Limited,INE010V01017,2654,118.86
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3778,23.87
Tega Industries Limited,INE011K01018,6293,127.54
ACC,INE012A01025,101467,1843.34
Onesource Specialty Pharma Limited,INE013P01021,1050,20.72
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,292,2.63
DABUR INDIA,INE016A01026,45777,244.38
CEINSYS TECH LIMITED,INE016Q01014,2625,24.30
"Great Eastern Shipping Co. Ltd.,",INE017A01032,39993,427.92
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,21118,795.18
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,10840,97.07
JSW SL,INE019A01038,25344,294.81
Himadri Speciality Chemical Ltd.,INE019C01026,73531,362.74
STANLEY LIFESTYLES LIMITED,INE01A001028,1063,3.20
Antony Waste Handling Cell Limited,INE01BK01022,4439,25.96
Vishal Mega Mart Limited,INE01EA01019,297200,424.50
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,11385,34.26
Sky Gold And Diamonds Limited,INE01IU01018,16281,57.02
eMudhra Limited,INE01QM01018,8860,59.47
Vikran Engineering Limited,INE01R501028,118603,124.95
Canara HSBC Life Insurance Company Limited,INE01TY01017,1060,1.28
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,618745,2395.89
Asian Paints Ltd.,INE021A01026,12017,338.15
Dodla Dairy Limited,INE021O01019,826,10.96
ASIAN GRANITO INDIA LIMITED,INE022I01019,8850,6.04
Indian Energy Exchange Limited,INE022Q01020,109130,177.29
Nalwa Sons Investment Ltd,INE023A01030,11,0.71
Aeroflex Industries Limited,INE024001021,77612,147.99
SHILCHAR TEC,INE024F01011,424,16.39
GRAVITA INDIA LIMITED,INE024L01027,14291,264.29
Goldiam International Ltd.,INE025B01025,53323,218.69
Artemis Medicare Services Limited,INE025R01021,2155,6.77
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,122402,244.98
RASHTRIYA CH,INE027A01015,263951,437.22
Max Healthcare Institute Limited,INE027H01010,24108,291.96
Bank Of Baroda,INE028A01039,166995,474.80
BHARAT PETRO,INE029A01011,57089,204.05
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,2497,16.00
Axita Cotton Limited,INE02EZ01022,3121,0.31
Raymond Lifestyle Limited,INE02ID01020,10386,127.19
Azad Engineering Limited,INE02IJ01035,19998,348.50
Borosil Scientific Limited,INE02L001032,82,0.12
