SEBI REPORT For Trade date 21-Oct-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,321040.67,
2,Fresh Exposure taken during the day,2915.31,
3,Exposure liquidated during the day,2491.98,
4,Net scripwise outstanding at the end of the day,321464.00,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,24469,96.01
Reliance Industries Ltd,INE002A01018,166740,2352.18
SJVN LIMITED,INE002L01015,542559,546.12
Mahanagar Gas Limited,INE002S01010,14971,206.36
"Siemens Ltd.,",INE003A01024,15329,512.20
Protean eGov Technologies Limited,INE004A01022,66057,768.47
Avantel Limited,INE005B01027,379550,681.93
ASTRAL LIMITED,INE006I01046,15061,228.41
CRISIL Ltd.,INE007A01025,1955,98.86
Geojit Financial Services Limited,INE007B01023,43002,47.30
Fedbank Financial Services Limited,INE007N01010,32960,47.61
IDBI LTD,INE008A01015,1012500,926.79
Infosys Ltd,INE009A01021,135806,2056.04
Bikaji Foods International Limited,INE00E101023,12649,99.26
Hariom Pipe Industries Limited,INE00EV01017,10203,49.90
Prudent Corporate Advisory Services Limited,INE00F201020,441,12.03
ACUTAAS CHEMICALS LIMITED,INE00FF01025,3609,52.60
SWIGGY LIMITED,INE00H001014,154041,674.04
STOVE KRAFT LIMITED,INE00IN01015,9457,59.69
Craftsman Automation Limited,INE00LO01017,436,27.70
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,253397,728.12
Interarch Building Solutions Limited,INE00M901018,1677,33.42
DALMIA BHARAT LIMITED,INE00R701025,3077,69.65
Highway Infrastructure Limited,INE00RL01028,521,0.42
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,38748,55.36
Manorama Industries Limited,INE00VM01036,4603,68.36
AFFLE 3I LIMITED,INE00WC01027,7698,150.74
Flair Writing Industries Limited,INE00Y201027,2806,9.15
Entero Healthcare Solutions Limited,INE010601016,1024,11.83
PRISM JOHNSON LIMITED.,INE010A01011,11994,19.56
Zydus Lifesciences Limited,INE010B01027,17501,180.44
Tejas Networks Limited,INE010J01012,132983,926.74
L&T Technology Services Limited,INE010V01017,4386,191.97
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3313,21.17
Tega Industries Limited,INE011K01018,6416,129.62
ACC,INE012A01025,106551,1937.67
Onesource Specialty Pharma Limited,INE013P01021,1034,20.92
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,583,5.59
MANAKSIA LIMITED,INE015D01022,29,0.02
DABUR INDIA,INE016A01026,49866,266.33
"Great Eastern Shipping Co. Ltd.,",INE017A01032,26834,280.32
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,18861,673.29
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,3075,27.14
JSW SL,INE019A01038,10204,114.93
Himadri Speciality Chemical Ltd.,INE019C01026,80047,392.61
STANLEY LIFESTYLES LIMITED,INE01A001028,1068,3.24
Antony Waste Handling Cell Limited,INE01BK01022,5408,32.56
Vishal Mega Mart Limited,INE01EA01019,234919,343.86
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,6001,18.46
Sky Gold And Diamonds Limited,INE01IU01018,1462,4.48
eMudhra Limited,INE01QM01018,7907,56.08
Vikran Engineering Limited,INE01R501028,5872,6.02
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,534435,2131.74
BAID FINSERV LIMITED,INE020D01022,441,0.05
Asian Paints Ltd.,INE021A01026,11418,284.82
Dodla Dairy Limited,INE021O01019,1375,18.60
ASIAN GRANITO INDIA LIMITED,INE022I01019,1004,0.58
Indian Energy Exchange Limited,INE022Q01020,257798,401.19
Nalwa Sons Investment Ltd,INE023A01030,832,67.17
Aeroflex Industries Limited,INE024001021,79127,151.97
GRAVITA INDIA LIMITED,INE024L01027,20112,360.83
Goldiam International Ltd.,INE025B01025,59811,228.85
Artemis Medicare Services Limited,INE025R01021,2589,7.69
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,79712,165.57
RASHTRIYA CH,INE027A01015,274463,458.71
Max Healthcare Institute Limited,INE027H01010,21489,264.01
Bank Of Baroda,INE028A01039,123071,316.05
BHARAT PETRO,INE029A01011,46617,154.54
Kalyani Investment Company Limited,INE029L01018,87,4.29
ROSSARI BIOTECH LIMITED,INE02A801020,2657,18.03
Axita Cotton Limited,INE02EZ01022,3071,0.31
Nova Agritech Limited,INE02H701025,118,0.06
Raymond Lifestyle Limited,INE02ID01020,8308,105.51
Azad Engineering Limited,INE02IJ01035,23428,405.16
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,8045,22.30
Borosil Limited,INE02PY01013,4510,16.98
Brainbees Solutions Limited,INE02RE01045,33685,130.62
WONDER ELECTRICALS LIMITED,INE02WG01024,16552,26.95
Electronics Mart India Limited,INE02YR01019,60104,92.57
"Hindustan Unilever Ltd.,",INE030A01027,7625,195.23
Housing &Urban Development Corporation Ltd.,INE031A01017,330751,799.59
Ajanta Pharma Ltd.,INE031B01049,1539,39.67
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,982370,1285.18
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,18331,60.49
Arvind SmartSpaces Limited,INE034S01021,4293,30.16
SOTL,INE035D01020,1121,5.32
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,36359,41.42
KARUR VYSYA,INE036D01028,18296,38.82
Concord Enviro Systems Limited,INE037Z01029,1185,6.62
Hindalco Industries Ltd.,INE038A01020,17635,127.79
T.V.Today Network Limited,INE038F01029,291,0.62
IFCI LTD,INE039A01010,439984,270.66
"Jamna Auto Industries Ltd.,",INE039C01032,173867,178.71
JASH ENGINEERING LIMITED,INE039O01029,7241,37.15
Max Estates Limited,INE03EI01018,3468,16.52
Go Digit General Insurance Limited,INE03JT01014,7094,25.61
Brigade Hotel Ventures Limited,INE03NU01014,8638,7.31
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,2487,23.85
Cohance Lifesciences Limited,INE03QK01018,4022,37.75
Chemcon Speciality Chemicals Limited,INE03YM01018,267,0.69
HDFC Bank Ltd.,INE040A01034,87106,872.45
Mayur Uniquoters ltd.,INE040D01038,656,3.66
SUZLON ENERGY LTD.,INE040H01021,5449979,3349.07
"Dhampur Sugar Mills Ltd.,",INE041A01016,52168,77.63
Escorts Kubota Limited,INE042A01014,6658,247.43
Vijaya Diagnostic Centre Limited,INE043W01024,5275,54.88
Sun Pharmaceutical Industries Ltd.,INE044A01036,21149,347.75
Paras Defence and Space Technologies Limited,INE045601023,24127,175.56
ADOR WELDING,INE045A01017,261,2.87
Nelco Ltd,INE045B01015,11413,101.64
Fineotex Chemical Limited,INE045J01026,22952,61.14
