SEBI REPORT For Trade date 21-Apr-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,430112.92,
2,Fresh Exposure taken during the day,18037.06,
3,Exposure liquidated during the day,18089.80,
4,Net scripwise outstanding at the end of the day,430060.17,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,26210,93.79
Reliance Industries Ltd,INE002A01018,387938,5390.65
SJVN LIMITED,INE002L01015,681815,594.11
Mahanagar Gas Limited,INE002S01010,18884,225.61
"Siemens Ltd.,",INE003A01024,5156,193.57
Protean eGov Technologies Limited,INE004A01022,49433,470.07
Avantel Limited,INE005B01027,290786,476.69
ASTRAL LIMITED,INE006I01046,12247,195.67
CRISIL Ltd.,INE007A01025,1435,67.60
Geojit Financial Services Limited,INE007B01023,22422,17.47
Fedbank Financial Services Limited,INE007N01010,51623,74.77
IDBI LTD,INE008A01015,872737,748.58
Infosys Ltd,INE009A01021,211470,2918.25
Bikaji Foods International Limited,INE00E101023,10429,80.96
Hariom Pipe Industries Limited,INE00EV01017,8637,34.98
Prudent Corporate Advisory Services Limited,INE00F201020,372,9.74
ACUTAAS CHEMICALS LIMITED,INE00FF01025,15612,347.95
SWIGGY LIMITED,INE00H001014,274752,971.36
STOVE KRAFT LIMITED,INE00IN01015,12965,77.19
Craftsman Automation Limited,INE00LO01017,400,30.26
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,370784,882.59
Interarch Building Solutions Limited,INE00M901018,3193,64.79
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,6242,32.72
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,6070,126.56
Highway Infrastructure Limited,INE00RL01028,9346,5.31
Nila Spaces Ltd,INE00S901012,3099,0.42
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,28497,35.47
Manorama Industries Limited,INE00VM01036,2250,32.35
AFFLE 3I LIMITED,INE00WC01027,8796,152.31
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,1027,17.19
Flair Writing Industries Limited,INE00Y201027,1671,5.45
A B INFRABUILD LIMITED,INE00YB01025,22,0.00
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2689,12.49
Entero Healthcare Solutions Limited,INE010601016,1502,17.80
PRISM JOHNSON LIMITED.,INE010A01011,38950,55.45
Zydus Lifesciences Limited,INE010B01027,16966,167.67
Tejas Networks Limited,INE010J01012,207548,1091.25
L&T Technology Services Limited,INE010V01017,6551,250.66
BALU FORGE INDUSTRIES LIMITED,INE011E01029,18404,87.07
Tega Industries Limited,INE011K01018,2623,50.64
ACC,INE012A01025,19348,324.70
Onesource Specialty Pharma Limited,INE013P01021,228430,3395.51
WIM PLAST LT,INE015B01018,1000,3.98
Tinna Rubber and Infrastructure Limited,INE015C01016,453,3.37
DABUR INDIA,INE016A01026,22642,111.91
CEINSYS TECH LIMITED,INE016Q01014,507,5.92
"Great Eastern Shipping Co. Ltd.,",INE017A01032,10352,137.15
LARSEN & TOU,INE018A01030,64218,2522.78
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,17780,137.49
JSW SL,INE019A01038,7946,99.10
Himadri Speciality Chemical Ltd.,INE019C01026,53919,266.61
STANLEY LIFESTYLES LIMITED,INE01A001028,3841,6.40
Antony Waste Handling Cell Limited,INE01BK01022,4305,23.67
Vishal Mega Mart Limited,INE01EA01019,275944,358.12
Ritco Logistics Limited,INE01EG01016,91,0.26
Baazar Style Retail Limited,INE01FR01028,6908,20.57
Sky Gold And Diamonds Limited,INE01IU01018,19857,73.66
eMudhra Limited,INE01QM01018,7845,44.84
Vikran Engineering Limited,INE01R501028,533310,496.00
Canara HSBC Life Insurance Company Limited,INE01TY01017,8036,11.87
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,388733,1481.64
Asian Paints Ltd.,INE021A01026,11768,304.45
Dodla Dairy Limited,INE021O01019,1402,15.54
ASIAN GRANITO INDIA LIMITED,INE022I01019,6268,4.17
Indian Energy Exchange Limited,INE022Q01020,251506,356.96
Nalwa Sons Investment Ltd,INE023A01030,16,1.00
Aeroflex Industries Limited,INE024001021,39906,108.31
Shilchar Technologies Ltd.,INE024F01011,3225,133.01
GRAVITA INDIA LIMITED,INE024L01027,18483,312.72
Goldiam International Ltd.,INE025B01025,23342,88.54
Artemis Medicare Services Limited,INE025R01021,1689,5.07
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,431445,722.62
"Lotus Chocolate Co. Ltd.,",INE026D01011,20,0.15
