SEBI REPORT For Trade date 12-Jan-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,362645.21,
2,Fresh Exposure taken during the day,6654.37,
3,Exposure liquidated during the day,7899.75,
4,Net scripwise outstanding at the end of the day,361399.84,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,41460,165.58
Reliance Industries Ltd,INE002A01018,162033,2425.70
SJVN LIMITED,INE002L01015,557121,519.97
Mahanagar Gas Limited,INE002S01010,30256,376.18
"Siemens Ltd.,",INE003A01024,12937,431.21
Protean eGov Technologies Limited,INE004A01022,68409,766.00
Avantel Limited,INE005B01027,309661,537.58
ASTRAL LIMITED,INE006I01046,10964,165.30
CRISIL Ltd.,INE007A01025,1665,82.43
Geojit Financial Services Limited,INE007B01023,47445,49.41
Fedbank Financial Services Limited,INE007N01010,34123,50.49
IDBI LTD,INE008A01015,731089,716.64
Infosys Ltd,INE009A01021,63920,1014.79
Bikaji Foods International Limited,INE00E101023,12026,93.65
Hariom Pipe Industries Limited,INE00EV01017,10493,45.99
Prudent Corporate Advisory Services Limited,INE00F201020,458,12.25
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4591,74.03
SWIGGY LIMITED,INE00H001014,225196,917.10
STOVE KRAFT LIMITED,INE00IN01015,6802,43.90
Craftsman Automation Limited,INE00LO01017,447,31.40
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,261600,699.72
Interarch Building Solutions Limited,INE00M901018,843,19.75
Studds Accessories Limited,INE00Q601028,6082,32.84
DALMIA BHARAT LIMITED,INE00R701025,6772,146.57
Highway Infrastructure Limited,INE00RL01028,8362,5.10
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39841,53.59
Manorama Industries Limited,INE00VM01036,6010,88.54
AFFLE 3I LIMITED,INE00WC01027,10221,193.07
Flair Writing Industries Limited,INE00Y201027,2233,7.21
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2170,11.70
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,1290,14.85
PRISM JOHNSON LIMITED.,INE010A01011,17452,26.58
Zydus Lifesciences Limited,INE010B01027,23140,230.49
Tejas Networks Limited,INE010J01012,134995,851.89
L&T Technology Services Limited,INE010V01017,3879,173.96
BALU FORGE INDUSTRIES LIMITED,INE011E01029,12205,65.03
Tega Industries Limited,INE011K01018,5739,115.82
ACC,INE012A01025,100137,1816.24
Onesource Specialty Pharma Limited,INE013P01021,2851,52.32
WIM PLAST LT,INE015B01018,5812,29.50
Tinna Rubber and Infrastructure Limited,INE015C01016,575,4.73
DABUR INDIA,INE016A01026,23374,124.93
CEINSYS TECH LIMITED,INE016Q01014,700,7.70
"Great Eastern Shipping Co. Ltd.,",INE017A01032,24299,273.73
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,18032,682.04
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,11184,99.69
JSW SL,INE019A01038,15658,182.46
Himadri Speciality Chemical Ltd.,INE019C01026,60362,299.55
STANLEY LIFESTYLES LIMITED,INE01A001028,1749,4.64
Antony Waste Handling Cell Limited,INE01BK01022,4465,24.86
Vishal Mega Mart Limited,INE01EA01019,312035,440.30
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,10051,29.60
Sky Gold And Diamonds Limited,INE01IU01018,16397,57.38
eMudhra Limited,INE01QM01018,8050,53.30
Vikran Engineering Limited,INE01R501028,508834,512.44
Canara HSBC Life Insurance Company Limited,INE01TY01017,2931,4.17
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,526844,2042.40
Asian Paints Ltd.,INE021A01026,10645,298.66
Dodla Dairy Limited,INE021O01019,468,5.94
ASIAN GRANITO INDIA LIMITED,INE022I01019,11568,8.25
Indian Energy Exchange Limited,INE022Q01020,186359,292.76
Nalwa Sons Investment Ltd,INE023A01030,45,2.92
Aeroflex Industries Limited,INE024001021,68898,131.82
SHILCHAR TEC,INE024F01011,2189,82.68
GRAVITA INDIA LIMITED,INE024L01027,15584,285.19
Goldiam International Ltd.,INE025B01025,57116,231.44
Artemis Medicare Services Limited,INE025R01021,2415,7.45
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,123480,246.41
RASHTRIYA CH,INE027A01015,257012,420.25
Max Healthcare Institute Limited,INE027H01010,32019,367.12
Bank Of Baroda,INE028A01039,112370,322.54
BHARAT PETRO,INE029A01011,84740,304.81
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,2749,17.34
Anand Rayons Limited,INE02GA01012,140,0.49
Raymond Lifestyle Limited,INE02ID01020,10262,122.92
Azad Engineering Limited,INE02IJ01035,21108,365.42
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,15910,43.31
Borosil Limited,INE02PY01013,6750,23.03
Brainbees Solutions Limited,INE02RE01045,43568,154.99
WONDER ELECTRICALS LIMITED,INE02WG01024,12853,21.78
Electronics Mart India Limited,INE02YR01019,61194,85.45
"Hindustan Unilever Ltd.,",INE030A01027,11719,292.40
Housing &Urban Development Corporation Ltd.,INE031A01017,454801,1075.57
Ajanta Pharma Ltd.,INE031B01049,1907,53.98
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,951908,1243.97
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,15604,50.47
Arvind SmartSpaces Limited,INE034S01021,4230,29.60
SOTL,INE035D01020,1212,5.54
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,9153,12.20
KARUR VYSYA,INE036D01028,18425,43.76
Concord Enviro Systems Limited,INE037Z01029,595,3.22
Hindalco Industries Ltd.,INE038A01020,40476,351.92
T.V.Today Network Limited,INE038F01029,232,0.46
IFCI LTD,INE039A01010,537829,316.28
"Jamna Auto Industries Ltd.,",INE039C01032,66144,73.08
JASH ENGINEERING LIMITED,INE039O01029,8338,42.09
Max Estates Limited,INE03EI01018,3590,16.75
VL E-Governance & IT Solutions Limited,INE03HW01020,5000,1.00
Go Digit General Insurance Limited,INE03JT01014,6753,24.26
Brigade Hotel Ventures Limited,INE03NU01014,2478,2.13
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,3263,30.40
Cohance Lifesciences Limited,INE03QK01018,13806,95.18
Chemcon Speciality Chemicals Limited,INE03YM01018,299,0.68
HDFC Bank Ltd.,INE040A01034,155799,1539.37
Mayur Uniquoters ltd.,INE040D01038,279,1.63
SUZLON ENERGY LTD.,INE040H01021,6906201,4079.09
"Dhampur Sugar Mills Ltd.,",INE041A01016,44195,63.43
Escorts Kubota Limited,INE042A01014,3493,130.27
Vijaya Diagnostic Centre Limited,INE043W01024,1704,17.29
Sun Pharmaceutical Industries Ltd.,INE044A01036,17356,291.18
Paras Defence and Space Technologies Limited,INE045601023,35419,256.01
ADOR WELDING,INE045A01017,650,7.17
Nelco Ltd,INE045B01015,11892,101.60
Fineotex Chemical Limited,INE045J01034,130517,38.75
Reliance Industrial Infrastructure,INE046A01015,6103,56.72
Muthoot Microfin Limited,INE046W01019,6031,10.41
GRASIM INDUS,INE047A01021,2943,83.96
JAGSONPAL PH,INE048B01035,4348,10.54
Navin Fluorent International Ltd,INE048G01026,1483,83.76
"Himatsingka Seide Ltd.,",INE049A01027,58603,78.47
Wockhardt Ltd,INE049B01025,76670,1100.48
SBC EXPORTS LIMITED,INE04AK01028,415352,102.58
KPIT Technologies Ltd,INE04I401011,23367,302.56
ETHOS LIMITED,INE04TZ01018,502,14.29
Seshaasai Technologies Limited,INE04VU01023,1708,5.24
Prakash Pipes Limited,INE050001010,4234,18.03
Elin Electronics Limited,INE050401020,1747,3.81
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,3448,64.96
IL & FS Investment Managers Ltd.,INE050B01023,244,0.02
Balaji Amines Ltd.,INE050E01027,7658,102.75
Rane (Madras)  Ltd.,INE050H01012,2260,18.00
Vardhman Special Steels Ltd,INE050M01012,2050,6.11
Vakrangee Softwares Ltd.,INE051B01021,12950,1.24
Windsor Machines Limited,INE052A01021,2547,7.43
Camlin Fine Sciences Ltd,INE052I01032,18313,29.67
BEST AGROLIFE LIMITED,INE052T01013,2969,12.81
Indian Hotels Co. Ltd,INE053A01029,78600,581.45
Indian Railway Finance Corporation,INE053F01010,1631740,2217.60
"V.I.P. Industries Ltd.,",INE054A01027,15470,67.87
Waterbase Limited,INE054C01015,14624,7.39
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,6945,149.06
Cyient DLM Limited,INE055S01018,29194,136.82
IVALUE INFOSOLUTIONS LIMITED,INE056801025,233,0.66
Refex Industries Limited,INE056I01025,21257,65.98
Sanofi India Ltd,INE058A01010,621,30.80
"Cipla Ltd.,",INE059A01026,17635,269.61
La Opala RG Ltd.,INE059D01020,5785,14.45
Hindware Home Innovation Limited,INE05AN01011,3990,12.97
Ratnaveer Precision Engineering Limited,INE05CZ01011,12616,20.16
Indogulf Cropsciences Limited,INE05J901018,525,0.60
Likhitha Infrastructure Limited,INE060901027,1358,4.14
Navneet Education Limited,INE060A01024,9702,13.87
DEV INFORMATION TECHNOLOGY LIMITED,INE060X01034,300,0.11
FORTIS HEALTHCARE LIMITED,INE061F01013,14688,138.72
"State Bank Of India,",INE062A01020,55149,497.58
ALICON,INE062D01024,56,0.49
Pondy Oxides & Chemicals Limited,INE063E01053,1948,25.25
Equitas Small Finance Bank Limited,INE063P01018,158897,101.70
TIMES GROUP,INE064A01026,493353,1671.15
Trident Ltd.,INE064C01022,764055,227.64
AEROFLEX ENTERPRISES LIMITED,INE065D01027,6651,6.54
Indegene Limited,INE065X01017,9794,55.98
Eicher Motors Ltd.,INE066A01021,2225,154.32
Hindustan Aeronautics Limited,INE066F01020,90994,4275.45
Wonderla Holidays Limited,INE066O01014,11464,75.07
Inox Wind Limited,INE066P01011,520435,829.29
CG Power and Industrial Solutions Limited,INE067A01029,89233,622.56
CANTABIL RETAIL INDIA LIMITED,INE068L01024,25893,66.63
Gland Pharma Limited,INE068V01023,11536,204.00
