SEBI REPORT For Trade date 01-Apr-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,386591.77,
2,Fresh Exposure taken during the day,8974.63,
3,Exposure liquidated during the day,9636.26,
4,Net scripwise outstanding at the end of the day,385930.13,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,17152,62.62
Reliance Industries Ltd,INE002A01018,233209,3318.44
SJVN LIMITED,INE002L01015,663984,558.66
Mahanagar Gas Limited,INE002S01010,20007,239.64
"Siemens Ltd.,",INE003A01024,4979,167.66
Protean eGov Technologies Limited,INE004A01022,48029,455.66
Avantel Limited,INE005B01027,303953,496.60
ASTRAL LIMITED,INE006I01046,5694,91.83
CRISIL Ltd.,INE007A01025,1823,85.68
Geojit Financial Services Limited,INE007B01023,53227,51.38
Fedbank Financial Services Limited,INE007N01010,52388,75.25
IDBI LTD,INE008A01015,791205,690.85
Infosys Ltd,INE009A01021,155370,2171.10
Bikaji Foods International Limited,INE00E101023,9842,75.57
Hariom Pipe Industries Limited,INE00EV01017,6099,27.00
Prudent Corporate Advisory Services Limited,INE00F201020,282,7.48
ACUTAAS CHEMICALS LIMITED,INE00FF01025,12187,269.85
SWIGGY LIMITED,INE00H001014,212650,776.64
STOVE KRAFT LIMITED,INE00IN01015,12183,72.04
Craftsman Automation Limited,INE00LO01017,600,44.34
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,284448,683.98
Interarch Building Solutions Limited,INE00M901018,2233,45.47
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,5126,27.58
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,3337,70.40
Highway Infrastructure Limited,INE00RL01028,1375,0.96
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,33106,42.37
Manorama Industries Limited,INE00VM01036,3780,53.16
AFFLE 3I LIMITED,INE00WC01027,7759,136.14
Flair Writing Industries Limited,INE00Y201027,1741,5.63
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,1762,9.43
Entero Healthcare Solutions Limited,INE010601016,2521,29.74
PRISM JOHNSON LIMITED.,INE010A01011,14595,21.92
