SEBI REPORT For Trade date 02-Dec-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,340383.02,
2,Fresh Exposure taken during the day,7559.83,
3,Exposure liquidated during the day,5811.05,
4,Net scripwise outstanding at the end of the day,342131.80,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,22133,88.57
Reliance Industries Ltd,INE002A01018,88534,1284.72
SJVN LIMITED,INE002L01015,631215,603.43
Mahanagar Gas Limited,INE002S01010,23419,307.90
"Siemens Ltd.,",INE003A01024,10549,359.89
Protean eGov Technologies Limited,INE004A01022,70838,797.91
Avantel Limited,INE005B01027,307021,539.35
ASTRAL LIMITED,INE006I01046,10529,159.60
CRISIL Ltd.,INE007A01025,2334,114.87
Geojit Financial Services Limited,INE007B01023,41899,46.02
Fedbank Financial Services Limited,INE007N01010,34573,49.70
IDBI LTD,INE008A01015,844865,807.03
Infosys Ltd,INE009A01021,87578,1355.25
Bikaji Foods International Limited,INE00E101023,11307,88.55
Hariom Pipe Industries Limited,INE00EV01017,12061,55.79
Prudent Corporate Advisory Services Limited,INE00F201020,1401,36.78
ACUTAAS CHEMICALS LIMITED,INE00FF01025,2837,44.52
SWIGGY LIMITED,INE00H001014,220915,942.09
STOVE KRAFT LIMITED,INE00IN01015,7417,48.26
Craftsman Automation Limited,INE00LO01017,377,25.40
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,245123,679.99
Interarch Building Solutions Limited,INE00M901018,429,10.79
Studds Accessories Limited,INE00Q601028,4,0.02
DALMIA BHARAT LIMITED,INE00R701025,8117,175.66
Highway Infrastructure Limited,INE00RL01028,1638,1.23
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,35174,49.17
Manorama Industries Limited,INE00VM01036,7609,109.34
AFFLE 3I LIMITED,INE00WC01027,11438,216.72
Flair Writing Industries Limited,INE00Y201027,3291,10.78
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,417,2.81
Entero Healthcare Solutions Limited,INE010601016,1001,11.47
PRISM JOHNSON LIMITED.,INE010A01011,14146,21.97
Zydus Lifesciences Limited,INE010B01027,25676,256.92
Tejas Networks Limited,INE010J01012,125870,856.68
L&T Technology Services Limited,INE010V01017,3481,153.67
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3292,20.93
Tega Industries Limited,INE011K01018,6243,126.62
ACC,INE012A01025,99814,1813.88
Onesource Specialty Pharma Limited,INE013P01021,1159,22.71
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,286,2.59
DABUR INDIA,INE016A01026,46828,250.02
CEINSYS TECH LIMITED,INE016Q01014,8625,90.98
"Great Eastern Shipping Co. Ltd.,",INE017A01032,45607,486.53
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,21636,812.25
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,10851,97.28
JSW SL,INE019A01038,20548,240.35
Himadri Speciality Chemical Ltd.,INE019C01026,84859,414.91
STANLEY LIFESTYLES LIMITED,INE01A001028,1168,3.47
Antony Waste Handling Cell Limited,INE01BK01022,4612,26.89
Vishal Mega Mart Limited,INE01EA01019,305072,436.24
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,7726,24.40
Sky Gold And Diamonds Limited,INE01IU01018,17378,60.88
eMudhra Limited,INE01QM01018,10580,71.63
Vikran Engineering Limited,INE01R501028,102374,109.90
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,632054,2458.51
Asian Paints Ltd.,INE021A01026,8598,238.18
Dodla Dairy Limited,INE021O01019,1377,18.17
ASIAN GRANITO INDIA LIMITED,INE022I01019,7850,5.41
Indian Energy Exchange Limited,INE022Q01020,123863,202.63
Aeroflex Industries Limited,INE024001021,80824,154.22
SHILCHAR TEC,INE024F01011,137,5.59
GRAVITA INDIA LIMITED,INE024L01027,15050,277.25
Goldiam International Ltd.,INE025B01025,56388,230.75
Artemis Medicare Services Limited,INE025R01021,2355,7.30
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,121898,245.03
RASHTRIYA CH,INE027A01015,259118,432.28
Max Healthcare Institute Limited,INE027H01010,22845,278.65
Bank Of Baroda,INE028A01039,150869,426.85
BHARAT PETRO,INE029A01011,59071,211.20
Kalyani Investment Company Limited,INE029L01018,1,0.06
ROSSARI BIOTECH LIMITED,INE02A801020,2326,15.60
Axita Cotton Limited,INE02EZ01022,3121,0.31
Raymond Lifestyle Limited,INE02ID01020,10209,126.33
Azad Engineering Limited,INE02IJ01035,22332,389.07
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,7826,20.73
Borosil Limited,INE02PY01013,5925,21.02
Brainbees Solutions Limited,INE02RE01045,44422,166.00
WONDER ELECTRICALS LIMITED,INE02WG01024,13853,23.36
Electronics Mart India Limited,INE02YR01019,56977,86.78
"Hindustan Unilever Ltd.,",INE030A01027,17416,437.74
Housing &Urban Development Corporation Ltd.,INE031A01017,324812,798.22
Ajanta Pharma Ltd.,INE031B01049,2125,55.38
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,1005331,1318.44
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,17587,60.23
Arvind SmartSpaces Limited,INE034S01021,4539,31.54
SOTL,INE035D01020,1019,4.77
