SEBI REPORT For Trade date 24-Mar-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,381375.05,
2,Fresh Exposure taken during the day,9314.69,
3,Exposure liquidated during the day,8689.06,
4,Net scripwise outstanding at the end of the day,382000.68,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,16775,61.84
Reliance Industries Ltd,INE002A01018,190491,2745.04
SJVN LIMITED,INE002L01015,633561,544.84
Mahanagar Gas Limited,INE002S01010,20594,247.92
"Siemens Ltd.,",INE003A01024,6746,227.05
Protean eGov Technologies Limited,INE004A01022,48960,486.92
Avantel Limited,INE005B01027,286976,475.64
ASTRAL LIMITED,INE006I01046,5027,81.20
CRISIL Ltd.,INE007A01025,1789,84.71
Geojit Financial Services Limited,INE007B01023,54972,52.89
Fedbank Financial Services Limited,INE007N01010,51994,74.95
IDBI LTD,INE008A01015,781252,703.26
Infosys Ltd,INE009A01021,163251,2306.05
Bikaji Foods International Limited,INE00E101023,9943,76.33
Hariom Pipe Industries Limited,INE00EV01017,5858,26.38
Prudent Corporate Advisory Services Limited,INE00F201020,408,10.28
ACUTAAS CHEMICALS LIMITED,INE00FF01025,10101,216.39
SWIGGY LIMITED,INE00H001014,191377,728.66
STOVE KRAFT LIMITED,INE00IN01015,12511,74.05
Craftsman Automation Limited,INE00LO01017,651,48.01
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,286999,694.12
Interarch Building Solutions Limited,INE00M901018,2228,45.67
Studds Accessories Limited,INE00Q601028,5123,27.57
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,3770,80.73
Highway Infrastructure Limited,INE00RL01028,1385,0.96
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,33084,42.60
Manorama Industries Limited,INE00VM01036,4096,57.26
AFFLE 3I LIMITED,INE00WC01027,8208,142.02
Flair Writing Industries Limited,INE00Y201027,1771,5.73
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,1893,10.24
Entero Healthcare Solutions Limited,INE010601016,2717,31.91
PRISM JOHNSON LIMITED.,INE010A01011,14651,21.99
Zydus Lifesciences Limited,INE010B01027,15927,156.86
Tejas Networks Limited,INE010J01012,210131,1102.89
L&T Technology Services Limited,INE010V01017,6206,241.42
BALU FORGE INDUSTRIES LIMITED,INE011E01029,19768,94.38
Tega Industries Limited,INE011K01018,2815,55.17
ACC,INE012A01025,16949,289.70
R&B Denims Limited,INE012Q01021,1320,2.44
Onesource Specialty Pharma Limited,INE013P01021,206271,3051.67
WIM PLAST LT,INE015B01018,830,3.85
Tinna Rubber and Infrastructure Limited,INE015C01016,352,2.78
DABUR INDIA,INE016A01026,19051,99.08
CEINSYS TECH LIMITED,INE016Q01014,484,5.07
"Great Eastern Shipping Co. Ltd.,",INE017A01032,7652,97.82
LARSEN & TOU,INE018A01030,54353,1990.04
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,13684,112.66
JSW SL,INE019A01038,5211,60.78
Himadri Speciality Chemical Ltd.,INE019C01026,52530,254.96
STANLEY LIFESTYLES LIMITED,INE01A001028,5199,10.32
Antony Waste Handling Cell Limited,INE01BK01022,4820,25.45
Vishal Mega Mart Limited,INE01EA01019,257971,340.82
Ritco Logistics Limited,INE01EG01016,83,0.24
Baazar Style Retail Limited,INE01FR01028,109273,379.21
Sky Gold And Diamonds Limited,INE01IU01018,14690,51.41
eMudhra Limited,INE01QM01018,9872,56.14
Vikran Engineering Limited,INE01R501028,559263,521.15
Canara HSBC Life Insurance Company Limited,INE01TY01017,4994,7.21
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,545222,2036.80
Asian Paints Ltd.,INE021A01026,11736,298.42
Dodla Dairy Limited,INE021O01019,372,4.65
ASIAN GRANITO INDIA LIMITED,INE022I01019,20576,14.16
Indian Energy Exchange Limited,INE022Q01020,251003,354.72
Nalwa Sons Investment Ltd,INE023A01030,19,1.20
Aeroflex Industries Limited,INE024001021,14927,30.86
Shilchar Technologies Ltd.,INE024F01011,2569,97.25
GRAVITA INDIA LIMITED,INE024L01027,13417,227.35
Goldiam International Ltd.,INE025B01025,138514,487.89
Artemis Medicare Services Limited,INE025R01021,1224,3.91
