SEBI REPORT For Trade date 27-Oct-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,324871.12,
2,Fresh Exposure taken during the day,7946.78,
3,Exposure liquidated during the day,12895.80,
4,Net scripwise outstanding at the end of the day,319922.10,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,23419,91.67
Reliance Industries Ltd,INE002A01018,127676,1801.20
SJVN LIMITED,INE002L01015,561588,562.66
Mahanagar Gas Limited,INE002S01010,17276,235.76
"Siemens Ltd.,",INE003A01024,15190,507.66
Protean eGov Technologies Limited,INE004A01022,65552,763.17
Avantel Limited,INE005B01027,375028,678.59
ASTRAL LIMITED,INE006I01046,14598,221.63
CRISIL Ltd.,INE007A01025,1920,97.13
Geojit Financial Services Limited,INE007B01023,42589,46.88
Fedbank Financial Services Limited,INE007N01010,48165,69.76
IDBI LTD,INE008A01015,850450,778.50
Infosys Ltd,INE009A01021,126426,1926.58
Bikaji Foods International Limited,INE00E101023,12248,96.06
Hariom Pipe Industries Limited,INE00EV01017,10698,52.18
Prudent Corporate Advisory Services Limited,INE00F201020,380,10.45
ACUTAAS CHEMICALS LIMITED,INE00FF01025,3978,59.15
SWIGGY LIMITED,INE00H001014,168929,737.53
STOVE KRAFT LIMITED,INE00IN01015,9542,60.30
Craftsman Automation Limited,INE00LO01017,487,31.04
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,248759,715.63
Interarch Building Solutions Limited,INE00M901018,779,15.54
DALMIA BHARAT LIMITED,INE00R701025,6907,151.35
Highway Infrastructure Limited,INE00RL01028,468,0.38
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39191,55.95
Manorama Industries Limited,INE00VM01036,5369,79.49
AFFLE 3I LIMITED,INE00WC01027,7535,147.50
Flair Writing Industries Limited,INE00Y201027,3053,9.90
Entero Healthcare Solutions Limited,INE010601016,1079,12.43
PRISM JOHNSON LIMITED.,INE010A01011,10516,17.26
Zydus Lifesciences Limited,INE010B01027,15865,164.24
Tejas Networks Limited,INE010J01012,137057,948.35
L&T Technology Services Limited,INE010V01017,4333,189.69
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3288,20.93
Tega Industries Limited,INE011K01018,6324,127.66
ACC,INE012A01025,106029,1927.03
