SEBI REPORT For Trade date 27-Nov-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,338549.10,
2,Fresh Exposure taken during the day,13073.63,
3,Exposure liquidated during the day,5855.63,
4,Net scripwise outstanding at the end of the day,345767.11,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,17645,70.12
Reliance Industries Ltd,INE002A01018,82293,1182.27
SJVN LIMITED,INE002L01015,617447,594.06
Mahanagar Gas Limited,INE002S01010,22727,300.08
"Siemens Ltd.,",INE003A01024,8251,281.04
Protean eGov Technologies Limited,INE004A01022,70729,797.41
Avantel Limited,INE005B01027,321921,564.38
ASTRAL LIMITED,INE006I01046,9360,142.80
CRISIL Ltd.,INE007A01025,2446,120.85
Geojit Financial Services Limited,INE007B01023,42653,46.66
Fedbank Financial Services Limited,INE007N01010,38778,55.70
IDBI LTD,INE008A01015,859038,820.90
Infosys Ltd,INE009A01021,84435,1304.52
Bikaji Foods International Limited,INE00E101023,13628,105.71
Hariom Pipe Industries Limited,INE00EV01017,11869,55.13
Prudent Corporate Advisory Services Limited,INE00F201020,1400,36.76
ACUTAAS CHEMICALS LIMITED,INE00FF01025,2961,45.31
SWIGGY LIMITED,INE00H001014,237513,1008.90
STOVE KRAFT LIMITED,INE00IN01015,7426,48.33
Craftsman Automation Limited,INE00LO01017,365,24.56
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,249288,695.75
Interarch Building Solutions Limited,INE00M901018,382,9.64
DALMIA BHARAT LIMITED,INE00R701025,7760,168.48
Highway Infrastructure Limited,INE00RL01028,1134,0.89
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,36332,51.18
Manorama Industries Limited,INE00VM01036,8244,117.73
AFFLE 3I LIMITED,INE00WC01027,11257,213.73
Flair Writing Industries Limited,INE00Y201027,3291,10.78
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,431,2.90
Entero Healthcare Solutions Limited,INE010601016,998,11.45
PRISM JOHNSON LIMITED.,INE010A01011,13250,20.77
Zydus Lifesciences Limited,INE010B01027,25626,256.62
Tejas Networks Limited,INE010J01012,125691,858.93
L&T Technology Services Limited,INE010V01017,3985,176.38
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3306,21.02
Tega Industries Limited,INE011K01018,6221,126.18
ACC,INE012A01025,99788,1814.40
Onesource Specialty Pharma Limited,INE013P01021,1110,21.93
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,286,2.59
DABUR INDIA,INE016A01026,46640,249.06
CEINSYS TECH LIMITED,INE016Q01014,7500,79.96
"Great Eastern Shipping Co. Ltd.,",INE017A01032,46238,492.77
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,20874,780.29
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,11827,105.87
JSW SL,INE019A01038,19243,224.89
Himadri Speciality Chemical Ltd.,INE019C01026,84714,414.38
STANLEY LIFESTYLES LIMITED,INE01A001028,1068,3.24
Antony Waste Handling Cell Limited,INE01BK01022,4652,27.12
Vishal Mega Mart Limited,INE01EA01019,311312,444.94
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,7711,24.35
Sky Gold And Diamonds Limited,INE01IU01018,17476,61.23
eMudhra Limited,INE01QM01018,10344,70.83
Vikran Engineering Limited,INE01R501028,93823,101.59
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,589411,2305.57
Asian Paints Ltd.,INE021A01026,12641,353.96
Dodla Dairy Limited,INE021O01019,1479,19.45
ASIAN GRANITO INDIA LIMITED,INE022I01019,7830,5.40
Indian Energy Exchange Limited,INE022Q01020,152180,242.83
Aeroflex Industries Limited,INE024001021,79739,152.24
SHILCHAR TEC,INE024F01011,50,2.05
GRAVITA INDIA LIMITED,INE024L01027,15446,283.78
Goldiam International Ltd.,INE025B01025,54146,221.65
Artemis Medicare Services Limited,INE025R01021,2502,7.70
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,105302,214.53
RASHTRIYA CH,INE027A01015,258610,432.08
Max Healthcare Institute Limited,INE027H01010,22670,276.68
Bank Of Baroda,INE028A01039,145767,404.05
BHARAT PETRO,INE029A01011,58542,209.35
Kalyani Investment Company Limited,INE029L01018,1,0.06
ROSSARI BIOTECH LIMITED,INE02A801020,2437,16.56
Axita Cotton Limited,INE02EZ01022,3121,0.31
Raymond Lifestyle Limited,INE02ID01020,9139,114.45
Azad Engineering Limited,INE02IJ01035,21429,373.86
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,9309,25.82
Borosil Limited,INE02PY01013,5299,19.05
Brainbees Solutions Limited,INE02RE01045,45662,170.15
WONDER ELECTRICALS LIMITED,INE02WG01024,13853,23.36
Electronics Mart India Limited,INE02YR01019,56496,86.22
"Hindustan Unilever Ltd.,",INE030A01027,17845,447.30
Housing &Urban Development Corporation Ltd.,INE031A01017,304139,747.95
Ajanta Pharma Ltd.,INE031B01049,2335,60.66
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,1007080,1322.19
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,17537,60.06
Arvind SmartSpaces Limited,INE034S01021,4114,28.93
SOTL,INE035D01020,1019,4.77
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,47295,54.47
KARUR VYSYA,INE036D01028,30241,71.68
Concord Enviro Systems Limited,INE037Z01029,1131,6.06
Hindalco Industries Ltd.,INE038A01020,39961,313.65
T.V.Today Network Limited,INE038F01029,291,0.62
IFCI LTD,INE039A01010,546360,326.43
"Jamna Auto Industries Ltd.,",INE039C01032,84587,87.93
JASH ENGINEERING LIMITED,INE039O01029,8422,42.63
Max Estates Limited,INE03EI01018,2600,12.34
Go Digit General Insurance Limited,INE03JT01014,8007,28.88
Brigade Hotel Ventures Limited,INE03NU01014,3784,3.24
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1744,16.73
Cohance Lifesciences Limited,INE03QK01018,14382,107.28
Chemcon Speciality Chemicals Limited,INE03YM01018,164,0.42
HDFC Bank Ltd.,INE040A01034,78924,796.07
Mayur Uniquoters ltd.,INE040D01038,289,1.69
SUZLON ENERGY LTD.,INE040H01021,6882995,4196.49
"Dhampur Sugar Mills Ltd.,",INE041A01016,48575,71.53
Escorts Kubota Limited,INE042A01014,4500,167.04
Vijaya Diagnostic Centre Limited,INE043W01024,2049,21.01
Sun Pharmaceutical Industries Ltd.,INE044A01036,14240,234.71
Paras Defence and Space Technologies Limited,INE045601023,28064,209.15
ADOR WELDING,INE045A01017,21521,232.57
Nelco Ltd,INE045B01015,11538,101.72
Fineotex Chemical Limited,INE045J01034,204143,60.21
Reliance Industrial Infrastructure,INE046A01015,6754,63.32
Muthoot Microfin Limited,INE046W01019,4491,7.78
GRASIM INDUS,INE047A01021,7731,214.31
JAGSONPAL PH,INE048B01035,9795,23.41
Navin Fluorent International Ltd,INE048G01026,1196,64.28
"Himatsingka Seide Ltd.,",INE049A01027,96547,131.89
Wockhardt Ltd,INE049B01025,73326,1042.25
Nahar Capital & Financial Services Ltd.,INE049I01012,2,0.01
SBC EXPORTS LIMITED,INE04AK01028,415687,102.40
KPIT Technologies Ltd,INE04I401011,25143,327.57
ETHOS LIMITED,INE04TZ01018,547,15.60
Seshaasai Technologies Limited,INE04VU01023,2036,6.60
Prakash Pipes Limited,INE050001010,4577,19.85
Elin Electronics Limited,INE050401020,3567,7.66
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,3165,60.54
IL & FS Investment Managers Ltd.,INE050B01023,1744,0.16
Balaji Amines Ltd.,INE050E01027,5631,88.19
Rane (Madras)  Ltd.,INE050H01012,2140,17.11
Vardhman Special Steels Ltd,INE050M01012,3092,9.09
Vakrangee Softwares Ltd.,INE051B01021,3950,0.53
Windsor Machines Limited,INE052A01021,1470,4.56
Camlin Fine Sciences Ltd,INE052I01032,5739,10.43
BEST AGROLIFE LIMITED,INE052T01013,554,2.16
Indian Hotels Co. Ltd,INE053A01029,88832,666.87
Indian Railway Finance Corporation,INE053F01010,1538382,2113.93
"V.I.P. Industries Ltd.,",INE054A01027,14403,63.94
Waterbase Limited,INE054C01015,32771,16.94
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,7722,165.14
Cyient DLM Limited,INE055S01018,27247,129.76
IVALUE INFOSOLUTIONS LIMITED,INE056801025,227,0.72
Refex Industries Limited,INE056I01025,12092,45.20
Sanofi India Ltd,INE058A01010,926,47.42
