SEBI REPORT For Trade date 13-Apr-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,381838.49,
2,Fresh Exposure taken during the day,13876.00,
3,Exposure liquidated during the day,13126.15,
4,Net scripwise outstanding at the end of the day,382588.34,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,17923,65.50
Reliance Industries Ltd,INE002A01018,322980,4487.70
SJVN LIMITED,INE002L01015,575516,479.54
Mahanagar Gas Limited,INE002S01010,20867,248.92
"Siemens Ltd.,",INE003A01024,5518,188.06
Protean eGov Technologies Limited,INE004A01022,46572,445.38
Avantel Limited,INE005B01027,314092,510.95
ASTRAL LIMITED,INE006I01046,8614,138.12
CRISIL Ltd.,INE007A01025,1967,91.25
Geojit Financial Services Limited,INE007B01023,27840,20.16
Fedbank Financial Services Limited,INE007N01010,54216,77.93
IDBI LTD,INE008A01015,837656,718.96
Infosys Ltd,INE009A01021,180732,2500.52
Bikaji Foods International Limited,INE00E101023,9611,74.08
Hariom Pipe Industries Limited,INE00EV01017,6314,25.56
Prudent Corporate Advisory Services Limited,INE00F201020,450,11.63
ACUTAAS CHEMICALS LIMITED,INE00FF01025,13858,309.11
SWIGGY LIMITED,INE00H001014,277229,938.48
STOVE KRAFT LIMITED,INE00IN01015,12176,72.61
Craftsman Automation Limited,INE00LO01017,703,51.55
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,282142,678.20
Interarch Building Solutions Limited,INE00M901018,2883,57.67
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,6544,34.05
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,4814,98.64
Highway Infrastructure Limited,INE00RL01028,1875,1.21
Nila Spaces Ltd,INE00S901012,3011,0.41
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,35420,44.28
Manorama Industries Limited,INE00VM01036,3921,54.94
AFFLE 3I LIMITED,INE00WC01027,8642,148.61
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,10,0.17
Flair Writing Industries Limited,INE00Y201027,1725,5.58
A B INFRABUILD LIMITED,INE00YB01025,1199,0.20
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,1862,9.87
Entero Healthcare Solutions Limited,INE010601016,2530,29.71
PRISM JOHNSON LIMITED.,INE010A01011,13953,20.80
Zydus Lifesciences Limited,INE010B01027,13930,137.33
Tejas Networks Limited,INE010J01012,183206,976.19
L&T Technology Services Limited,INE010V01017,6062,235.25
