SEBI REPORT For Trade date 26-Nov-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,349780.93,
2,Fresh Exposure taken during the day,11266.69,
3,Exposure liquidated during the day,22498.18,
4,Net scripwise outstanding at the end of the day,338549.43,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,17490,69.48
Reliance Industries Ltd,INE002A01018,84085,1207.72
SJVN LIMITED,INE002L01015,619525,596.27
Mahanagar Gas Limited,INE002S01010,22372,295.78
"Siemens Ltd.,",INE003A01024,8418,286.48
Protean eGov Technologies Limited,INE004A01022,71615,805.35
Avantel Limited,INE005B01027,321005,562.95
ASTRAL LIMITED,INE006I01046,8481,129.85
CRISIL Ltd.,INE007A01025,2392,118.52
Geojit Financial Services Limited,INE007B01023,42103,46.27
Fedbank Financial Services Limited,INE007N01010,39728,57.13
IDBI LTD,INE008A01015,859684,821.64
Infosys Ltd,INE009A01021,87557,1351.12
Bikaji Foods International Limited,INE00E101023,13654,105.94
Hariom Pipe Industries Limited,INE00EV01017,12552,57.70
Prudent Corporate Advisory Services Limited,INE00F201020,1401,36.79
ACUTAAS CHEMICALS LIMITED,INE00FF01025,3001,46.03
SWIGGY LIMITED,INE00H001014,228880,975.48
STOVE KRAFT LIMITED,INE00IN01015,7426,48.33
Craftsman Automation Limited,INE00LO01017,381,25.64
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,243673,682.72
Interarch Building Solutions Limited,INE00M901018,340,8.62
DALMIA BHARAT LIMITED,INE00R701025,7750,168.28
Highway Infrastructure Limited,INE00RL01028,1134,0.89
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,36132,50.93
Manorama Industries Limited,INE00VM01036,7744,111.25
AFFLE 3I LIMITED,INE00WC01027,11300,214.58
Flair Writing Industries Limited,INE00Y201027,3291,10.78
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,406,2.73
Entero Healthcare Solutions Limited,INE010601016,963,11.09
PRISM JOHNSON LIMITED.,INE010A01011,13252,20.78
Zydus Lifesciences Limited,INE010B01027,25532,255.74
Tejas Networks Limited,INE010J01012,128691,877.32
L&T Technology Services Limited,INE010V01017,3981,176.15
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3306,21.02
Tega Industries Limited,INE011K01018,6211,125.99
ACC,INE012A01025,99748,1813.66
Onesource Specialty Pharma Limited,INE013P01021,1090,21.61
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,286,2.59
DABUR INDIA,INE016A01026,46564,248.67
CEINSYS TECH LIMITED,INE016Q01014,7500,79.96
"Great Eastern Shipping Co. Ltd.,",INE017A01032,46255,493.00
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,18585,684.21
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,11702,105.02
JSW SL,INE019A01038,19370,226.37
Himadri Speciality Chemical Ltd.,INE019C01026,85150,416.38
STANLEY LIFESTYLES LIMITED,INE01A001028,1068,3.24
Antony Waste Handling Cell Limited,INE01BK01022,4718,27.47
Vishal Mega Mart Limited,INE01EA01019,321309,459.03
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,7711,24.35
Sky Gold And Diamonds Limited,INE01IU01018,17561,61.53
eMudhra Limited,INE01QM01018,10593,72.38
Vikran Engineering Limited,INE01R501028,92873,100.55
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,607373,2372.81
Asian Paints Ltd.,INE021A01026,11263,313.87
Dodla Dairy Limited,INE021O01019,1479,19.45
ASIAN GRANITO INDIA LIMITED,INE022I01019,7830,5.40
Indian Energy Exchange Limited,INE022Q01020,146527,235.00
Aeroflex Industries Limited,INE024001021,79739,152.24
SHILCHAR TEC,INE024F01011,30,1.24
GRAVITA INDIA LIMITED,INE024L01027,15237,279.89
Goldiam International Ltd.,INE025B01025,54046,221.23
Artemis Medicare Services Limited,INE025R01021,2502,7.70
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,104572,213.25
RASHTRIYA CH,INE027A01015,257060,429.87
Max Healthcare Institute Limited,INE027H01010,22300,272.37
Bank Of Baroda,INE028A01039,145077,402.06
BHARAT PETRO,INE029A01011,56512,201.95
Kalyani Investment Company Limited,INE029L01018,1,0.06
ROSSARI BIOTECH LIMITED,INE02A801020,2437,16.56
Axita Cotton Limited,INE02EZ01022,3121,0.31
Raymond Lifestyle Limited,INE02ID01020,9088,113.88
Azad Engineering Limited,INE02IJ01035,22250,387.56
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,9187,25.45
Borosil Limited,INE02PY01013,5880,20.92
Brainbees Solutions Limited,INE02RE01045,45427,169.43
WONDER ELECTRICALS LIMITED,INE02WG01024,13853,23.36
Electronics Mart India Limited,INE02YR01019,57217,87.30
"Hindustan Unilever Ltd.,",INE030A01027,17786,445.77
Housing &Urban Development Corporation Ltd.,INE031A01017,284569,700.80
Ajanta Pharma Ltd.,INE031B01049,2335,60.66
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,1007390,1322.76
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,18637,63.95
Arvind SmartSpaces Limited,INE034S01021,4114,28.93
SOTL,INE035D01020,1019,4.77
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,46848,54.07
KARUR VYSYA,INE036D01028,23096,53.57
Concord Enviro Systems Limited,INE037Z01029,1131,6.06
Hindalco Industries Ltd.,INE038A01020,41608,326.66
T.V.Today Network Limited,INE038F01029,291,0.62
IFCI LTD,INE039A01010,539920,323.10
"Jamna Auto Industries Ltd.,",INE039C01032,104278,108.49
JASH ENGINEERING LIMITED,INE039O01029,8421,42.63
Max Estates Limited,INE03EI01018,2598,12.33
Go Digit General Insurance Limited,INE03JT01014,8007,28.88
Brigade Hotel Ventures Limited,INE03NU01014,3784,3.24
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1744,16.73
Cohance Lifesciences Limited,INE03QK01018,14383,107.29
Chemcon Speciality Chemicals Limited,INE03YM01018,164,0.42
HDFC Bank Ltd.,INE040A01034,92720,932.92
Mayur Uniquoters ltd.,INE040D01038,296,1.73
SUZLON ENERGY LTD.,INE040H01021,6875140,4195.06
"Dhampur Sugar Mills Ltd.,",INE041A01016,48615,71.61
Escorts Kubota Limited,INE042A01014,5002,184.78
Vijaya Diagnostic Centre Limited,INE043W01024,2049,21.01
Sun Pharmaceutical Industries Ltd.,INE044A01036,15040,248.36
Paras Defence and Space Technologies Limited,INE045601023,27963,208.44
ADOR WELDING,INE045A01017,21521,232.57
Nelco Ltd,INE045B01015,11521,101.58
Fineotex Chemical Limited,INE045J01034,201143,59.48
Reliance Industrial Infrastructure,INE046A01015,7196,67.43
Muthoot Microfin Limited,INE046W01019,6291,10.98
GRASIM INDUS,INE047A01021,7761,215.13
JAGSONPAL PH,INE048B01035,9870,23.59
Navin Fluorent International Ltd,INE048G01026,1147,61.47
"Himatsingka Seide Ltd.,",INE049A01027,96652,132.02
Wockhardt Ltd,INE049B01025,74422,1057.58
Nahar Capital & Financial Services Ltd.,INE049I01012,2,0.01
SBC EXPORTS LIMITED,INE04AK01028,415786,102.41
KPIT Technologies Ltd,INE04I401011,25528,332.13
ETHOS LIMITED,INE04TZ01018,532,15.12
Seshaasai Technologies Limited,INE04VU01023,2036,6.60
Prakash Pipes Limited,INE050001010,4730,20.55
Elin Electronics Limited,INE050401020,3567,7.66
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,3250,62.29
IL & FS Investment Managers Ltd.,INE050B01023,1744,0.16
Balaji Amines Ltd.,INE050E01027,5703,89.28
Rane (Madras)  Ltd.,INE050H01012,2140,17.11
Vardhman Special Steels Ltd,INE050M01012,3092,9.09
Vakrangee Softwares Ltd.,INE051B01021,3950,0.53
Windsor Machines Limited,INE052A01021,1470,4.56
Camlin Fine Sciences Ltd,INE052I01032,6054,10.95
BEST AGROLIFE LIMITED,INE052T01013,469,1.79
Indian Hotels Co. Ltd,INE053A01029,94587,709.01
Indian Railway Finance Corporation,INE053F01010,1536763,2112.48
"V.I.P. Industries Ltd.,",INE054A01027,13939,62.22
Waterbase Limited,INE054C01015,32921,17.01
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,7685,164.48
Cyient DLM Limited,INE055S01018,27042,128.87
IVALUE INFOSOLUTIONS LIMITED,INE056801025,227,0.72
Refex Industries Limited,INE056I01025,12092,45.20
Sanofi India Ltd,INE058A01010,926,47.42
"Cipla Ltd.,",INE059A01026,18896,293.52
La Opala RG Ltd.,INE059D01020,6242,16.07
Hindware Home Innovation Limited,INE05AN01011,4844,15.80
Ratnaveer Precision Engineering Limited,INE05CZ01011,4996,7.85
Indogulf Cropsciences Limited,INE05J901018,930,1.01
Likhitha Infrastructure Limited,INE060901027,2872,8.64
Navneet Education Limited,INE060A01024,10944,15.84
FORTIS HEALTHCARE LIMITED,INE061F01013,22791,220.67
"State Bank Of India,",INE062A01020,64191,568.01
ALICON,INE062D01024,19,0.17
Pondy Oxides & Chemicals Limited,INE063E01053,3192,41.38
Equitas Small Finance Bank Limited,INE063P01018,185618,120.00
Trident Ltd.,INE064C01022,745417,229.57
AEROFLEX ENTERPRISES LIMITED,INE065D01027,6158,6.32
Indegene Limited,INE065X01017,16017,89.23
Eicher Motors Ltd.,INE066A01021,2853,192.86
Hindustan Aeronautics Limited,INE066F01020,100951,4784.26
Wonderla Holidays Limited,INE066O01014,11998,78.32
Inox Wind Limited,INE066P01011,519556,862.20
CG Power and Industrial Solutions Limited,INE067A01029,84417,616.66
CANTABIL RETAIL INDIA LIMITED,INE068L01024,4371,12.05
Gland Pharma Limited,INE068V01023,3253,62.51
EMBASSY DEVELOPMENTS LIMITED,INE069I01010,593615,617.29
