SEBI REPORT For Trade date 08-Apr-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,381466.92,
2,Fresh Exposure taken during the day,18907.99,
3,Exposure liquidated during the day,19236.55,
4,Net scripwise outstanding at the end of the day,381138.36,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,16779,61.73
Reliance Industries Ltd,INE002A01018,297526,4156.64
SJVN LIMITED,INE002L01015,614370,505.78
Mahanagar Gas Limited,INE002S01010,23081,270.47
"Siemens Ltd.,",INE003A01024,5989,200.13
Protean eGov Technologies Limited,INE004A01022,47727,452.02
Avantel Limited,INE005B01027,319877,518.84
ASTRAL LIMITED,INE006I01046,6867,109.26
CRISIL Ltd.,INE007A01025,1904,88.56
Geojit Financial Services Limited,INE007B01023,28094,20.27
Fedbank Financial Services Limited,INE007N01010,57447,82.21
IDBI LTD,INE008A01015,740328,650.59
Infosys Ltd,INE009A01021,145490,2045.31
Bikaji Foods International Limited,INE00E101023,9512,73.41
Hariom Pipe Industries Limited,INE00EV01017,6402,26.11
Prudent Corporate Advisory Services Limited,INE00F201020,330,8.57
ACUTAAS CHEMICALS LIMITED,INE00FF01025,14519,321.74
SWIGGY LIMITED,INE00H001014,215877,783.37
STOVE KRAFT LIMITED,INE00IN01015,13995,81.77
Craftsman Automation Limited,INE00LO01017,652,47.64
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,284778,682.49
Interarch Building Solutions Limited,INE00M901018,2534,51.03
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,7224,37.14
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,3689,77.22
Highway Infrastructure Limited,INE00RL01028,1375,0.96
Nila Spaces Ltd,INE00S901012,3,0.00
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,34000,42.97
Manorama Industries Limited,INE00VM01036,3923,54.99
AFFLE 3I LIMITED,INE00WC01027,8796,150.97
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,10,0.16
Flair Writing Industries Limited,INE00Y201027,1730,5.60
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,1862,9.87
