SEBI REPORT For Trade date 22-Apr-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,396655.51,
2,Fresh Exposure taken during the day,20372.30,
3,Exposure liquidated during the day,17971.49,
4,Net scripwise outstanding at the end of the day,399056.31,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,17205,63.29
Reliance Industries Ltd,INE002A01018,340056,4732.64
SJVN LIMITED,INE002L01015,538240,454.50
Mahanagar Gas Limited,INE002S01010,21795,259.10
"Siemens Ltd.,",INE003A01024,3493,127.53
Protean eGov Technologies Limited,INE004A01022,47932,448.02
Avantel Limited,INE005B01027,279391,458.08
ASTRAL LIMITED,INE006I01046,14752,236.11
CRISIL Ltd.,INE007A01025,1915,89.62
Geojit Financial Services Limited,INE007B01023,21406,16.48
Fedbank Financial Services Limited,INE007N01010,51116,73.57
IDBI LTD,INE008A01015,882379,749.96
Infosys Ltd,INE009A01021,245567,3333.12
Bikaji Foods International Limited,INE00E101023,9527,73.41
Hariom Pipe Industries Limited,INE00EV01017,7608,29.75
Prudent Corporate Advisory Services Limited,INE00F201020,446,11.85
ACUTAAS CHEMICALS LIMITED,INE00FF01025,14378,321.15
SWIGGY LIMITED,INE00H001014,225660,799.36
STOVE KRAFT LIMITED,INE00IN01015,13037,77.61
Craftsman Automation Limited,INE00LO01017,472,35.38
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,342125,810.75
Interarch Building Solutions Limited,INE00M901018,2907,58.20
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,6211,32.54
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,5181,105.95
Highway Infrastructure Limited,INE00RL01028,7824,4.48
Nila Spaces Ltd,INE00S901012,3099,0.42
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,32035,39.88
Manorama Industries Limited,INE00VM01036,2922,41.58
AFFLE 3I LIMITED,INE00WC01027,9453,160.75
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,566,9.56
Flair Writing Industries Limited,INE00Y201027,1527,4.96
A B INFRABUILD LIMITED,INE00YB01025,2456,0.38
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,3542,16.65
Entero Healthcare Solutions Limited,INE010601016,1967,23.17
