SEBI REPORT For Trade date 04-Nov-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,329647.66,
2,Fresh Exposure taken during the day,10207.50,
3,Exposure liquidated during the day,6747.13,
4,Net scripwise outstanding at the end of the day,333108.03,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,24190,94.46
Reliance Industries Ltd,INE002A01018,110551,1565.61
SJVN LIMITED,INE002L01015,576238,574.64
Mahanagar Gas Limited,INE002S01010,18161,246.64
"Siemens Ltd.,",INE003A01024,15240,508.36
Protean eGov Technologies Limited,INE004A01022,65764,764.29
Avantel Limited,INE005B01027,321180,569.74
ASTRAL LIMITED,INE006I01046,14469,219.96
CRISIL Ltd.,INE007A01025,1911,97.37
Geojit Financial Services Limited,INE007B01023,45901,49.19
Fedbank Financial Services Limited,INE007N01010,54214,78.37
IDBI LTD,INE008A01015,949825,902.72
Infosys Ltd,INE009A01021,127136,1935.65
Bikaji Foods International Limited,INE00E101023,12192,95.46
Hariom Pipe Industries Limited,INE00EV01017,10309,50.16
Prudent Corporate Advisory Services Limited,INE00F201020,1236,32.79
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4536,71.60
SWIGGY LIMITED,INE00H001014,206245,890.58
STOVE KRAFT LIMITED,INE00IN01015,7462,48.85
Craftsman Automation Limited,INE00LO01017,493,31.46
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,258383,732.04
Interarch Building Solutions Limited,INE00M901018,506,10.00
DALMIA BHARAT LIMITED,INE00R701025,7517,163.83
Highway Infrastructure Limited,INE00RL01028,2171,1.73
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,38440,54.19
Manorama Industries Limited,INE00VM01036,7473,108.05
AFFLE 3I LIMITED,INE00WC01027,10676,205.99
Flair Writing Industries Limited,INE00Y201027,2747,8.94
Entero Healthcare Solutions Limited,INE010601016,1115,12.80
PRISM JOHNSON LIMITED.,INE010A01011,13028,21.05
Zydus Lifesciences Limited,INE010B01027,18883,194.02
Tejas Networks Limited,INE010J01012,130993,910.26
L&T Technology Services Limited,INE010V01017,4970,215.61
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3918,24.97
Tega Industries Limited,INE011K01018,6898,138.57
ACC,INE012A01025,111375,2028.41
Onesource Specialty Pharma Limited,INE013P01021,1566,30.60
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,340,3.11
MANAKSIA LIMITED,INE015D01022,29,0.02
DABUR INDIA,INE016A01026,50719,270.62
"Great Eastern Shipping Co. Ltd.,",INE017A01032,34230,357.34
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,20997,774.71
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,9810,88.47
JSW SL,INE019A01038,7066,80.52
Himadri Speciality Chemical Ltd.,INE019C01026,84185,413.84
STANLEY LIFESTYLES LIMITED,INE01A001028,1068,3.24
Antony Waste Handling Cell Limited,INE01BK01022,5669,33.53
Vishal Mega Mart Limited,INE01EA01019,356363,520.69
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,3136,9.75
Sky Gold And Diamonds Limited,INE01IU01018,16671,58.35
eMudhra Limited,INE01QM01018,9371,65.54
Vikran Engineering Limited,INE01R501028,39494,41.29
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,575982,2269.55
Asian Paints Ltd.,INE021A01026,8523,212.96
Dodla Dairy Limited,INE021O01019,1811,24.23
ASIAN GRANITO INDIA LIMITED,INE022I01019,1054,0.61
Indian Energy Exchange Limited,INE022Q01020,195015,319.30
Nalwa Sons Investment Ltd,INE023A01030,157,12.67
Aeroflex Industries Limited,INE024001021,87823,168.35
GRAVITA INDIA LIMITED,INE024L01027,22267,399.40
Goldiam International Ltd.,INE025B01025,58035,221.76
