SEBI REPORT For Trade date 23-Oct-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,321453.01,
2,Fresh Exposure taken during the day,11114.83,
3,Exposure liquidated during the day,10080.97,
4,Net scripwise outstanding at the end of the day,322486.88,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,23482,91.98
Reliance Industries Ltd,INE002A01018,157552,2224.12
SJVN LIMITED,INE002L01015,542460,545.98
Mahanagar Gas Limited,INE002S01010,14839,204.47
"Siemens Ltd.,",INE003A01024,15333,512.40
Protean eGov Technologies Limited,INE004A01022,65587,763.58
Avantel Limited,INE005B01027,373396,675.79
ASTRAL LIMITED,INE006I01046,14725,223.50
CRISIL Ltd.,INE007A01025,1993,100.75
Geojit Financial Services Limited,INE007B01023,42586,46.88
Fedbank Financial Services Limited,INE007N01010,47471,68.81
IDBI LTD,INE008A01015,995177,912.41
Infosys Ltd,INE009A01021,119868,1824.78
Bikaji Foods International Limited,INE00E101023,12621,99.03
Hariom Pipe Industries Limited,INE00EV01017,10203,49.90
Prudent Corporate Advisory Services Limited,INE00F201020,372,10.23
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4077,60.73
SWIGGY LIMITED,INE00H001014,166768,728.46
STOVE KRAFT LIMITED,INE00IN01015,10351,66.05
Craftsman Automation Limited,INE00LO01017,434,27.57
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,251328,722.89
Interarch Building Solutions Limited,INE00M901018,1653,32.99
DALMIA BHARAT LIMITED,INE00R701025,6117,134.87
Highway Infrastructure Limited,INE00RL01028,506,0.41
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39191,55.95
Manorama Industries Limited,INE00VM01036,4613,68.51
AFFLE 3I LIMITED,INE00WC01027,7600,148.78
Flair Writing Industries Limited,INE00Y201027,2817,9.19
Entero Healthcare Solutions Limited,INE010601016,1029,11.88
PRISM JOHNSON LIMITED.,INE010A01011,10566,17.33
Zydus Lifesciences Limited,INE010B01027,16173,167.22
Tejas Networks Limited,INE010J01012,135477,940.19
L&T Technology Services Limited,INE010V01017,4217,184.90
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3313,21.17
Tega Industries Limited,INE011K01018,6297,127.16
