SEBI REPORT For Trade date 13-Nov-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,340102.65,
2,Fresh Exposure taken during the day,11859.14,
3,Exposure liquidated during the day,9425.58,
4,Net scripwise outstanding at the end of the day,342536.22,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,24203,94.28
Reliance Industries Ltd,INE002A01018,91675,1302.11
SJVN LIMITED,INE002L01015,571788,564.88
Mahanagar Gas Limited,INE002S01010,19922,267.48
"Siemens Ltd.,",INE003A01024,16377,543.03
Protean eGov Technologies Limited,INE004A01022,63434,740.37
Avantel Limited,INE005B01027,318771,564.66
ASTRAL LIMITED,INE006I01046,7402,114.09
CRISIL Ltd.,INE007A01025,2045,103.66
Geojit Financial Services Limited,INE007B01023,45833,49.08
Fedbank Financial Services Limited,INE007N01010,50047,72.01
IDBI LTD,INE008A01015,990705,945.98
Infosys Ltd,INE009A01021,110335,1689.45
Bikaji Foods International Limited,INE00E101023,13011,101.20
Hariom Pipe Industries Limited,INE00EV01017,11743,54.89
Prudent Corporate Advisory Services Limited,INE00F201020,1330,35.18
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4343,68.54
SWIGGY LIMITED,INE00H001014,223907,959.41
STOVE KRAFT LIMITED,INE00IN01015,8070,52.82
Craftsman Automation Limited,INE00LO01017,503,34.01
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,252994,714.80
Interarch Building Solutions Limited,INE00M901018,343,7.03
DALMIA BHARAT LIMITED,INE00R701025,7923,172.07
Highway Infrastructure Limited,INE00RL01028,1083,0.86
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,36694,51.70
Manorama Industries Limited,INE00VM01036,8055,115.19
AFFLE 3I LIMITED,INE00WC01027,11233,213.54
Flair Writing Industries Limited,INE00Y201027,3698,12.12
Entero Healthcare Solutions Limited,INE010601016,946,10.93
PRISM JOHNSON LIMITED.,INE010A01011,13125,21.15
Zydus Lifesciences Limited,INE010B01027,21594,219.21
Tejas Networks Limited,INE010J01012,125945,874.40
L&T Technology Services Limited,INE010V01017,4608,199.97
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3999,25.45
Tega Industries Limited,INE011K01018,5711,116.05
ACC,INE012A01025,102078,1857.20
Onesource Specialty Pharma Limited,INE013P01021,1568,30.62
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,340,3.11
MANAKSIA LIMITED,INE015D01022,29,0.02
DABUR INDIA,INE016A01026,43245,231.25
"Great Eastern Shipping Co. Ltd.,",INE017A01032,40840,430.79
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,20827,769.40
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,10768,96.82
JSW SL,INE019A01038,16848,197.50
Himadri Speciality Chemical Ltd.,INE019C01026,85429,418.51
STANLEY LIFESTYLES LIMITED,INE01A001028,1068,3.24
Antony Waste Handling Cell Limited,INE01BK01022,4597,26.96
Vishal Mega Mart Limited,INE01EA01019,409238,593.34
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,7274,23.33
Sky Gold And Diamonds Limited,INE01IU01018,23571,82.50
eMudhra Limited,INE01QM01018,10061,69.68
Vikran Engineering Limited,INE01R501028,64519,68.31
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,609016,2385.72
Asian Paints Ltd.,INE021A01026,7655,203.09
Dodla Dairy Limited,INE021O01019,1350,17.89
ASIAN GRANITO INDIA LIMITED,INE022I01019,66,0.04
Indian Energy Exchange Limited,INE022Q01020,171658,281.06
Aeroflex Industries Limited,INE024001021,80691,154.56
GRAVITA INDIA LIMITED,INE024L01027,21848,391.53
Goldiam International Ltd.,INE025B01025,50028,204.89
Artemis Medicare Services Limited,INE025R01021,2335,7.13
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,103723,211.30
RASHTRIYA CH,INE027A01015,266999,446.29
Max Healthcare Institute Limited,INE027H01010,25637,310.27
Bank Of Baroda,INE028A01039,100391,270.93
BHARAT PETRO,INE029A01011,54376,191.47
Kalyani Investment Company Limited,INE029L01018,1,0.06
ROSSARI BIOTECH LIMITED,INE02A801020,2691,18.23
Axita Cotton Limited,INE02EZ01022,3071,0.31
Raymond Lifestyle Limited,INE02ID01020,10802,134.46
Azad Engineering Limited,INE02IJ01035,26215,451.97
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,9785,27.11
Borosil Limited,INE02PY01013,6567,24.01
Brainbees Solutions Limited,INE02RE01045,49768,187.26
WONDER ELECTRICALS LIMITED,INE02WG01024,16553,26.95
Electronics Mart India Limited,INE02YR01019,53318,83.88
"Hindustan Unilever Ltd.,",INE030A01027,16321,412.72
Housing &Urban Development Corporation Ltd.,INE031A01017,347700,842.67
Ajanta Pharma Ltd.,INE031B01049,2147,56.10
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,997920,1308.80
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,13483,45.08
Arvind SmartSpaces Limited,INE034S01021,4107,28.91
SOTL,INE035D01020,1019,4.77
