SEBI REPORT For Trade date 07-May-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,414110.58,
2,Fresh Exposure taken during the day,23235.69,
3,Exposure liquidated during the day,18003.39,
4,Net scripwise outstanding at the end of the day,419342.88,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,15996,59.02
Reliance Industries Ltd,INE002A01018,261708,3717.56
SJVN LIMITED,INE002L01015,615208,517.85
Mahanagar Gas Limited,INE002S01010,20649,246.01
"Siemens Ltd.,",INE003A01024,3560,129.25
Protean eGov Technologies Limited,INE004A01022,49518,430.99
Avantel Limited,INE005B01027,292304,477.90
ASTRAL LIMITED,INE006I01046,16318,260.08
CRISIL Ltd.,INE007A01025,2105,97.85
Geojit Financial Services Limited,INE007B01023,27133,20.33
Fedbank Financial Services Limited,INE007N01010,54763,80.08
IDBI LTD,INE008A01015,1273656,1050.56
Infosys Ltd,INE009A01021,424705,5380.54
Bikaji Foods International Limited,INE00E101023,8830,68.25
Hariom Pipe Industries Limited,INE00EV01017,8044,30.80
Prudent Corporate Advisory Services Limited,INE00F201020,227,6.09
ACUTAAS CHEMICALS LIMITED,INE00FF01025,9604,216.55
SWIGGY LIMITED,INE00H001014,257900,886.65
STOVE KRAFT LIMITED,INE00IN01015,11452,69.07
Craftsman Automation Limited,INE00LO01017,540,43.90
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,326662,774.04
Interarch Building Solutions Limited,INE00M901018,3817,78.08
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,6246,32.72
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,4510,92.75
Highway Infrastructure Limited,INE00RL01028,107,0.08
Nila Spaces Ltd,INE00S901012,1092,0.16
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,35280,42.72
Manorama Industries Limited,INE00VM01036,3309,49.07
AFFLE 3I LIMITED,INE00WC01027,12584,205.52
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,1108,21.03
Flair Writing Industries Limited,INE00Y201027,1466,4.75
A B INFRABUILD LIMITED,INE00YB01025,5358,0.84
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,3142,14.72
