SEBI REPORT For Trade date 09-Mar-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,385506.34,
2,Fresh Exposure taken during the day,8337.29,
3,Exposure liquidated during the day,10327.81,
4,Net scripwise outstanding at the end of the day,383515.82,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,23088,84.31
Reliance Industries Ltd,INE002A01018,199000,2894.57
SJVN LIMITED,INE002L01015,642851,558.99
Mahanagar Gas Limited,INE002S01010,20128,250.11
"Siemens Ltd.,",INE003A01024,6987,238.23
Protean eGov Technologies Limited,INE004A01022,49751,514.16
Avantel Limited,INE005B01027,257187,442.47
ASTRAL LIMITED,INE006I01046,7117,114.15
CRISIL Ltd.,INE007A01025,1724,83.76
Geojit Financial Services Limited,INE007B01023,47543,48.86
Fedbank Financial Services Limited,INE007N01010,53618,77.44
IDBI LTD,INE008A01015,765942,762.32
Infosys Ltd,INE009A01021,187033,2679.57
Bikaji Foods International Limited,INE00E101023,10181,78.90
Hariom Pipe Industries Limited,INE00EV01017,9252,41.40
Prudent Corporate Advisory Services Limited,INE00F201020,377,9.69
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4882,91.10
SWIGGY LIMITED,INE00H001014,221187,859.58
STOVE KRAFT LIMITED,INE00IN01015,8108,50.44
Craftsman Automation Limited,INE00LO01017,720,55.30
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,291865,720.00
Interarch Building Solutions Limited,INE00M901018,2407,50.14
Studds Accessories Limited,INE00Q601028,6032,32.48
DALMIA BHARAT LIMITED,INE00R701025,4197,90.14
Highway Infrastructure Limited,INE00RL01028,9467,5.57
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,36021,46.40
Manorama Industries Limited,INE00VM01036,4637,67.69
AFFLE 3I LIMITED,INE00WC01027,7309,132.03
Flair Writing Industries Limited,INE00Y201027,2373,7.66
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2287,12.28
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,2412,28.01
PRISM JOHNSON LIMITED.,INE010A01011,20233,29.42
Zydus Lifesciences Limited,INE010B01027,16429,162.30
Tejas Networks Limited,INE010J01012,190421,1038.17
L&T Technology Services Limited,INE010V01017,6188,245.59
BALU FORGE INDUSTRIES LIMITED,INE011E01029,30417,148.04
Tega Industries Limited,INE011K01018,3329,65.71
ACC,INE012A01025,14709,267.57
R&B Denims Limited,INE012Q01021,5533,10.14
Onesource Specialty Pharma Limited,INE013P01021,89680,1354.68
WIM PLAST LT,INE015B01018,930,4.31
Tinna Rubber and Infrastructure Limited,INE015C01016,332,2.81
DABUR INDIA,INE016A01026,17573,93.49
CEINSYS TECH LIMITED,INE016Q01014,150,1.89
"Great Eastern Shipping Co. Ltd.,",INE017A01032,6783,84.33
LARSEN & TOU,INE018A01030,30634,1198.72
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,13141,110.56
JSW SL,INE019A01038,5492,63.48
Himadri Speciality Chemical Ltd.,INE019C01026,59451,294.35
STANLEY LIFESTYLES LIMITED,INE01A001028,3627,8.14
Antony Waste Handling Cell Limited,INE01BK01022,4835,26.38
Vishal Mega Mart Limited,INE01EA01019,307334,407.34
Ritco Logistics Limited,INE01EG01016,82,0.24
Baazar Style Retail Limited,INE01FR01028,108155,377.04
Sky Gold And Diamonds Limited,INE01IU01018,15519,54.68
eMudhra Limited,INE01QM01018,11838,67.03
Vikran Engineering Limited,INE01R501028,550082,520.31
Canara HSBC Life Insurance Company Limited,INE01TY01017,9375,13.85
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,561989,2127.41
Asian Paints Ltd.,INE021A01026,11912,306.20
Dodla Dairy Limited,INE021O01019,434,5.42
ASIAN GRANITO INDIA LIMITED,INE022I01019,37792,26.99
Indian Energy Exchange Limited,INE022Q01020,256982,368.36
Nalwa Sons Investment Ltd,INE023A01030,31,1.97
Aeroflex Industries Limited,INE024001021,28884,60.71
SHILCHAR TEC,INE024F01011,2550,96.42
GRAVITA INDIA LIMITED,INE024L01027,13950,243.10
Goldiam International Ltd.,INE025B01025,140475,497.09
Artemis Medicare Services Limited,INE025R01021,1524,4.66
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,108837,211.21
"Lotus Chocolate Co. Ltd.,",INE026D01011,10,0.08
RASHTRIYA CH,INE027A01015,239911,377.70
Max Healthcare Institute Limited,INE027H01010,19321,225.51
Bank Of Baroda,INE028A01039,101687,296.62
BHARAT PETRO,INE029A01011,51733,184.71
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,1301,8.26
Raymond Lifestyle Limited,INE02ID01020,9516,109.73
Azad Engineering Limited,INE02IJ01035,21481,373.45
Borosil Scientific Limited,INE02L001032,182,0.24
Fino Payments Bank Limited,INE02NC01014,21087,52.23
Borosil Limited,INE02PY01013,5311,18.02
Brainbees Solutions Limited,INE02RE01045,56293,167.16
WONDER ELECTRICALS LIMITED,INE02WG01024,7493,12.48
Electronics Mart India Limited,INE02YR01019,52575,73.70
Corona Remedies Limited,INE02ZQ01018,41,0.65
"Hindustan Unilever Ltd.,",INE030A01027,15239,370.16
Housing &Urban Development Corporation Ltd.,INE031A01017,748188,1604.05
Ajanta Pharma Ltd.,INE031B01049,962,27.53
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,772232,934.13
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,21825,78.15
Arvind SmartSpaces Limited,INE034S01021,4177,28.91
SOTL,INE035D01020,1190,5.43
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,14970,21.10
KARUR VYSYA,INE036D01028,26320,74.55
Concord Enviro Systems Limited,INE037Z01029,361,1.73
Hindalco Industries Ltd.,INE038A01020,32580,291.68
T.V.Today Network Limited,INE038F01029,440,0.70
IFCI LTD,INE039A01010,736913,447.39
"Jamna Auto Industries Ltd.,",INE039C01032,104080,138.62
JASH ENGINEERING LIMITED,INE039O01029,6495,32.81
Jubilant Agri and Consumer Products Limited,INE03CC01015,95,1.86
Max Estates Limited,INE03EI01018,3058,14.12
VL E-Governance & IT Solutions Limited,INE03HW01020,5000,1.00
Go Digit General Insurance Limited,INE03JT01014,4415,15.56
Brigade Hotel Ventures Limited,INE03NU01014,1691,1.42
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1966,18.54
Cohance Lifesciences Limited,INE03QK01018,17773,87.70
Chemcon Speciality Chemicals Limited,INE03YM01018,125,0.32
HDFC Bank Ltd.,INE040A01034,231697,2167.46
Mayur Uniquoters ltd.,INE040D01038,3003,17.45
SUZLON ENERGY LTD.,INE040H01021,6545112,3532.25
"Dhampur Sugar Mills Ltd.,",INE041A01016,44272,63.12
Escorts Kubota Limited,INE042A01014,4371,160.82
GTL Ltd,INE043A01012,387,0.03
Vijaya Diagnostic Centre Limited,INE043W01024,2111,21.12
Sun Pharmaceutical Industries Ltd.,INE044A01036,8913,143.96
Paras Defence and Space Technologies Limited,INE045601023,29316,212.12
ADOR WELDING,INE045A01017,142,1.67
Nelco Ltd,INE045B01015,8959,73.66
Fineotex Chemical Limited,INE045J01034,107377,31.63
Reliance Industrial Infrastructure,INE046A01015,5454,48.88
Muthoot Microfin Limited,INE046W01019,5961,10.05
GRASIM INDUS,INE047A01021,3589,102.19
JAGSONPAL PH,INE048B01035,3714,9.05
Navin Fluorent International Ltd,INE048G01026,4185,270.83
"Himatsingka Seide Ltd.,",INE049A01027,60917,79.05
Wockhardt Ltd,INE049B01025,76806,1095.60
SBC EXPORTS LIMITED,INE04AK01028,558354,147.34
KPIT Technologies Ltd,INE04I401011,47610,477.91
ETHOS LIMITED,INE04TZ01018,597,16.43
Seshaasai Technologies Limited,INE04VU01023,1346,4.08
Prakash Pipes Limited,INE050001010,4605,18.21
Elin Electronics Limited,INE050401020,1184,2.53
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,3364,61.34
IL & FS Investment Managers Ltd.,INE050B01023,244,0.02
Balaji Amines Ltd.,INE050E01027,7224,95.79
