SEBI REPORT For Trade date 15-Dec-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,345297.53,
2,Fresh Exposure taken during the day,5687.42,
3,Exposure liquidated during the day,5968.86,
4,Net scripwise outstanding at the end of the day,345016.09,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,23257,92.83
Reliance Industries Ltd,INE002A01018,84401,1234.50
SJVN LIMITED,INE002L01015,596252,568.76
Mahanagar Gas Limited,INE002S01010,24475,317.85
"Siemens Ltd.,",INE003A01024,11528,391.16
Protean eGov Technologies Limited,INE004A01022,70160,790.04
Avantel Limited,INE005B01027,298900,522.01
ASTRAL LIMITED,INE006I01046,22882,335.91
CRISIL Ltd.,INE007A01025,1955,96.09
Geojit Financial Services Limited,INE007B01023,38992,43.55
Fedbank Financial Services Limited,INE007N01010,29481,42.14
IDBI LTD,INE008A01015,901597,863.12
Infosys Ltd,INE009A01021,62828,995.58
Bikaji Foods International Limited,INE00E101023,10933,85.70
Hariom Pipe Industries Limited,INE00EV01017,11292,49.96
Prudent Corporate Advisory Services Limited,INE00F201020,593,15.77
ACUTAAS CHEMICALS LIMITED,INE00FF01025,5242,85.93
SWIGGY LIMITED,INE00H001014,150863,649.59
STOVE KRAFT LIMITED,INE00IN01015,6924,44.76
Craftsman Automation Limited,INE00LO01017,583,40.23
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,260634,708.09
Interarch Building Solutions Limited,INE00M901018,737,18.22
Studds Accessories Limited,INE00Q601028,245,1.30
DALMIA BHARAT LIMITED,INE00R701025,7676,166.12
Highway Infrastructure Limited,INE00RL01028,1041,0.83
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39740,54.19
Manorama Industries Limited,INE00VM01036,7438,108.30
AFFLE 3I LIMITED,INE00WC01027,11607,218.59
Flair Writing Industries Limited,INE00Y201027,2233,7.26
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,845,5.06
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,1088,12.33
PRISM JOHNSON LIMITED.,INE010A01011,14803,22.83
Zydus Lifesciences Limited,INE010B01027,25525,255.11
Tejas Networks Limited,INE010J01012,132503,874.32
L&T Technology Services Limited,INE010V01017,2850,128.31
BALU FORGE INDUSTRIES LIMITED,INE011E01029,2915,18.52
Tega Industries Limited,INE011K01018,6263,126.90
ACC,INE012A01025,101298,1839.86
Onesource Specialty Pharma Limited,INE013P01021,1045,20.64
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,306,2.74
DABUR INDIA,INE016A01026,46319,246.62
"Great Eastern Shipping Co. Ltd.,",INE017A01032,39211,420.76
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,21794,823.85
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,10750,96.30
JSW SL,INE019A01038,25831,300.19
Himadri Speciality Chemical Ltd.,INE019C01026,72388,356.88
STANLEY LIFESTYLES LIMITED,INE01A001028,1063,3.20
Antony Waste Handling Cell Limited,INE01BK01022,4513,26.28
Vishal Mega Mart Limited,INE01EA01019,280329,399.54
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,11270,33.78
Sky Gold And Diamonds Limited,INE01IU01018,16396,57.39
eMudhra Limited,INE01QM01018,8302,55.61
Vikran Engineering Limited,INE01R501028,117775,124.04
Canara HSBC Life Insurance Company Limited,INE01TY01017,1213,1.46
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,540991,2103.49
Asian Paints Ltd.,INE021A01026,12149,340.75
Dodla Dairy Limited,INE021O01019,807,10.68
ASIAN GRANITO INDIA LIMITED,INE022I01019,7847,5.41
Indian Energy Exchange Limited,INE022Q01020,113516,183.51
Nalwa Sons Investment Ltd,INE023A01030,18,1.17
Aeroflex Industries Limited,INE024001021,76894,146.68
SHILCHAR TEC,INE024F01011,439,16.97
GRAVITA INDIA LIMITED,INE024L01027,13185,244.24
Goldiam International Ltd.,INE025B01025,53037,217.42
Artemis Medicare Services Limited,INE025R01021,2020,6.40
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,124365,248.23
RASHTRIYA CH,INE027A01015,255392,419.28
Max Healthcare Institute Limited,INE027H01010,22827,274.99
Bank Of Baroda,INE028A01039,172082,489.28
BHARAT PETRO,INE029A01011,57333,204.96
Kalyani Investment Company Limited,INE029L01018,1,0.06
ROSSARI BIOTECH LIMITED,INE02A801020,2521,16.14
Raymond Lifestyle Limited,INE02ID01020,10133,124.12
Azad Engineering Limited,INE02IJ01035,20254,352.53
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,13363,37.15
Borosil Limited,INE02PY01013,6249,21.86
Brainbees Solutions Limited,INE02RE01045,39572,145.58
WONDER ELECTRICALS LIMITED,INE02WG01024,13853,23.36
Electronics Mart India Limited,INE02YR01019,53207,80.26
"Hindustan Unilever Ltd.,",INE030A01027,16133,396.48
Housing &Urban Development Corporation Ltd.,INE031A01017,392629,941.62
Ajanta Pharma Ltd.,INE031B01049,1042,27.18
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,1009088,1321.63
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,19800,66.70
Arvind SmartSpaces Limited,INE034S01021,4449,30.96
SOTL,INE035D01020,962,4.54
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,40896,46.89
KARUR VYSYA,INE036D01028,43540,104.42
Concord Enviro Systems Limited,INE037Z01029,1007,5.50
Hindalco Industries Ltd.,INE038A01020,24779,194.19
T.V.Today Network Limited,INE038F01029,116,0.30
IFCI LTD,INE039A01010,582539,342.77
"Jamna Auto Industries Ltd.,",INE039C01032,81635,89.01
JASH ENGINEERING LIMITED,INE039O01029,8447,42.72
Max Estates Limited,INE03EI01018,2677,12.65
Go Digit General Insurance Limited,INE03JT01014,8029,28.93
Brigade Hotel Ventures Limited,INE03NU01014,3548,3.04
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1843,17.60
Cohance Lifesciences Limited,INE03QK01018,13512,97.38
Chemcon Speciality Chemicals Limited,INE03YM01018,154,0.39
HDFC Bank Ltd.,INE040A01034,87829,886.89
Mayur Uniquoters ltd.,INE040D01038,277,1.62
SUZLON ENERGY LTD.,INE040H01021,6831008,4102.46
"Dhampur Sugar Mills Ltd.,",INE041A01016,46296,67.29
Escorts Kubota Limited,INE042A01014,4516,168.13
Vijaya Diagnostic Centre Limited,INE043W01024,1120,11.53
Sun Pharmaceutical Industries Ltd.,INE044A01036,12247,202.25
Paras Defence and Space Technologies Limited,INE045601023,27425,202.34
ADOR WELDING,INE045A01017,708,7.80
Nelco Ltd,INE045B01015,11835,102.62
Fineotex Chemical Limited,INE045J01034,126400,40.95
Reliance Industrial Infrastructure,INE046A01015,6331,58.98
Muthoot Microfin Limited,INE046W01019,4006,6.89
