SEBI REPORT For Trade date 02-Jan-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,358109.00,
2,Fresh Exposure taken during the day,11099.81,
3,Exposure liquidated during the day,14708.90,
4,Net scripwise outstanding at the end of the day,354499.91,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,41641,166.70
Reliance Industries Ltd,INE002A01018,69113,1008.01
SJVN LIMITED,INE002L01015,515406,491.19
Mahanagar Gas Limited,INE002S01010,26714,340.36
"Siemens Ltd.,",INE003A01024,12254,411.50
Protean eGov Technologies Limited,INE004A01022,68415,769.94
Avantel Limited,INE005B01027,299802,522.53
ASTRAL LIMITED,INE006I01046,10516,158.19
CRISIL Ltd.,INE007A01025,2000,97.77
Geojit Financial Services Limited,INE007B01023,41670,45.26
Fedbank Financial Services Limited,INE007N01010,28148,40.45
IDBI LTD,INE008A01015,682665,653.19
Infosys Ltd,INE009A01021,66436,1053.31
Bikaji Foods International Limited,INE00E101023,10972,86.31
Hariom Pipe Industries Limited,INE00EV01017,12719,55.21
Prudent Corporate Advisory Services Limited,INE00F201020,413,11.10
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4392,70.62
SWIGGY LIMITED,INE00H001014,184849,775.37
STOVE KRAFT LIMITED,INE00IN01015,6810,43.95
Craftsman Automation Limited,INE00LO01017,300,19.31
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,260686,703.82
Interarch Building Solutions Limited,INE00M901018,620,15.25
Studds Accessories Limited,INE00Q601028,587,3.14
DALMIA BHARAT LIMITED,INE00R701025,6839,148.05
Highway Infrastructure Limited,INE00RL01028,7462,4.57
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,38363,52.07
Manorama Industries Limited,INE00VM01036,6021,88.69
AFFLE 3I LIMITED,INE00WC01027,10076,191.11
Flair Writing Industries Limited,INE00Y201027,3002,9.67
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,1905,10.60
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,936,10.67
PRISM JOHNSON LIMITED.,INE010A01011,16518,25.33
Zydus Lifesciences Limited,INE010B01027,24227,241.21
Tejas Networks Limited,INE010J01012,133061,866.78
L&T Technology Services Limited,INE010V01017,3445,155.07
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3666,23.08
Tega Industries Limited,INE011K01018,5531,111.95
ACC,INE012A01025,101532,1841.93
Onesource Specialty Pharma Limited,INE013P01021,2846,52.24
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,389,3.41
DABUR INDIA,INE016A01026,28644,152.84
"Great Eastern Shipping Co. Ltd.,",INE017A01032,19341,218.51
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,17367,653.87
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,12819,113.80
JSW SL,INE019A01038,21727,253.00
Himadri Speciality Chemical Ltd.,INE019C01026,67364,333.30
STANLEY LIFESTYLES LIMITED,INE01A001028,1744,4.63
Antony Waste Handling Cell Limited,INE01BK01022,4345,24.52
Vishal Mega Mart Limited,INE01EA01019,301369,428.61
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,9270,28.00
Sky Gold And Diamonds Limited,INE01IU01018,16330,57.13
eMudhra Limited,INE01QM01018,7885,52.61
Vikran Engineering Limited,INE01R501028,440125,445.29
Canara HSBC Life Insurance Company Limited,INE01TY01017,3875,5.56
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,510839,1979.12
Asian Paints Ltd.,INE021A01026,13515,378.64
Dodla Dairy Limited,INE021O01019,632,8.35
ASIAN GRANITO INDIA LIMITED,INE022I01019,11489,8.19
Indian Energy Exchange Limited,INE022Q01020,185180,279.81
Nalwa Sons Investment Ltd,INE023A01030,55,3.61
Aeroflex Industries Limited,INE024001021,71836,137.74
SHILCHAR TEC,INE024F01011,1156,46.02
GRAVITA INDIA LIMITED,INE024L01027,14202,262.65
Goldiam International Ltd.,INE025B01025,56974,231.55
Artemis Medicare Services Limited,INE025R01021,2090,6.57
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,124242,247.86
RASHTRIYA CH,INE027A01015,257245,420.49
Max Healthcare Institute Limited,INE027H01010,31421,361.96
Bank Of Baroda,INE028A01039,126865,359.87
BHARAT PETRO,INE029A01011,53499,192.99
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,2543,16.18
Raymond Lifestyle Limited,INE02ID01020,10553,126.94
Azad Engineering Limited,INE02IJ01035,19173,334.93
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,14654,40.28
Borosil Limited,INE02PY01013,6495,22.32
Brainbees Solutions Limited,INE02RE01045,45931,163.47
WONDER ELECTRICALS LIMITED,INE02WG01024,13953,23.50
Electronics Mart India Limited,INE02YR01019,63446,89.24
"Hindustan Unilever Ltd.,",INE030A01027,12949,321.50
Housing &Urban Development Corporation Ltd.,INE031A01017,375130,900.06
Ajanta Pharma Ltd.,INE031B01049,1749,49.11
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,943775,1234.42
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,16904,56.27
Arvind SmartSpaces Limited,INE034S01021,4232,29.62
SOTL,INE035D01020,962,4.54
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,3120,3.92
KARUR VYSYA,INE036D01028,20669,48.94
Concord Enviro Systems Limited,INE037Z01029,937,5.11
Hindalco Industries Ltd.,INE038A01020,25941,211.63
T.V.Today Network Limited,INE038F01029,91,0.26
IFCI LTD,INE039A01010,608568,354.99
"Jamna Auto Industries Ltd.,",INE039C01032,68529,75.39
JASH ENGINEERING LIMITED,INE039O01029,8315,42.01
Max Estates Limited,INE03EI01018,2571,12.19
VL E-Governance & IT Solutions Limited,INE03HW01020,5000,1.00
Go Digit General Insurance Limited,INE03JT01014,7391,26.68
Brigade Hotel Ventures Limited,INE03NU01014,2478,2.13
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1836,17.46
Cohance Lifesciences Limited,INE03QK01018,12525,91.24
Chemcon Speciality Chemicals Limited,INE03YM01018,299,0.68
HDFC Bank Ltd.,INE040A01034,95093,958.58
Mayur Uniquoters ltd.,INE040D01038,277,1.62
SUZLON ENERGY LTD.,INE040H01021,6980073,4157.89
"Dhampur Sugar Mills Ltd.,",INE041A01016,45296,65.34
Escorts Kubota Limited,INE042A01014,3893,144.98
Vijaya Diagnostic Centre Limited,INE043W01024,1041,10.73
Sun Pharmaceutical Industries Ltd.,INE044A01036,17925,301.28
Paras Defence and Space Technologies Limited,INE045601023,27053,197.84
ADOR WELDING,INE045A01017,707,7.78
Nelco Ltd,INE045B01015,12085,103.83
Fineotex Chemical Limited,INE045J01034,127808,38.26
Reliance Industrial Infrastructure,INE046A01015,6220,57.87
Muthoot Microfin Limited,INE046W01019,15345,27.15
GRASIM INDUS,INE047A01021,2989,85.27
JAGSONPAL PH,INE048B01035,5168,12.50
Navin Fluorent International Ltd,INE048G01026,1249,69.90
"Himatsingka Seide Ltd.,",INE049A01027,78209,108.61
Wockhardt Ltd,INE049B01025,75237,1079.87
SBC EXPORTS LIMITED,INE04AK01028,530885,135.10
KPIT Technologies Ltd,INE04I401011,24054,311.31
ETHOS LIMITED,INE04TZ01018,481,13.68
Seshaasai Technologies Limited,INE04VU01023,2320,7.11
Prakash Pipes Limited,INE050001010,3868,17.36
Elin Electronics Limited,INE050401020,2470,5.22
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,3465,65.63
IL & FS Investment Managers Ltd.,INE050B01023,244,0.02
Balaji Amines Ltd.,INE050E01027,4409,67.22
Rane (Madras)  Ltd.,INE050H01012,2259,17.99
Vardhman Special Steels Ltd,INE050M01012,2050,6.11
Vakrangee Softwares Ltd.,INE051B01021,12950,1.24
Windsor Machines Limited,INE052A01021,2547,7.43
Camlin Fine Sciences Ltd,INE052I01032,9031,15.61
BEST AGROLIFE LIMITED,INE052T01013,988,3.75
Indian Hotels Co. Ltd,INE053A01029,72218,536.43
Indian Railway Finance Corporation,INE053F01010,1637238,2226.38
"V.I.P. Industries Ltd.,",INE054A01027,15857,69.40
Waterbase Limited,INE054C01015,14683,7.43
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,6954,149.56
Cyient DLM Limited,INE055S01018,28877,135.89
IVALUE INFOSOLUTIONS LIMITED,INE056801025,208,0.60
Refex Industries Limited,INE056I01025,17730,57.28
Sanofi India Ltd,INE058A01010,583,29.27
"Cipla Ltd.,",INE059A01026,17954,276.81
La Opala RG Ltd.,INE059D01020,5422,13.77
Hindware Home Innovation Limited,INE05AN01011,4679,15.09
Ratnaveer Precision Engineering Limited,INE05CZ01011,10963,17.64
Indogulf Cropsciences Limited,INE05J901018,532,0.60
Likhitha Infrastructure Limited,INE060901027,2358,6.91
Navneet Education Limited,INE060A01024,10287,14.79
FORTIS HEALTHCARE LIMITED,INE061F01013,25039,232.80
"State Bank Of India,",INE062A01020,60210,540.32
ALICON,INE062D01024,56,0.49
Pondy Oxides & Chemicals Limited,INE063E01053,1902,23.12
Equitas Small Finance Bank Limited,INE063P01018,204536,131.02
TIMES GROUP,INE064A01026,13500,46.72
Trident Ltd.,INE064C01022,772737,231.25
AEROFLEX ENTERPRISES LIMITED,INE065D01027,5851,5.96
Indegene Limited,INE065X01017,10106,57.82
Eicher Motors Ltd.,INE066A01021,1935,130.98
Hindustan Aeronautics Limited,INE066F01020,96303,4517.70
Wonderla Holidays Limited,INE066O01014,11443,74.96
Inox Wind Limited,INE066P01011,499012,809.06
CG Power and Industrial Solutions Limited,INE067A01029,77675,555.02
CANTABIL RETAIL INDIA LIMITED,INE068L01024,26310,67.71
Gland Pharma Limited,INE068V01023,10590,187.71
EMBASSY DEVELOPMENTS LIMITED,INE069I01010,28093,34.51
ECOS (India) Mobility & Hospitality Limited,INE06HJ01020,1627,3.70
INDIQUBE SPACES LIMITED,INE06ST01018,1084,2.52
LAXMI INDIA FINANCE LIMITED,INE06WU01026,5735,8.22
Gem Aromatics Limited,INE06XZ01023,2168,3.84
SHANTI GOLD INTERNATIONAL LIMITED,INE06ZD01017,6808,14.96
SHREE CEMENT,INE070A01015,199,55.23
Jai Corp Limited,INE070D01027,32875,53.08
INSECTCID,INE070I01018,499,4.78
Ugar Sugar Works Ltd.,INE071E01023,1781,1.03
Epigral Limited,INE071N01016,3628,57.96
Associated Alcohols & Breweries Ltd,INE073G01016,2809,30.61
Sona BLW Precision Forgings Limited,INE073K01018,45995,227.88
Praj Industries Ltd.,INE074A01025,131024,526.04
Paramount Communications Ltd.,INE074B01023,102948,50.52
WIPRO LTD.,INE075A01022,75744,203.37
G M BREWERIE,INE075D01018,1406,13.21
HealthCare Global Enterprises Limited,INE075I01017,2360,15.62
SIYAR SILK M,INE076B01028,3505,26.80
IFB Agro Industries Ltd,INE076C01018,21,0.28
GOCL Corporation Limited ,INE077F01035,408,1.51
Vikram Solar Limited,INE078V01014,55641,157.36
Ambuja Cements Ltd.,INE079A01024,67086,386.91
Gateway Distriparks Limited,INE079J01017,119863,80.79
ZAGGLE PREPAID OCEAN SERVICES LIMITED,INE07K301024,73116,284.36
Easy Trip Planners Limited,INE07O001026,1513158,190.89
NDR Auto Components Limited,INE07OG01012,442,4.20
Supriya Lifescience Limited,INE07RO01027,17911,137.05
Pavna Industries Limited,INE07S101038,6887,2.05
Restaurant Brands Asia Limited,INE07T201019,154334,114.48
IRM ENERGY LIMITED,INE07U701015,8751,28.98
HITACHI ENERGY INDIA LIMITED,INE07Y701011,2055,418.29
LLOYDS ENTERPRISES LIMITED,INE080I01025,3087197,2377.80
TATA IORN AN,INE081A01020,528923,891.90
"Kopran Ltd.,",INE082A01010,2039,3.40
Morepen Laboratories Ltd.,INE083A01026,320373,180.40
Themis Medicare Ltd.,INE083B01024,4656,6.09
BANK OF INDI,INE084A01016,308953,430.20
Amanta Healthcare Limited,INE084K01015,228,0.25
RACE ECO CHAIN LIMITED,INE084Q01012,45,0.09
WeWork India Management Limited,INE085001019,1194,7.50
CHAMBAL FERT,INE085A01013,601458,2666.46
Thangamayil Jewellery Limited,INE085J01014,84,2.74
"Electrosteel Castings Ltd.,",INE086A01029,242865,242.69
KESORAM IND,INE087A01019,1371,0.09
Shree Renuka Sugars Ltd.,INE087H01022,934742,309.74
Paradeep Phosphates Limited,INE088F01024,425266,750.11
DR.REDDY'S L,INE089A01031,9095,115.34
Sterlite Technologies Limited.,INE089C01029,23731,25.91
MUFIN GREEN FINANCE LIMITED,INE08KJ01020,1310,1.49
DCM NOUVELLE LIMITED,INE08KP01019,1,0.00
Krsnaa Diagnostics Limited,INE08LI01020,1307,10.64
M & B ENGINEERING LIMITED,INE08N601015,9979,40.23
SANSTAR LIMITED,INE08NE01025,2257,2.43
Samhi Hotels Limited,INE08U801020,91543,191.67
Greenpanel Industries Limited,INE08ZM01014,5229,14.91
Scoda Tubes Limited,INE090501011,16786,29.68
ICICI Bank Ltd.,INE090A01021,66232,911.15
Jai Balaji Industries Limited,INE091G01026,70218,62.70
TATA CHEMICA,INE092A01019,52261,443.63
INDIA NIPP E,INE092B01025,303,2.58
IDFC FIRST BANK LIMITED,INE092T01019,713556,548.99
Hexaware Technologies Limited,INE093A01041,3336,24.19
OBEROI REALTY LIMITED,INE093I01010,3843,67.34
LLOYDS ENGINEERING WORKS LIMITED,INE093R01011,175871,120.38
HINDUSTAN PE,INE094A01015,41795,190.42
Ashika Credit Capital Ltd.,INE094B01013,25000,88.75
Kolte-Patil Developers Ltd,INE094I01018,4681,16.79
UTI Asset Management Company Limited,INE094J01016,8234,106.14
Mishtann Foods Limited,INE094S01041,200,0.01
IndusInd Bank Ltd.,INE095A01012,38838,353.22
NBCC (India) Limited,INE095N01031,432586,523.53
NUCLEU SOF E,INE096B01018,768,8.60
Amrutanjan Health Care Limited,INE098F01031,256,1.93
Mishra Dhatu Nigam Limited,INE099Z01011,67913,256.71
Aarti Surfactants Limited,INE09EO01013,102,0.41
Atam Valves Limited,INE09KD01013,3,0.00
Gujarat Fluorochemicals Limited,INE09N301011,2350,85.07
Indigo Paints Limited,INE09VQ01012,1364,16.56
Akums Drugs and Pharmaceuticals Limited,INE09XN01023,6987,33.28
VISHNU PRAKASH R PUNGLIA LIMITED,INE0AE001013,173010,162.11
Ceigall India Limited,INE0AG901020,4470,11.83
Hemisphere Properties India Limited,INE0AJG01018,62113,95.04
ADVAIT ENERGY TRANSITIONS LIMITED,INE0ALI01010,51,0.74
Leela Palaces Hotels & Resorts Limited,INE0AQ201015,2181,9.56
KRONOX LAB SCIENCES LIMITED,INE0ATZ01017,323,0.59
Bansal Wire Industries Limited,INE0B9K01025,3072,10.02
Go Fashion (India) Limited,INE0BJS01011,7547,50.43
Premier Energies Limited,INE0BS701011,1261048,12730.69
C.E. Info Systems Limited,INE0BV301023,5315,96.47
Aether Industries Limited,INE0BWX01014,5274,43.17
PROSTARM INFO SYSTEMS LIMITED,INE0BX301013,5960,11.37
Jubilant Ingrevia Limited,INE0BY001018,8200,59.61
Oswal Pumps Limited,INE0BYP01024,28756,188.44
Urban Company Limited,INE0CAZ01013,27321,36.46
Mukka Proteins Limited,INE0CG401037,31551,12.05
Max India Limited,INE0CG601016,6,0.01
