SEBI REPORT For Trade date 07-Apr-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,382114.40,
2,Fresh Exposure taken during the day,7949.73,
3,Exposure liquidated during the day,8597.22,
4,Net scripwise outstanding at the end of the day,381466.92,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,17084,62.42
Reliance Industries Ltd,INE002A01018,314987,4378.73
SJVN LIMITED,INE002L01015,667837,559.51
Mahanagar Gas Limited,INE002S01010,20094,240.03
"Siemens Ltd.,",INE003A01024,5026,169.12
Protean eGov Technologies Limited,INE004A01022,46540,446.19
Avantel Limited,INE005B01027,318164,516.29
ASTRAL LIMITED,INE006I01046,5705,91.32
CRISIL Ltd.,INE007A01025,2287,103.27
Geojit Financial Services Limited,INE007B01023,28521,20.50
Fedbank Financial Services Limited,INE007N01010,56913,81.46
IDBI LTD,INE008A01015,738096,650.29
Infosys Ltd,INE009A01021,133448,1881.65
Bikaji Foods International Limited,INE00E101023,9562,73.78
Hariom Pipe Industries Limited,INE00EV01017,5338,23.11
Prudent Corporate Advisory Services Limited,INE00F201020,285,7.55
ACUTAAS CHEMICALS LIMITED,INE00FF01025,14970,331.40
SWIGGY LIMITED,INE00H001014,214627,780.11
STOVE KRAFT LIMITED,INE00IN01015,12720,74.62
Craftsman Automation Limited,INE00LO01017,614,45.06
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,285835,684.54
Interarch Building Solutions Limited,INE00M901018,2544,51.15
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,5274,28.24
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,3391,71.39
Highway Infrastructure Limited,INE00RL01028,1375,0.96
Nila Spaces Ltd,INE00S901012,3,0.00
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,32121,41.24
Manorama Industries Limited,INE00VM01036,3852,54.01
AFFLE 3I LIMITED,INE00WC01027,7786,136.46
Flair Writing Industries Limited,INE00Y201027,1731,5.60
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,1891,10.00
Entero Healthcare Solutions Limited,INE010601016,2371,27.84
PRISM JOHNSON LIMITED.,INE010A01011,14010,21.02
Zydus Lifesciences Limited,INE010B01027,15356,150.19
Tejas Networks Limited,INE010J01012,192924,1020.02
L&T Technology Services Limited,INE010V01017,5964,231.61
BALU FORGE INDUSTRIES LIMITED,INE011E01029,17831,84.77
Tega Industries Limited,INE011K01018,2524,49.53
ACC,INE012A01025,16670,281.70
R&B Denims Limited,INE012Q01039,3009,1.85
Onesource Specialty Pharma Limited,INE013P01021,205998,3047.71
Tinna Rubber and Infrastructure Limited,INE015C01016,362,2.79
DABUR INDIA,INE016A01026,21467,108.30
CEINSYS TECH LIMITED,INE016Q01014,233,2.71
"Great Eastern Shipping Co. Ltd.,",INE017A01032,7416,96.71
LARSEN & TOU,INE018A01030,42737,1582.76
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,15597,121.71
JSW SL,INE019A01038,5809,67.59
Himadri Speciality Chemical Ltd.,INE019C01026,49341,239.79
STANLEY LIFESTYLES LIMITED,INE01A001028,3382,5.67
Antony Waste Handling Cell Limited,INE01BK01022,5467,27.75
Vishal Mega Mart Limited,INE01EA01019,259421,336.51
Ritco Logistics Limited,INE01EG01016,81,0.24
Baazar Style Retail Limited,INE01FR01028,108299,376.55
Sky Gold And Diamonds Limited,INE01IU01018,13678,47.72
eMudhra Limited,INE01QM01018,8948,50.45
Vikran Engineering Limited,INE01R501028,558947,515.00
Canara HSBC Life Insurance Company Limited,INE01TY01017,5141,7.42
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,489172,1803.73
Asian Paints Ltd.,INE021A01026,12907,322.80
Dodla Dairy Limited,INE021O01019,349,4.31
ASIAN GRANITO INDIA LIMITED,INE022I01019,22136,15.01
Indian Energy Exchange Limited,INE022Q01020,215930,310.22
Nalwa Sons Investment Ltd,INE023A01030,36,1.96
Aeroflex Industries Limited,INE024001021,26775,61.42
Shilchar Technologies Ltd.,INE024F01011,2587,98.23
GRAVITA INDIA LIMITED,INE024L01027,14450,237.35
Goldiam International Ltd.,INE025B01025,24065,87.98
Artemis Medicare Services Limited,INE025R01021,1294,4.06
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,420201,698.02
"Lotus Chocolate Co. Ltd.,",INE026D01011,10,0.08
RASHTRIYA CH,INE027A01015,191606,286.53
Max Healthcare Institute Limited,INE027H01010,16447,184.93
Bank Of Baroda,INE028A01039,159032,442.25
BHARAT PETRO,INE029A01011,100547,316.40
Kalyani Investment Company Limited,INE029L01018,8,0.38
ROSSARI BIOTECH LIMITED,INE02A801020,1034,5.83
Anand Rayons Limited,INE02GA01012,2000,1.35
Raymond Lifestyle Limited,INE02ID01020,9308,97.43
Azad Engineering Limited,INE02IJ01035,19991,346.41
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,18701,41.25
Borosil Limited,INE02PY01013,3244,10.68
Brainbees Solutions Limited,INE02RE01045,55399,164.42
WONDER ELECTRICALS LIMITED,INE02WG01024,18939,16.85
Electronics Mart India Limited,INE02YR01019,52841,71.84
Corona Remedies Limited,INE02ZQ01018,162,2.57
"Hindustan Unilever Ltd.,",INE030A01027,18912,434.75
Housing &Urban Development Corporation Ltd.,INE031A01017,592583,1237.00
Ajanta Pharma Ltd.,INE031B01049,1148,33.22
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,221373,288.26
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,19415,70.51
Arvind SmartSpaces Limited,INE034S01021,3889,26.71
SOTL,INE035D01020,1688,7.01
Gujarat Ambuja Exports Ltd.,INE036B01030,30410,43.76
KARUR VYSYA,INE036D01028,42982,117.77
Concord Enviro Systems Limited,INE037Z01029,274,1.42
Hindalco Industries Ltd.,INE038A01020,36802,329.53
T.V.Today Network Limited,INE038F01029,637,0.90
IFCI LTD,INE039A01010,704310,418.87
"Jamna Auto Industries Ltd.,",INE039C01032,77497,98.23
JASH ENGINEERING LIMITED,INE039O01029,6448,32.56
Jubilant Agri and Consumer Products Limited,INE03CC01015,105,2.02
Max Estates Limited,INE03EI01018,2042,9.52
VL E-Governance & IT Solutions Limited,INE03HW01020,5000,1.00
Go Digit General Insurance Limited,INE03JT01014,3793,13.24
Brigade Hotel Ventures Limited,INE03NU01014,1307,1.12
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1497,14.23
Cohance Lifesciences Limited,INE03QK01018,12293,58.39
Chemcon Speciality Chemicals Limited,INE03YM01018,118,0.30
HDFC Bank Ltd.,INE040A01034,352316,2998.96
Mayur Uniquoters ltd.,INE040D01038,1278,7.48
SUZLON ENERGY LTD.,INE040H01021,6501081,3394.67
"Dhampur Sugar Mills Ltd.,",INE041A01016,43492,61.74
Escorts Kubota Limited,INE042A01014,4578,159.36
GTL Ltd,INE043A01012,5000,0.31
Vijaya Diagnostic Centre Limited,INE043W01024,3075,29.62
Sun Pharmaceutical Industries Ltd.,INE044A01036,14975,251.52
Paras Defence and Space Technologies Limited,INE045601023,31799,219.21
ADOR WELDING,INE045A01017,138,1.63
Nelco Ltd,INE045B01015,7589,61.03
Fineotex Chemical Limited,INE045J01034,92141,26.34
Reliance Industrial Infrastructure,INE046A01015,5572,48.21
Muthoot Microfin Limited,INE046W01019,4422,7.37
GRASIM INDUS,INE047A01021,4537,123.73
JAGSONPAL PH,INE048B01035,2918,6.62
Navin Fluorent International Ltd,INE048G01026,3863,246.70
"Himatsingka Seide Ltd.,",INE049A01027,56552,64.03
Wockhardt Ltd,INE049B01025,61561,876.00
SBC EXPORTS LIMITED,INE04AK01028,1086281,313.79
