SEBI REPORT For Trade date 18-Dec-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,347046.30,
2,Fresh Exposure taken during the day,4221.18,
3,Exposure liquidated during the day,5400.04,
4,Net scripwise outstanding at the end of the day,345867.44,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,23040,91.94
Reliance Industries Ltd,INE002A01018,81625,1198.19
SJVN LIMITED,INE002L01015,604812,573.86
Mahanagar Gas Limited,INE002S01010,25031,323.61
"Siemens Ltd.,",INE003A01024,12003,405.21
Protean eGov Technologies Limited,INE004A01022,70639,793.01
Avantel Limited,INE005B01027,297396,519.01
ASTRAL LIMITED,INE006I01046,10075,152.41
CRISIL Ltd.,INE007A01025,1991,97.65
Geojit Financial Services Limited,INE007B01023,103860,93.84
Fedbank Financial Services Limited,INE007N01010,29180,41.70
IDBI LTD,INE008A01015,875963,837.70
Infosys Ltd,INE009A01021,60753,965.13
Bikaji Foods International Limited,INE00E101023,9498,75.18
Hariom Pipe Industries Limited,INE00EV01017,11622,51.08
Prudent Corporate Advisory Services Limited,INE00F201020,343,9.31
ACUTAAS CHEMICALS LIMITED,INE00FF01025,5563,91.16
SWIGGY LIMITED,INE00H001014,148560,634.29
STOVE KRAFT LIMITED,INE00IN01015,6924,44.76
Craftsman Automation Limited,INE00LO01017,683,47.11
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,261429,708.07
Interarch Building Solutions Limited,INE00M901018,951,23.38
Studds Accessories Limited,INE00Q601028,515,2.76
DALMIA BHARAT LIMITED,INE00R701025,7584,164.15
Highway Infrastructure Limited,INE00RL01028,1136,0.88
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39976,54.43
Manorama Industries Limited,INE00VM01036,7438,108.30
AFFLE 3I LIMITED,INE00WC01027,11724,220.53
Flair Writing Industries Limited,INE00Y201027,2288,7.42
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,1295,7.57
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,1088,12.33
PRISM JOHNSON LIMITED.,INE010A01011,14719,22.70
Zydus Lifesciences Limited,INE010B01027,25761,257.19
Tejas Networks Limited,INE010J01012,129285,856.03
L&T Technology Services Limited,INE010V01017,2856,128.49
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3015,19.15
Tega Industries Limited,INE011K01018,6314,127.84
ACC,INE012A01025,101313,1839.80
Onesource Specialty Pharma Limited,INE013P01021,1035,20.45
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,306,2.74
DABUR INDIA,INE016A01026,46315,246.45
CEINSYS TECH LIMITED,INE016Q01014,1500,12.13
"Great Eastern Shipping Co. Ltd.,",INE017A01032,27771,308.44
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,20911,792.11
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,11881,105.90
JSW SL,INE019A01038,26705,309.56
Himadri Speciality Chemical Ltd.,INE019C01026,71703,353.68
STANLEY LIFESTYLES LIMITED,INE01A001028,1063,3.20
Antony Waste Handling Cell Limited,INE01BK01022,3437,20.74
Vishal Mega Mart Limited,INE01EA01019,280642,399.86
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,8470,25.86
Sky Gold And Diamonds Limited,INE01IU01018,16756,58.57
eMudhra Limited,INE01QM01018,7599,51.04
Vikran Engineering Limited,INE01R501028,138057,141.42
Canara HSBC Life Insurance Company Limited,INE01TY01017,2523,3.12
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,548241,2122.01
Asian Paints Ltd.,INE021A01026,12055,338.14
Dodla Dairy Limited,INE021O01019,603,7.99
ASIAN GRANITO INDIA LIMITED,INE022I01019,7844,5.41
Indian Energy Exchange Limited,INE022Q01020,123611,197.31
Nalwa Sons Investment Ltd,INE023A01030,20,1.30
Aeroflex Industries Limited,INE024001021,76893,146.67
SHILCHAR TEC,INE024F01011,216,8.44
GRAVITA INDIA LIMITED,INE024L01027,13399,248.30
Goldiam International Ltd.,INE025B01025,53039,217.43
Artemis Medicare Services Limited,INE025R01021,1953,6.21
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,122677,245.11
RASHTRIYA CH,INE027A01015,249333,410.10
Max Healthcare Institute Limited,INE027H01010,24344,290.20
Bank Of Baroda,INE028A01039,171474,487.52
BHARAT PETRO,INE029A01011,55831,199.44
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,2621,16.71
Raymond Lifestyle Limited,INE02ID01020,9979,122.36
Azad Engineering Limited,INE02IJ01035,20085,349.56
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,14259,39.48
Borosil Limited,INE02PY01013,6374,22.20
Brainbees Solutions Limited,INE02RE01045,39403,144.79
WONDER ELECTRICALS LIMITED,INE02WG01024,13853,23.36
Electronics Mart India Limited,INE02YR01019,67143,94.69
"Hindustan Unilever Ltd.,",INE030A01027,16046,393.94
Housing &Urban Development Corporation Ltd.,INE031A01017,413884,985.20
Ajanta Pharma Ltd.,INE031B01049,1033,26.92
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,1008775,1321.05
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,19963,67.17
Arvind SmartSpaces Limited,INE034S01021,4649,32.15
SOTL,INE035D01020,962,4.54
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,29467,33.94
KARUR VYSYA,INE036D01028,44069,105.76
Concord Enviro Systems Limited,INE037Z01029,1207,6.43
Hindalco Industries Ltd.,INE038A01020,21582,168.67
T.V.Today Network Limited,INE038F01029,116,0.30
IFCI LTD,INE039A01010,557527,328.89
"Jamna Auto Industries Ltd.,",INE039C01032,74668,81.02
JASH ENGINEERING LIMITED,INE039O01029,8382,42.36
Max Estates Limited,INE03EI01018,2671,12.63
Go Digit General Insurance Limited,INE03JT01014,7909,28.50
Brigade Hotel Ventures Limited,INE03NU01014,3048,2.62
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1981,18.83
Cohance Lifesciences Limited,INE03QK01018,12996,94.55
Chemcon Speciality Chemicals Limited,INE03YM01018,129,0.33
HDFC Bank Ltd.,INE040A01034,96694,974.07
Mayur Uniquoters ltd.,INE040D01038,277,1.62
SUZLON ENERGY LTD.,INE040H01021,6860751,4111.45
"Dhampur Sugar Mills Ltd.,",INE041A01016,45296,65.34
Escorts Kubota Limited,INE042A01014,4464,166.21
Vijaya Diagnostic Centre Limited,INE043W01024,1109,11.42
Sun Pharmaceutical Industries Ltd.,INE044A01036,14885,248.81
Paras Defence and Space Technologies Limited,INE045601023,29395,214.78
ADOR WELDING,INE045A01017,708,7.80
Nelco Ltd,INE045B01015,11639,100.88
Fineotex Chemical Limited,INE045J01034,131963,42.26
Reliance Industrial Infrastructure,INE046A01015,6179,57.72
Muthoot Microfin Limited,INE046W01019,4106,7.07
GRASIM INDUS,INE047A01021,3352,95.38
JAGSONPAL PH,INE048B01035,5274,12.76
Navin Fluorent International Ltd,INE048G01026,945,51.71
"Himatsingka Seide Ltd.,",INE049A01027,75222,105.36
Wockhardt Ltd,INE049B01025,73347,1053.44
Nahar Capital & Financial Services Ltd.,INE049I01012,2,0.01
SBC EXPORTS LIMITED,INE04AK01028,416943,102.79
KPIT Technologies Ltd,INE04I401011,23374,304.37
ETHOS LIMITED,INE04TZ01018,513,14.59
Seshaasai Technologies Limited,INE04VU01023,2047,6.36
Prakash Pipes Limited,INE050001010,4021,17.88
Elin Electronics Limited,INE050401020,2489,5.27
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,3464,65.85
IL & FS Investment Managers Ltd.,INE050B01023,244,0.02
Balaji Amines Ltd.,INE050E01027,4570,69.59
Rane (Madras)  Ltd.,INE050H01012,2259,17.99
Vardhman Special Steels Ltd,INE050M01012,2062,6.15
Vakrangee Softwares Ltd.,INE051B01021,12950,1.24
Windsor Machines Limited,INE052A01021,2547,7.43
Camlin Fine Sciences Ltd,INE052I01032,6640,11.93
BEST AGROLIFE LIMITED,INE052T01013,481,1.82
Indian Hotels Co. Ltd,INE053A01029,79752,596.68
Indian Railway Finance Corporation,INE053F01010,1465733,1997.14
"V.I.P. Industries Ltd.,",INE054A01027,13651,60.20
Waterbase Limited,INE054C01015,29975,15.45
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,7455,160.06
Cyient DLM Limited,INE055S01018,28220,133.64
IVALUE INFOSOLUTIONS LIMITED,INE056801025,275,0.86
Refex Industries Limited,INE056I01025,15610,54.85
Sanofi India Ltd,INE058A01010,945,47.77
"Cipla Ltd.,",INE059A01026,16694,258.05
La Opala RG Ltd.,INE059D01020,5844,14.87
Hindware Home Innovation Limited,INE05AN01011,4563,14.79
Ratnaveer Precision Engineering Limited,INE05CZ01011,14039,22.87
Indogulf Cropsciences Limited,INE05J901018,525,0.60
Likhitha Infrastructure Limited,INE060901027,2358,6.91
Navneet Education Limited,INE060A01024,10369,14.92
FORTIS HEALTHCARE LIMITED,INE061F01013,17913,168.07
"State Bank Of India,",INE062A01020,69786,629.74
ALICON,INE062D01024,57,0.50
Pondy Oxides & Chemicals Limited,INE063E01053,3327,42.55
