SEBI REPORT For Trade date 20-Apr-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,392940.62,
2,Fresh Exposure taken during the day,18897.56,
3,Exposure liquidated during the day,15636.65,
4,Net scripwise outstanding at the end of the day,396201.53,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,18216,66.73
Reliance Industries Ltd,INE002A01018,316151,4405.29
SJVN LIMITED,INE002L01015,553045,464.38
Mahanagar Gas Limited,INE002S01010,21832,259.56
"Siemens Ltd.,",INE003A01024,4863,173.43
Protean eGov Technologies Limited,INE004A01022,47602,446.68
Avantel Limited,INE005B01027,284899,466.30
ASTRAL LIMITED,INE006I01046,13813,221.07
CRISIL Ltd.,INE007A01025,1934,90.30
Geojit Financial Services Limited,INE007B01023,21274,16.39
Fedbank Financial Services Limited,INE007N01010,53616,77.26
IDBI LTD,INE008A01015,877827,747.09
Infosys Ltd,INE009A01021,180392,2496.42
Bikaji Foods International Limited,INE00E101023,9563,73.80
Hariom Pipe Industries Limited,INE00EV01017,7868,30.39
Prudent Corporate Advisory Services Limited,INE00F201020,447,11.86
ACUTAAS CHEMICALS LIMITED,INE00FF01025,15023,336.01
SWIGGY LIMITED,INE00H001014,243367,848.64
STOVE KRAFT LIMITED,INE00IN01015,12967,77.26
Craftsman Automation Limited,INE00LO01017,481,36.05
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,337036,797.78
Interarch Building Solutions Limited,INE00M901018,2996,59.95
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,6211,32.54
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,5604,114.29
Highway Infrastructure Limited,INE00RL01028,2175,1.37
Nila Spaces Ltd,INE00S901012,3099,0.42
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,33443,40.88
Manorama Industries Limited,INE00VM01036,3756,53.49
AFFLE 3I LIMITED,INE00WC01027,9523,161.66
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,981,16.44
Flair Writing Industries Limited,INE00Y201027,1831,5.99
A B INFRABUILD LIMITED,INE00YB01025,982,0.16
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2327,11.48
Entero Healthcare Solutions Limited,INE010601016,2122,24.98
PRISM JOHNSON LIMITED.,INE010A01011,16426,24.06
Zydus Lifesciences Limited,INE010B01027,13590,134.34
Tejas Networks Limited,INE010J01012,190557,998.94
L&T Technology Services Limited,INE010V01017,6191,239.74
BALU FORGE INDUSTRIES LIMITED,INE011E01029,19043,90.45
Tega Industries Limited,INE011K01018,2766,53.86
ACC,INE012A01025,19000,313.90
Onesource Specialty Pharma Limited,INE013P01021,205141,3035.66
WIM PLAST LT,INE015B01018,1000,3.98
Tinna Rubber and Infrastructure Limited,INE015C01016,477,3.58
DABUR INDIA,INE016A01026,25408,125.04
CEINSYS TECH LIMITED,INE016Q01014,477,5.52
"Great Eastern Shipping Co. Ltd.,",INE017A01032,10774,143.38
LARSEN & TOU,INE018A01030,59668,2338.62
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,16071,125.89
JSW SL,INE019A01038,5312,64.11
Himadri Speciality Chemical Ltd.,INE019C01026,45922,225.35
STANLEY LIFESTYLES LIMITED,INE01A001028,3742,6.15
Antony Waste Handling Cell Limited,INE01BK01022,7261,38.93
Vishal Mega Mart Limited,INE01EA01019,302371,388.26
Ritco Logistics Limited,INE01EG01016,91,0.26
Baazar Style Retail Limited,INE01FR01028,8089,24.35
Sky Gold And Diamonds Limited,INE01IU01018,18903,69.56
eMudhra Limited,INE01QM01018,8183,45.39
Vikran Engineering Limited,INE01R501028,555350,513.54
Canara HSBC Life Insurance Company Limited,INE01TY01017,7290,10.66
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,410705,1539.52
Asian Paints Ltd.,INE021A01026,11749,297.34
Dodla Dairy Limited,INE021O01019,730,8.40
ASIAN GRANITO INDIA LIMITED,INE022I01019,4264,3.11
Indian Energy Exchange Limited,INE022Q01020,264953,371.83
Nalwa Sons Investment Ltd,INE023A01030,16,1.00
