SEBI REPORT For Trade date 28-Jan-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,375846.99,
2,Fresh Exposure taken during the day,11092.85,
3,Exposure liquidated during the day,10946.08,
4,Net scripwise outstanding at the end of the day,375993.76,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,17973,70.38
Reliance Industries Ltd,INE002A01018,216145,3177.17
SJVN LIMITED,INE002L01015,556542,503.69
Mahanagar Gas Limited,INE002S01010,28272,349.63
"Siemens Ltd.,",INE003A01024,12135,399.88
Protean eGov Technologies Limited,INE004A01022,65840,684.70
Avantel Limited,INE005B01027,315756,541.89
ASTRAL LIMITED,INE006I01046,7516,114.84
CRISIL Ltd.,INE007A01025,1720,84.94
Geojit Financial Services Limited,INE007B01023,46894,48.88
Fedbank Financial Services Limited,INE007N01010,58571,92.77
IDBI LTD,INE008A01015,910392,890.02
Infosys Ltd,INE009A01021,41910,665.17
Bikaji Foods International Limited,INE00E101023,12350,95.18
Hariom Pipe Industries Limited,INE00EV01017,9608,42.75
Prudent Corporate Advisory Services Limited,INE00F201020,302,8.11
ACUTAAS CHEMICALS LIMITED,INE00FF01025,3630,58.48
SWIGGY LIMITED,INE00H001014,237681,940.32
STOVE KRAFT LIMITED,INE00IN01015,6929,44.50
Craftsman Automation Limited,INE00LO01017,468,33.69
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,300695,763.00
Interarch Building Solutions Limited,INE00M901018,1326,29.23
Studds Accessories Limited,INE00Q601028,8575,45.26
DALMIA BHARAT LIMITED,INE00R701025,7737,165.61
Highway Infrastructure Limited,INE00RL01028,7374,4.48
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,40381,54.04
Manorama Industries Limited,INE00VM01036,5523,79.73
AFFLE 3I LIMITED,INE00WC01027,8687,163.31
Flair Writing Industries Limited,INE00Y201027,1671,5.39
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2296,12.30
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,3445,40.28
PRISM JOHNSON LIMITED.,INE010A01011,17571,26.32
Zydus Lifesciences Limited,INE010B01027,18564,183.11
Tejas Networks Limited,INE010J01012,142618,822.12
L&T Technology Services Limited,INE010V01017,4684,203.59
BALU FORGE INDUSTRIES LIMITED,INE011E01029,14707,73.89
Tega Industries Limited,INE011K01018,3739,73.91
ACC,INE012A01025,13875,262.35
R&B Denims Limited,INE012Q01021,340,0.50
Onesource Specialty Pharma Limited,INE013P01021,4007,61.23
WIM PLAST LT,INE015B01018,5942,30.06
Tinna Rubber and Infrastructure Limited,INE015C01016,357,3.09
DABUR INDIA,INE016A01026,23374,124.83
CEINSYS TECH LIMITED,INE016Q01014,700,7.70
"Great Eastern Shipping Co. Ltd.,",INE017A01032,14016,158.76
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,25044,950.33
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,15500,131.60
JSW SL,INE019A01038,10248,118.94
Himadri Speciality Chemical Ltd.,INE019C01026,63364,312.95
STANLEY LIFESTYLES LIMITED,INE01A001028,1774,4.68
Antony Waste Handling Cell Limited,INE01BK01022,3808,21.81
Vishal Mega Mart Limited,INE01EA01019,326433,451.64
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,8498,27.14
Sky Gold And Diamonds Limited,INE01IU01018,16475,57.62
eMudhra Limited,INE01QM01018,7342,48.48
Vikran Engineering Limited,INE01R501028,506092,507.19
Canara HSBC Life Insurance Company Limited,INE01TY01017,10320,15.28
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,517992,2006.47
Asian Paints Ltd.,INE021A01026,11565,320.19
Dodla Dairy Limited,INE021O01019,490,6.19
ASIAN GRANITO INDIA LIMITED,INE022I01019,12167,8.69
Indian Energy Exchange Limited,INE022Q01020,220219,333.31
Nalwa Sons Investment Ltd,INE023A01030,51,3.28
Aeroflex Industries Limited,INE024001021,44319,87.19
SHILCHAR TEC,INE024F01011,2169,80.65
GRAVITA INDIA LIMITED,INE024L01027,15495,274.91
Goldiam International Ltd.,INE025B01025,55552,224.18
Artemis Medicare Services Limited,INE025R01021,2117,6.44
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,129817,254.44
RASHTRIYA CH,INE027A01015,233558,380.72
Max Healthcare Institute Limited,INE027H01010,34818,391.57
Bank Of Baroda,INE028A01039,107101,311.94
BHARAT PETRO,INE029A01011,121673,437.61
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,1967,12.65
Anand Rayons Limited,INE02GA01012,140,0.49
Raymond Lifestyle Limited,INE02ID01020,11426,131.12
Azad Engineering Limited,INE02IJ01035,21785,374.68
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,21014,54.67
Borosil Limited,INE02PY01013,5954,20.72
Brainbees Solutions Limited,INE02RE01045,37794,132.22
WONDER ELECTRICALS LIMITED,INE02WG01024,12843,21.77
Electronics Mart India Limited,INE02YR01019,54094,76.36
"Hindustan Unilever Ltd.,",INE030A01027,12459,309.59
Housing &Urban Development Corporation Ltd.,INE031A01017,500775,1157.86
Ajanta Pharma Ltd.,INE031B01049,1847,52.38
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,116244,186.53
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,15310,48.56
Arvind SmartSpaces Limited,INE034S01021,4076,28.36
SOTL,INE035D01020,1195,5.45
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,9909,13.28
KARUR VYSYA,INE036D01028,22660,58.26
Concord Enviro Systems Limited,INE037Z01029,540,2.84
Hindalco Industries Ltd.,INE038A01020,37742,332.71
T.V.Today Network Limited,INE038F01029,240,0.47
IFCI LTD,INE039A01010,609212,369.35
"Jamna Auto Industries Ltd.,",INE039C01032,74225,84.70
JASH ENGINEERING LIMITED,INE039O01029,8323,41.95
Jubilant Agri and Consumer Products Limited,INE03CC01015,60,1.17
Max Estates Limited,INE03EI01018,3590,16.75
VL E-Governance & IT Solutions Limited,INE03HW01020,5000,1.00
Go Digit General Insurance Limited,INE03JT01014,4381,15.56
Brigade Hotel Ventures Limited,INE03NU01014,2106,1.81
