SEBI REPORT For Trade date 25-Nov-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,350547.67,
2,Fresh Exposure taken during the day,6229.61,
3,Exposure liquidated during the day,6996.36,
4,Net scripwise outstanding at the end of the day,349780.93,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,17500,69.51
Reliance Industries Ltd,INE002A01018,85193,1220.13
SJVN LIMITED,INE002L01015,596704,578.64
Mahanagar Gas Limited,INE002S01010,21992,291.52
"Siemens Ltd.,",INE003A01024,13116,438.28
Protean eGov Technologies Limited,INE004A01022,71755,806.63
Avantel Limited,INE005B01027,317841,558.29
ASTRAL LIMITED,INE006I01046,8780,134.23
CRISIL Ltd.,INE007A01025,2343,116.30
Geojit Financial Services Limited,INE007B01023,42053,46.23
Fedbank Financial Services Limited,INE007N01010,44620,64.12
IDBI LTD,INE008A01015,871373,833.66
Infosys Ltd,INE009A01021,88974,1373.34
Bikaji Foods International Limited,INE00E101023,13625,105.73
Hariom Pipe Industries Limited,INE00EV01017,12552,57.70
Prudent Corporate Advisory Services Limited,INE00F201020,1552,40.59
ACUTAAS CHEMICALS LIMITED,INE00FF01025,2879,43.82
SWIGGY LIMITED,INE00H001014,228671,974.83
STOVE KRAFT LIMITED,INE00IN01015,7421,48.30
Craftsman Automation Limited,INE00LO01017,357,23.86
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,244173,684.23
Interarch Building Solutions Limited,INE00M901018,330,8.37
DALMIA BHARAT LIMITED,INE00R701025,7750,168.28
Highway Infrastructure Limited,INE00RL01028,1134,0.89
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,36309,51.17
Manorama Industries Limited,INE00VM01036,7611,109.58
AFFLE 3I LIMITED,INE00WC01027,11234,213.47
Flair Writing Industries Limited,INE00Y201027,3291,10.78
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,396,2.66
Entero Healthcare Solutions Limited,INE010601016,943,10.88
PRISM JOHNSON LIMITED.,INE010A01011,12702,20.02
Zydus Lifesciences Limited,INE010B01027,25609,256.48
Tejas Networks Limited,INE010J01012,128387,876.05
L&T Technology Services Limited,INE010V01017,3958,175.17
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3106,19.76
Tega Industries Limited,INE011K01018,6136,124.53
ACC,INE012A01025,99719,1813.13
Onesource Specialty Pharma Limited,INE013P01021,1074,21.35
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,286,2.59
MANAKSIA LIMITED,INE015D01022,0,0.00
DABUR INDIA,INE016A01026,46827,250.03
"Great Eastern Shipping Co. Ltd.,",INE017A01032,46346,494.03
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,19326,712.85
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,11672,104.76
JSW SL,INE019A01038,19447,227.17
Himadri Speciality Chemical Ltd.,INE019C01026,85043,415.92
STANLEY LIFESTYLES LIMITED,INE01A001028,1068,3.24
Antony Waste Handling Cell Limited,INE01BK01022,4718,27.47
Vishal Mega Mart Limited,INE01EA01019,314682,450.16
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,8792,27.71
Sky Gold And Diamonds Limited,INE01IU01018,16991,59.58
eMudhra Limited,INE01QM01018,10738,73.32
Vikran Engineering Limited,INE01R501028,94132,101.81
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,613858,2396.55
Asian Paints Ltd.,INE021A01026,10882,302.87
