SEBI REPORT For Trade date 05-Mar-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,384162.57,
2,Fresh Exposure taken during the day,9060.87,
3,Exposure liquidated during the day,9102.76,
4,Net scripwise outstanding at the end of the day,384120.67,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,15562,59.34
Reliance Industries Ltd,INE002A01018,212298,3085.54
SJVN LIMITED,INE002L01015,711038,614.13
Mahanagar Gas Limited,INE002S01010,20375,253.47
"Siemens Ltd.,",INE003A01024,7357,251.62
Protean eGov Technologies Limited,INE004A01022,49212,512.37
Avantel Limited,INE005B01027,300645,515.33
ASTRAL LIMITED,INE006I01046,8964,145.00
CRISIL Ltd.,INE007A01025,1845,89.67
Geojit Financial Services Limited,INE007B01023,47413,48.78
Fedbank Financial Services Limited,INE007N01010,62202,88.57
IDBI LTD,INE008A01015,779641,780.52
Infosys Ltd,INE009A01021,194885,2793.92
Bikaji Foods International Limited,INE00E101023,10778,83.61
Hariom Pipe Industries Limited,INE00EV01017,9351,41.80
Prudent Corporate Advisory Services Limited,INE00F201020,351,9.15
ACUTAAS CHEMICALS LIMITED,INE00FF01025,5254,98.35
SWIGGY LIMITED,INE00H001014,223225,868.77
STOVE KRAFT LIMITED,INE00IN01015,8107,50.44
Craftsman Automation Limited,INE00LO01017,713,55.56
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,294341,727.50
Interarch Building Solutions Limited,INE00M901018,2448,51.03
Studds Accessories Limited,INE00Q601028,6034,32.49
DALMIA BHARAT LIMITED,INE00R701025,4201,90.25
Highway Infrastructure Limited,INE00RL01028,9557,5.65
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,36524,47.13
Manorama Industries Limited,INE00VM01036,4659,67.83
AFFLE 3I LIMITED,INE00WC01027,7313,132.23
Flair Writing Industries Limited,INE00Y201027,2373,7.66
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2287,12.28
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,2523,29.45
PRISM JOHNSON LIMITED.,INE010A01011,21384,30.88
Zydus Lifesciences Limited,INE010B01027,17606,173.38
Tejas Networks Limited,INE010J01012,183044,1010.64
L&T Technology Services Limited,INE010V01017,6103,243.73
BALU FORGE INDUSTRIES LIMITED,INE011E01029,27212,134.02
Tega Industries Limited,INE011K01018,3349,66.09
ACC,INE012A01025,14555,265.79
R&B Denims Limited,INE012Q01021,5833,10.68
Onesource Specialty Pharma Limited,INE013P01021,8967,133.19
WIM PLAST LT,INE015B01018,930,4.31
Tinna Rubber and Infrastructure Limited,INE015C01016,327,2.78
DABUR INDIA,INE016A01026,17155,91.57
CEINSYS TECH LIMITED,INE016Q01014,150,1.89
"Great Eastern Shipping Co. Ltd.,",INE017A01032,6220,76.97
LARSEN & TOU,INE018A01030,27491,1077.91
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,13426,112.79
JSW SL,INE019A01038,5513,63.75
Himadri Speciality Chemical Ltd.,INE019C01026,58069,288.42
STANLEY LIFESTYLES LIMITED,INE01A001028,3727,8.38
Antony Waste Handling Cell Limited,INE01BK01022,4664,25.57
Vishal Mega Mart Limited,INE01EA01019,323885,430.06
Ritco Logistics Limited,INE01EG01016,83,0.24
Baazar Style Retail Limited,INE01FR01028,108365,377.75
Sky Gold And Diamonds Limited,INE01IU01018,15901,56.14
eMudhra Limited,INE01QM01018,11666,66.54
Vikran Engineering Limited,INE01R501028,593523,564.70
Canara HSBC Life Insurance Company Limited,INE01TY01017,15698,23.03
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,567721,2158.66
