SEBI REPORT For Trade date 09-Apr-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,381138.36,
2,Fresh Exposure taken during the day,13733.46,
3,Exposure liquidated during the day,12251.68,
4,Net scripwise outstanding at the end of the day,382620.14,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,17458,63.99
Reliance Industries Ltd,INE002A01018,315642,4399.13
SJVN LIMITED,INE002L01015,605333,499.99
Mahanagar Gas Limited,INE002S01010,23401,273.78
"Siemens Ltd.,",INE003A01024,5023,169.55
Protean eGov Technologies Limited,INE004A01022,47852,452.61
Avantel Limited,INE005B01027,317181,514.63
ASTRAL LIMITED,INE006I01046,6710,106.89
CRISIL Ltd.,INE007A01025,1907,88.70
Geojit Financial Services Limited,INE007B01023,27440,19.91
Fedbank Financial Services Limited,INE007N01010,60857,86.98
IDBI LTD,INE008A01015,870406,743.89
Infosys Ltd,INE009A01021,152351,2136.13
Bikaji Foods International Limited,INE00E101023,9511,73.43
Hariom Pipe Industries Limited,INE00EV01017,6231,25.33
Prudent Corporate Advisory Services Limited,INE00F201020,331,8.59
ACUTAAS CHEMICALS LIMITED,INE00FF01025,15250,339.64
SWIGGY LIMITED,INE00H001014,218823,790.18
STOVE KRAFT LIMITED,INE00IN01015,13874,81.69
Craftsman Automation Limited,INE00LO01017,755,55.13
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,284188,681.54
Interarch Building Solutions Limited,INE00M901018,2805,56.19
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,6644,34.51
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,5378,109.37
Highway Infrastructure Limited,INE00RL01028,1375,0.96
Nila Spaces Ltd,INE00S901012,3011,0.41
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,34045,43.01
Manorama Industries Limited,INE00VM01036,3932,55.11
AFFLE 3I LIMITED,INE00WC01027,8992,153.68
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,112,1.84
Flair Writing Industries Limited,INE00Y201027,1730,5.60
A B INFRABUILD LIMITED,INE00YB01025,999,0.16
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,1862,9.87
Entero Healthcare Solutions Limited,INE010601016,2530,29.71
PRISM JOHNSON LIMITED.,INE010A01011,14678,21.84
Zydus Lifesciences Limited,INE010B01027,14914,146.27
Tejas Networks Limited,INE010J01012,183467,978.76
L&T Technology Services Limited,INE010V01017,6318,243.82
BALU FORGE INDUSTRIES LIMITED,INE011E01029,17510,83.40
Tega Industries Limited,INE011K01018,2774,53.94
ACC,INE012A01025,16578,279.89
R&B Denims Limited,INE012Q01039,3009,1.85
Onesource Specialty Pharma Limited,INE013P01021,206016,3047.96
Tinna Rubber and Infrastructure Limited,INE015C01016,337,2.63
DABUR INDIA,INE016A01026,21273,106.94
CEINSYS TECH LIMITED,INE016Q01014,323,3.68
"Great Eastern Shipping Co. Ltd.,",INE017A01032,8885,117.46
LARSEN & TOU,INE018A01030,51919,1973.36
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,14602,115.39
JSW SL,INE019A01038,4140,48.61
Himadri Speciality Chemical Ltd.,INE019C01026,53212,257.70
STANLEY LIFESTYLES LIMITED,INE01A001028,3412,5.70
Antony Waste Handling Cell Limited,INE01BK01022,8369,43.16
Vishal Mega Mart Limited,INE01EA01019,286291,367.80
Ritco Logistics Limited,INE01EG01016,81,0.24
Baazar Style Retail Limited,INE01FR01028,100213,347.52
Sky Gold And Diamonds Limited,INE01IU01018,15356,54.21
eMudhra Limited,INE01QM01018,8583,48.96
Vikran Engineering Limited,INE01R501028,560143,516.09
Canara HSBC Life Insurance Company Limited,INE01TY01017,5114,7.38
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,482375,1782.43
Asian Paints Ltd.,INE021A01026,14842,366.98
Dodla Dairy Limited,INE021O01019,369,4.52
ASIAN GRANITO INDIA LIMITED,INE022I01019,15037,10.91
Indian Energy Exchange Limited,INE022Q01020,207925,300.33
Nalwa Sons Investment Ltd,INE023A01030,18,1.12
Aeroflex Industries Limited,INE024001021,21381,48.99
Shilchar Technologies Ltd.,INE024F01011,2584,98.60
GRAVITA INDIA LIMITED,INE024L01027,14843,243.32
Goldiam International Ltd.,INE025B01025,23168,85.41
Artemis Medicare Services Limited,INE025R01021,8294,20.32
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,430428,711.04
"Lotus Chocolate Co. Ltd.,",INE026D01011,10,0.08
RASHTRIYA CH,INE027A01015,196250,292.18
Max Healthcare Institute Limited,INE027H01010,18276,201.08
Bank Of Baroda,INE028A01039,162204,454.21
BHARAT PETRO,INE029A01011,105983,334.39
Kalyani Investment Company Limited,INE029L01018,8,0.38
ROSSARI BIOTECH LIMITED,INE02A801020,1105,6.15
Anand Rayons Limited,INE02GA01012,2000,1.35
Raymond Lifestyle Limited,INE02ID01020,10264,105.09
Azad Engineering Limited,INE02IJ01035,19040,331.78
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,18466,41.04
Borosil Limited,INE02PY01013,3243,10.68
Brainbees Solutions Limited,INE02RE01045,56872,166.63
WONDER ELECTRICALS LIMITED,INE02WG01024,12779,11.85
Electronics Mart India Limited,INE02YR01019,55595,74.63
Corona Remedies Limited,INE02ZQ01018,192,3.03
"Hindustan Unilever Ltd.,",INE030A01027,19502,448.80
Housing &Urban Development Corporation Ltd.,INE031A01017,587864,1228.59
Ajanta Pharma Ltd.,INE031B01049,1256,36.13
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,221616,288.52
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,22183,81.31
Arvind SmartSpaces Limited,INE034S01021,5085,33.78
SOTL,INE035D01020,1688,7.01
Gujarat Ambuja Exports Ltd.,INE036B01030,22142,31.80
KARUR VYSYA,INE036D01028,29648,82.18
Concord Enviro Systems Limited,INE037Z01029,274,1.42
Hindalco Industries Ltd.,INE038A01020,36578,329.54
T.V.Today Network Limited,INE038F01029,637,0.90
IFCI LTD,INE039A01010,739000,439.45
"Jamna Auto Industries Ltd.,",INE039C01032,80075,101.51
JASH ENGINEERING LIMITED,INE039O01029,6511,32.83
Jubilant Agri and Consumer Products Limited,INE03CC01015,106,2.04
Max Estates Limited,INE03EI01018,2142,9.88
VL E-Governance & IT Solutions Limited,INE03HW01020,5000,1.00
Go Digit General Insurance Limited,INE03JT01014,3753,13.10
Brigade Hotel Ventures Limited,INE03NU01014,1307,1.12
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1384,13.14
Cohance Lifesciences Limited,INE03QK01018,13110,60.85
Chemcon Speciality Chemicals Limited,INE03YM01018,118,0.30
HDFC Bank Ltd.,INE040A01034,389488,3320.79
Mayur Uniquoters ltd.,INE040D01038,1503,8.73
SUZLON ENERGY LTD.,INE040H01021,6190973,3264.71
"Dhampur Sugar Mills Ltd.,",INE041A01016,43442,61.67
Escorts Kubota Limited,INE042A01014,4500,157.45
GTL Ltd,INE043A01012,5000,0.31
Vijaya Diagnostic Centre Limited,INE043W01024,2820,27.10
Sun Pharmaceutical Industries Ltd.,INE044A01036,16920,284.63
Paras Defence and Space Technologies Limited,INE045601023,35263,242.79
ADOR WELDING,INE045A01017,138,1.63
Nelco Ltd,INE045B01015,6978,57.36
Fineotex Chemical Limited,INE045J01034,89390,25.57
Reliance Industrial Infrastructure,INE046A01015,5292,46.11
Muthoot Microfin Limited,INE046W01019,4702,7.85
GRASIM INDUS,INE047A01021,2839,80.10
JAGSONPAL PH,INE048B01035,2918,6.62
Navin Fluorent International Ltd,INE048G01026,3871,247.22
"Himatsingka Seide Ltd.,",INE049A01027,56207,63.64
Wockhardt Ltd,INE049B01025,60450,863.23
SBC EXPORTS LIMITED,INE04AK01028,1122719,325.54
KPIT Technologies Ltd,INE04I401011,54483,498.98
ETHOS LIMITED,INE04TZ01018,552,15.07
Seshaasai Technologies Limited,INE04VU01023,1370,3.93
Prakash Pipes Limited,INE050001010,4114,16.33
Elin Electronics Limited,INE050401020,804,1.56
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,3330,58.54
IL & FS Investment Managers Ltd.,INE050B01023,244,0.02
Balaji Amines Ltd.,INE050E01027,5966,78.60
Rane (Madras)  Ltd.,INE050H01012,2029,16.05
Vardhman Special Steels Ltd,INE050M01012,1077,3.12
Vakrangee Softwares Ltd.,INE051B01021,14950,1.37
Windsor Machines Limited,INE052A01021,1350,4.18
Camlin Fine Sciences Ltd,INE052I01032,18793,23.47
BEST AGROLIFE LIMITED,INE052T01021,2956,0.79
Indian Hotels Co. Ltd,INE053A01029,72970,510.11
Indian Railway Finance Corporation,INE053F01010,1623094,1941.64
