SEBI REPORT For Trade date 17-Oct-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,320023.83,
2,Fresh Exposure taken during the day,10979.80,
3,Exposure liquidated during the day,8989.20,
4,Net scripwise outstanding at the end of the day,322014.42,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,23338,91.77
Reliance Industries Ltd,INE002A01018,214775,3023.39
SJVN LIMITED,INE002L01015,539929,544.04
Mahanagar Gas Limited,INE002S01010,14867,205.14
"Siemens Ltd.,",INE003A01024,15359,513.28
Protean eGov Technologies Limited,INE004A01022,68110,786.79
Avantel Limited,INE005B01027,358323,647.25
ASTRAL LIMITED,INE006I01046,15480,234.65
CRISIL Ltd.,INE007A01025,1947,98.05
Geojit Financial Services Limited,INE007B01023,45611,49.70
Fedbank Financial Services Limited,INE007N01010,23803,33.96
IDBI LTD,INE008A01015,1018960,932.44
Infosys Ltd,INE009A01021,143376,2166.01
Bikaji Foods International Limited,INE00E101023,13019,102.08
Hariom Pipe Industries Limited,INE00EV01017,9828,48.16
Prudent Corporate Advisory Services Limited,INE00F201020,531,14.44
ACUTAAS CHEMICALS LIMITED,INE00FF01025,3867,56.14
SWIGGY LIMITED,INE00H001014,126049,555.19
STOVE KRAFT LIMITED,INE00IN01015,9451,59.65
Craftsman Automation Limited,INE00LO01017,432,27.43
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,249279,721.13
Interarch Building Solutions Limited,INE00M901018,1290,25.81
DALMIA BHARAT LIMITED,INE00R701025,2180,50.03
Highway Infrastructure Limited,INE00RL01028,521,0.42
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,38203,54.62
Manorama Industries Limited,INE00VM01036,3627,53.39
AFFLE 3I LIMITED,INE00WC01027,6948,136.50
Flair Writing Industries Limited,INE00Y201027,2806,9.15
Entero Healthcare Solutions Limited,INE010601016,1074,12.36
PRISM JOHNSON LIMITED.,INE010A01011,10082,16.60
Zydus Lifesciences Limited,INE010B01027,15686,162.29
Tejas Networks Limited,INE010J01012,136953,977.81
L&T Technology Services Limited,INE010V01017,4490,196.30
BALU FORGE INDUSTRIES LIMITED,INE011E01029,2777,17.81
Tega Industries Limited,INE011K01018,6672,134.52
ACC,INE012A01025,106408,1935.42
Onesource Specialty Pharma Limited,INE013P01021,884,18.14
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,583,5.59
MANAKSIA LIMITED,INE015D01022,29,0.02
DABUR INDIA,INE016A01026,49965,266.78
"Great Eastern Shipping Co. Ltd.,",INE017A01032,27489,287.08
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,19608,700.69
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,3066,27.05
JSW SL,INE019A01038,6890,76.65
Himadri Speciality Chemical Ltd.,INE019C01026,85403,418.33
STANLEY LIFESTYLES LIMITED,INE01A001028,1068,3.24
Antony Waste Handling Cell Limited,INE01BK01022,5410,32.57
Vishal Mega Mart Limited,INE01EA01019,237675,347.93
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,6001,18.46
