SEBI REPORT For Trade date 04-May-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,417225.57,
2,Fresh Exposure taken during the day,14464.69,
3,Exposure liquidated during the day,13326.73,
4,Net scripwise outstanding at the end of the day,418363.53,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,15931,58.80
Reliance Industries Ltd,INE002A01018,227212,3207.32
SJVN LIMITED,INE002L01015,604248,509.30
Mahanagar Gas Limited,INE002S01010,23701,280.74
"Siemens Ltd.,",INE003A01024,3894,141.35
Protean eGov Technologies Limited,INE004A01022,51672,453.86
Avantel Limited,INE005B01027,298960,487.88
ASTRAL LIMITED,INE006I01046,16090,256.33
CRISIL Ltd.,INE007A01025,1924,90.26
Geojit Financial Services Limited,INE007B01023,23072,17.58
Fedbank Financial Services Limited,INE007N01010,56742,83.06
IDBI LTD,INE008A01015,1274467,1052.31
Infosys Ltd,INE009A01021,400055,5097.44
Bikaji Foods International Limited,INE00E101023,8851,68.38
Hariom Pipe Industries Limited,INE00EV01017,7815,30.07
Prudent Corporate Advisory Services Limited,INE00F201020,357,9.80
ACUTAAS CHEMICALS LIMITED,INE00FF01025,12366,284.97
SWIGGY LIMITED,INE00H001014,256628,885.16
STOVE KRAFT LIMITED,INE00IN01015,12235,73.23
Craftsman Automation Limited,INE00LO01017,786,59.63
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,352773,829.93
Interarch Building Solutions Limited,INE00M901018,4744,97.31
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,6246,32.72
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,4526,93.07
Highway Infrastructure Limited,INE00RL01028,107,0.08
Nila Spaces Ltd,INE00S901012,92,0.01
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39065,46.54
Manorama Industries Limited,INE00VM01036,3257,47.55
AFFLE 3I LIMITED,INE00WC01027,9853,166.30
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,409,7.41
Flair Writing Industries Limited,INE00Y201027,1527,4.96
A B INFRABUILD LIMITED,INE00YB01025,3916,0.61
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2815,13.37
Entero Healthcare Solutions Limited,INE010601016,645,7.58
PRISM JOHNSON LIMITED.,INE010A01011,25700,36.81
Zydus Lifesciences Limited,INE010B01027,15979,156.43
Tejas Networks Limited,INE010J01012,184367,965.39
L&T Technology Services Limited,INE010V01017,5318,207.61
BALU FORGE INDUSTRIES LIMITED,INE011E01029,12258,60.46
Tega Industries Limited,INE011K01018,2923,56.55
ACC,INE012A01025,19215,316.51
Onesource Specialty Pharma Limited,INE013P01021,7215,103.60
WIM PLAST LT,INE015B01018,0,0.00
Tinna Rubber and Infrastructure Limited,INE015C01016,567,4.33
DABUR INDIA,INE016A01026,34810,167.41
CEINSYS TECH LIMITED,INE016Q01014,953,10.81
"Great Eastern Shipping Co. Ltd.,",INE017A01032,17420,255.63
LARSEN & TOU,INE018A01030,63838,2445.95
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,24858,183.11
JSW SL,INE019A01038,14332,180.04
Himadri Speciality Chemical Ltd.,INE019C01026,66056,357.36
STANLEY LIFESTYLES LIMITED,INE01A001028,3687,6.28
Antony Waste Handling Cell Limited,INE01BK01022,8423,44.90
Vishal Mega Mart Limited,INE01EA01019,271545,355.79
Ritco Logistics Limited,INE01EG01016,91,0.26
Baazar Style Retail Limited,INE01FR01028,6055,23.02
Sky Gold And Diamonds Limited,INE01IU01018,16686,61.47
eMudhra Limited,INE01QM01018,5942,33.02
Vikran Engineering Limited,INE01R501028,536632,494.53
Canara HSBC Life Insurance Company Limited,INE01TY01017,24400,35.68
Spencer's Retail Limited,INE020801028,2,0.00
REC LIMITED,INE020B01018,390529,1472.20
Asian Paints Ltd.,INE021A01026,11691,299.59
Dodla Dairy Limited,INE021O01019,1782,20.05
ASIAN GRANITO INDIA LIMITED,INE022I01019,84109,62.86
Indian Energy Exchange Limited,INE022Q01020,342122,467.45
Nalwa Sons Investment Ltd,INE023A01030,16,1.00
Aeroflex Industries Limited,INE024001021,52556,148.05
Shilchar Technologies Ltd.,INE024F01011,3079,129.13
GRAVITA INDIA LIMITED,INE024L01027,11701,198.64
Goldiam International Ltd.,INE025B01025,26299,101.25
Artemis Medicare Services Limited,INE025R01021,9774,23.73
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,397605,655.33
"Lotus Chocolate Co. Ltd.,",INE026D01011,20,0.15
RASHTRIYA CH,INE027A01015,195680,292.69
Max Healthcare Institute Limited,INE027H01010,23023,250.73
Bank Of Baroda,INE028A01039,241793,673.62
BHARAT PETRO,INE029A01011,132914,420.00
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,5917,29.58
Anand Rayons Limited,INE02GA01012,2000,1.35
Raymond Lifestyle Limited,INE02ID01020,12092,119.89
Azad Engineering Limited,INE02IJ01035,7360,139.63
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,21102,44.29
Borosil Limited,INE02PY01013,6099,17.89
Brainbees Solutions Limited,INE02RE01045,59034,170.84
WONDER ELECTRICALS LIMITED,INE02WG01024,2822,3.78
Electronics Mart India Limited,INE02YR01019,58778,81.38
Corona Remedies Limited,INE02ZQ01018,220,3.65
"Hindustan Unilever Ltd.,",INE030A01027,23479,547.50
Housing &Urban Development Corporation Ltd.,INE031A01017,380119,834.57
Ajanta Pharma Ltd.,INE031B01049,1518,43.67
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,233807,301.52
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,16153,58.32
Arvind SmartSpaces Limited,INE034S01021,3770,26.00
SOTL,INE035D01020,1703,7.06
Gujarat Ambuja Exports Ltd.,INE036B01030,19788,29.61
KARUR VYSYA,INE036D01028,40876,117.12
Concord Enviro Systems Limited,INE037Z01029,961,3.60
Hindalco Industries Ltd.,INE038A01020,31156,292.58
T.V.Today Network Limited,INE038F01029,825,1.12
IFCI LTD,INE039A01010,930834,563.05
"Jamna Auto Industries Ltd.,",INE039C01032,76522,95.56
JASH ENGINEERING LIMITED,INE039O01029,6752,33.70
Jubilant Agri and Consumer Products Limited,INE03CC01015,106,2.04
Max Estates Limited,INE03EI01018,2752,12.31
Go Digit General Insurance Limited,INE03JT01014,4180,14.32
Brigade Hotel Ventures Limited,INE03NU01014,1507,1.26
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,2032,20.04
Cohance Lifesciences Limited,INE03QK01018,42893,202.39
Chemcon Speciality Chemicals Limited,INE03YM01018,118,0.30
HDFC Bank Ltd.,INE040A01034,585866,4820.92
Mayur Uniquoters ltd.,INE040D01038,1547,8.87
SUZLON ENERGY LTD.,INE040H01021,6196519,3390.95
"Dhampur Sugar Mills Ltd.,",INE041A01016,49976,71.46
Escorts Kubota Limited,INE042A01014,4281,150.45
GTL Ltd,INE043A01012,5000,0.31
Vijaya Diagnostic Centre Limited,INE043W01024,758,8.16
Sun Pharmaceutical Industries Ltd.,INE044A01036,21242,355.55
Paras Defence and Space Technologies Limited,INE045601023,37468,285.25
ADOR WELDING,INE045A01017,303,3.46
Nelco Ltd,INE045B01015,9586,76.57
Fineotex Chemical Limited,INE045J01034,84458,23.99
Reliance Industrial Infrastructure,INE046A01015,5266,46.17
Muthoot Microfin Limited,INE046W01019,4984,8.60
GRASIM INDUS,INE047A01021,3724,105.50
JAGSONPAL PH,INE048B01035,2818,6.46
Navin Fluorent International Ltd,INE048G01026,6676,450.94
"Himatsingka Seide Ltd.,",INE049A01027,60619,66.12
Wockhardt Ltd,INE049B01025,95458,1370.81
SBC EXPORTS LIMITED,INE04AK01028,847059,238.29
KPIT Technologies Ltd,INE04I401011,58574,528.44
ETHOS LIMITED,INE04TZ01018,1714,45.30
Seshaasai Technologies Limited,INE04VU01023,2721,7.17
Prakash Pipes Limited,INE050001010,3432,14.98
Elin Electronics Limited,INE050401020,3481,4.24
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,4360,74.47
IL & FS Investment Managers Ltd.,INE050B01023,200,0.02
Balaji Amines Ltd.,INE050E01027,5996,81.33
Rane (Madras)  Ltd.,INE050H01012,2034,16.10
Vardhman Special Steels Ltd,INE050M01012,1186,3.55
Vakrangee Softwares Ltd.,INE051B01021,44150,3.39
Windsor Machines Limited,INE052A01021,1450,4.52
Camlin Fine Sciences Ltd,INE052I01032,40691,53.46
BEST AGROLIFE LIMITED,INE052T01021,2956,0.79
Indian Hotels Co. Ltd,INE053A01029,85357,589.15
Indian Railway Finance Corporation,INE053F01010,1816930,2142.92
"V.I.P. Industries Ltd.,",INE054A01027,104005,327.31
Waterbase Limited,INE054C01015,7090,3.79
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,9148,163.50
Cyient DLM Limited,INE055S01018,16423,67.76
IVALUE INFOSOLUTIONS LIMITED,INE056801025,805,2.19
Refex Industries Limited,INE056I01025,19746,54.42
Sanofi India Ltd,INE058A01010,1738,66.23
"Cipla Ltd.,",INE059A01026,21808,308.04
Simplex Infrastructures Limited,INE059B01024,55,0.13
La Opala RG Ltd.,INE059D01020,2897,6.99
Hindware Home Innovation Limited,INE05AN01011,8363,18.85
Ratnaveer Precision Engineering Limited,INE05CZ01011,349959,569.97
Central Mine Planning & Design Institute Limited,INE05HV01027,250,0.48
Indogulf Cropsciences Limited,INE05J901018,271,0.21
BHARAT COKING COAL LIMITED,INE05XR01022,470627,163.39
Navneet Education Limited,INE060A01024,6498,9.56
FORTIS HEALTHCARE LIMITED,INE061F01013,22380,211.40
