SEBI REPORT For Trade date 28-Oct-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,319922.10,
2,Fresh Exposure taken during the day,10157.91,
3,Exposure liquidated during the day,8144.88,
4,Net scripwise outstanding at the end of the day,321935.13,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,23315,91.26
Reliance Industries Ltd,INE002A01018,128026,1807.79
SJVN LIMITED,INE002L01015,560644,561.78
Mahanagar Gas Limited,INE002S01010,17341,236.60
"Siemens Ltd.,",INE003A01024,15710,523.64
Protean eGov Technologies Limited,INE004A01022,65612,763.68
Avantel Limited,INE005B01027,377153,681.85
ASTRAL LIMITED,INE006I01046,14787,224.36
CRISIL Ltd.,INE007A01025,1778,90.65
Geojit Financial Services Limited,INE007B01023,44179,48.07
Fedbank Financial Services Limited,INE007N01010,48165,69.76
IDBI LTD,INE008A01015,774053,712.77
Infosys Ltd,INE009A01021,126427,1937.04
Bikaji Foods International Limited,INE00E101023,12197,95.68
Hariom Pipe Industries Limited,INE00EV01017,10830,52.73
Prudent Corporate Advisory Services Limited,INE00F201020,382,10.50
ACUTAAS CHEMICALS LIMITED,INE00FF01025,3965,58.92
SWIGGY LIMITED,INE00H001014,174193,759.66
STOVE KRAFT LIMITED,INE00IN01015,9317,58.54
Craftsman Automation Limited,INE00LO01017,509,32.47
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,253730,726.73
Interarch Building Solutions Limited,INE00M901018,709,14.24
DALMIA BHARAT LIMITED,INE00R701025,7311,159.81
Highway Infrastructure Limited,INE00RL01028,468,0.38
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39181,55.93
Manorama Industries Limited,INE00VM01036,5515,81.53
AFFLE 3I LIMITED,INE00WC01027,7368,144.33
Flair Writing Industries Limited,INE00Y201027,2845,9.25
Entero Healthcare Solutions Limited,INE010601016,1063,12.26
PRISM JOHNSON LIMITED.,INE010A01011,10466,17.19
Zydus Lifesciences Limited,INE010B01027,16145,167.07
Tejas Networks Limited,INE010J01012,137206,949.10
L&T Technology Services Limited,INE010V01017,4379,191.60
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3288,20.93
Tega Industries Limited,INE011K01018,6772,136.16
ACC,INE012A01025,106034,1927.12
Onesource Specialty Pharma Limited,INE013P01021,1104,22.21
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,588,5.64
MANAKSIA LIMITED,INE015D01022,29,0.02
DABUR INDIA,INE016A01026,51334,273.71
"Great Eastern Shipping Co. Ltd.,",INE017A01032,37501,389.31
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,17541,630.21
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,10157,91.83
JSW SL,INE019A01038,6772,75.26
Himadri Speciality Chemical Ltd.,INE019C01026,71547,353.69
STANLEY LIFESTYLES LIMITED,INE01A001028,1068,3.24
Antony Waste Handling Cell Limited,INE01BK01022,5326,31.76
Vishal Mega Mart Limited,INE01EA01019,236315,345.87
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,4652,13.91
Sky Gold And Diamonds Limited,INE01IU01018,16757,58.66
eMudhra Limited,INE01QM01018,8295,58.59
Vikran Engineering Limited,INE01R501028,35864,37.65
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,634683,2504.12
BAID FINSERV LIMITED,INE020D01022,441,0.05
Asian Paints Ltd.,INE021A01026,9951,248.47
Dodla Dairy Limited,INE021O01019,1756,23.54
ASIAN GRANITO INDIA LIMITED,INE022I01019,2845,1.76
Indian Energy Exchange Limited,INE022Q01020,172805,288.95
Nalwa Sons Investment Ltd,INE023A01030,366,28.84
Aeroflex Industries Limited,INE024001021,78559,150.92
GRAVITA INDIA LIMITED,INE024L01027,23270,415.25
Goldiam International Ltd.,INE025B01025,56759,217.29
Artemis Medicare Services Limited,INE025R01021,2559,7.62
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,92885,190.68
RASHTRIYA CH,INE027A01015,275708,459.92
Max Healthcare Institute Limited,INE027H01010,21518,264.61
Bank Of Baroda,INE028A01039,120899,312.01
BHARAT PETRO,INE029A01011,48439,160.58
Kalyani Investment Company Limited,INE029L01018,3,0.17
ROSSARI BIOTECH LIMITED,INE02A801020,2757,18.67
Axita Cotton Limited,INE02EZ01022,3071,0.31
Nova Agritech Limited,INE02H701025,118,0.06
Raymond Lifestyle Limited,INE02ID01020,7820,99.03
Azad Engineering Limited,INE02IJ01035,23367,404.40
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,7846,21.53
Borosil Limited,INE02PY01013,5495,20.28
Brainbees Solutions Limited,INE02RE01045,36379,139.65
WONDER ELECTRICALS LIMITED,INE02WG01024,16552,26.95
Electronics Mart India Limited,INE02YR01019,59383,91.78
"Hindustan Unilever Ltd.,",INE030A01027,13364,341.20
Housing &Urban Development Corporation Ltd.,INE031A01017,332508,802.83
Ajanta Pharma Ltd.,INE031B01049,1802,46.03
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,982535,1285.27
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,20019,66.54
Arvind SmartSpaces Limited,INE034S01021,4142,29.14
SOTL,INE035D01020,1072,5.07
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,38371,43.55
KARUR VYSYA,INE036D01028,14192,29.36
Concord Enviro Systems Limited,INE037Z01029,1048,5.78
Hindalco Industries Ltd.,INE038A01020,20803,158.93
T.V.Today Network Limited,INE038F01029,291,0.62
IFCI LTD,INE039A01010,433762,266.98
"Jamna Auto Industries Ltd.,",INE039C01032,169249,174.20
JASH ENGINEERING LIMITED,INE039O01029,7250,37.23
Max Estates Limited,INE03EI01018,3335,15.86
Go Digit General Insurance Limited,INE03JT01014,7280,26.27
Brigade Hotel Ventures Limited,INE03NU01014,5039,4.31
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,2251,21.59
Cohance Lifesciences Limited,INE03QK01018,5148,47.23
Chemcon Speciality Chemicals Limited,INE03YM01018,267,0.69
HDFC Bank Ltd.,INE040A01034,89208,894.88
Mayur Uniquoters ltd.,INE040D01038,518,2.94
SUZLON ENERGY LTD.,INE040H01021,5430076,3323.16
"Dhampur Sugar Mills Ltd.,",INE041A01016,51918,77.17
Escorts Kubota Limited,INE042A01014,6188,229.70
Vijaya Diagnostic Centre Limited,INE043W01024,5955,61.67
Sun Pharmaceutical Industries Ltd.,INE044A01036,19494,319.87
Paras Defence and Space Technologies Limited,INE045601023,22211,162.51
ADOR WELDING,INE045A01017,340,3.80
Nelco Ltd,INE045B01015,11614,103.26
Fineotex Chemical Limited,INE045J01026,26309,69.66
Reliance Industrial Infrastructure,INE046A01015,9025,83.89
Muthoot Microfin Limited,INE046W01019,12089,18.78
GRASIM INDUS,INE047A01021,2506,71.72
JAGSONPAL PH,INE048B01035,8382,20.41
Navin Fluorent International Ltd,INE048G01026,1736,85.51
"Himatsingka Seide Ltd.,",INE049A01027,66483,95.36
Wockhardt Ltd,INE049B01025,69855,987.39
SBC EXPORTS LIMITED,INE04AK01028,11458,2.67
KPIT Technologies Ltd,INE04I401011,30228,389.43
ETHOS LIMITED,INE04TZ01018,280,7.12
Prakash Pipes Limited,INE050001010,7515,29.14
Elin Electronics Limited,INE050401020,2387,5.30
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,3683,72.56
Balaji Amines Ltd.,INE050E01027,5792,93.48
Rane (Madras)  Ltd.,INE050H01012,2140,17.11
Vardhman Special Steels Ltd,INE050M01012,401,1.22
Vakrangee Softwares Ltd.,INE051B01021,3950,0.54
Windsor Machines Limited,INE052A01021,3453,10.78
Camlin Fine Sciences Ltd,INE052I01032,2221,4.47
BEST AGROLIFE LIMITED,INE052T01013,1082,3.90
Indian Hotels Co. Ltd,INE053A01029,84642,644.25
Indian Railway Finance Corporation,INE053F01010,1507012,2086.09
"V.I.P. Industries Ltd.,",INE054A01027,12576,57.40
Waterbase Limited,INE054C01015,34291,17.71
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,8908,186.92
Cyient DLM Limited,INE055S01018,26738,128.48
Refex Industries Limited,INE056I01025,15627,57.63
Sanofi India Ltd,INE058A01010,1251,63.29
"Cipla Ltd.,",INE059A01026,10888,173.38
La Opala RG Ltd.,INE059D01020,6011,15.66
Hindware Home Innovation Limited,INE05AN01011,2228,6.65
Ratnaveer Precision Engineering Limited,INE05CZ01011,8969,14.17
Indogulf Cropsciences Limited,INE05J901018,1438,1.62
Likhitha Infrastructure Limited,INE060901027,2882,8.67
Navneet Education Limited,INE060A01024,10005,14.34
FORTIS HEALTHCARE LIMITED,INE061F01013,11345,112.34
