SEBI REPORT For Trade date 29-Dec-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,349698.79,
2,Fresh Exposure taken during the day,12081.00,
3,Exposure liquidated during the day,6507.52,
4,Net scripwise outstanding at the end of the day,355272.28,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,40518,162.23
Reliance Industries Ltd,INE002A01018,77811,1144.81
SJVN LIMITED,INE002L01015,572208,542.13
Mahanagar Gas Limited,INE002S01010,27097,345.18
"Siemens Ltd.,",INE003A01024,11692,395.03
Protean eGov Technologies Limited,INE004A01022,68794,773.82
Avantel Limited,INE005B01027,298347,520.35
ASTRAL LIMITED,INE006I01046,11575,173.26
CRISIL Ltd.,INE007A01025,2349,113.04
Geojit Financial Services Limited,INE007B01023,39270,43.45
Fedbank Financial Services Limited,INE007N01010,28030,40.15
IDBI LTD,INE008A01015,867087,829.04
Infosys Ltd,INE009A01021,59969,946.44
Bikaji Foods International Limited,INE00E101023,11138,87.61
Hariom Pipe Industries Limited,INE00EV01017,13440,57.22
Prudent Corporate Advisory Services Limited,INE00F201020,398,10.72
ACUTAAS CHEMICALS LIMITED,INE00FF01025,5067,82.34
SWIGGY LIMITED,INE00H001014,164428,696.94
STOVE KRAFT LIMITED,INE00IN01015,7033,45.41
Craftsman Automation Limited,INE00LO01017,991,70.10
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,255373,692.93
Interarch Building Solutions Limited,INE00M901018,956,23.46
Studds Accessories Limited,INE00Q601028,589,3.15
DALMIA BHARAT LIMITED,INE00R701025,6658,144.30
Highway Infrastructure Limited,INE00RL01028,2562,1.72
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39868,54.21
Manorama Industries Limited,INE00VM01036,6540,95.90
AFFLE 3I LIMITED,INE00WC01027,10917,206.07
Flair Writing Industries Limited,INE00Y201027,2308,7.50
