SEBI REPORT For Trade date 14-Oct-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,317553.29,
2,Fresh Exposure taken during the day,9594.27,
3,Exposure liquidated during the day,6613.38,
4,Net scripwise outstanding at the end of the day,320534.18,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,36944,142.75
Reliance Industries Ltd,INE002A01018,242190,3399.95
SJVN LIMITED,INE002L01015,544665,548.72
Mahanagar Gas Limited,INE002S01010,14994,207.25
"Siemens Ltd.,",INE003A01024,14733,493.68
Protean eGov Technologies Limited,INE004A01022,69319,797.65
Avantel Limited,INE005B01027,358003,644.96
ASTRAL LIMITED,INE006I01046,15797,239.17
CRISIL Ltd.,INE007A01025,1933,98.29
Geojit Financial Services Limited,INE007B01023,44537,48.85
Fedbank Financial Services Limited,INE007N01010,25936,37.34
IDBI LTD,INE008A01015,1004782,919.29
Infosys Ltd,INE009A01021,107786,1648.09
Bikaji Foods International Limited,INE00E101023,14684,114.58
Hariom Pipe Industries Limited,INE00EV01017,9841,48.40
Prudent Corporate Advisory Services Limited,INE00F201020,556,15.13
ACUTAAS CHEMICALS LIMITED,INE00FF01025,2892,40.26
SWIGGY LIMITED,INE00H001014,121652,534.69
STOVE KRAFT LIMITED,INE00IN01015,9451,59.64
Craftsman Automation Limited,INE00LO01017,430,27.29
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,251027,733.35
Interarch Building Solutions Limited,INE00M901018,302,6.15
DALMIA BHARAT LIMITED,INE00R701025,2010,46.15
Highway Infrastructure Limited,INE00RL01028,567,0.46
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,38231,54.66
Manorama Industries Limited,INE00VM01036,4511,66.07
AFFLE 3I LIMITED,INE00WC01027,6601,129.81
Flair Writing Industries Limited,INE00Y201027,2856,9.32
Entero Healthcare Solutions Limited,INE010601016,1509,17.35
PRISM JOHNSON LIMITED.,INE010A01011,10060,16.56
Zydus Lifesciences Limited,INE010B01027,15854,164.13
Tejas Networks Limited,INE010J01012,136559,975.84
L&T Technology Services Limited,INE010V01017,4301,188.87
BALU FORGE INDUSTRIES LIMITED,INE011E01029,752,5.15
Tega Industries Limited,INE011K01018,6287,127.42
ACC,INE012A01025,106494,1937.10
Onesource Specialty Pharma Limited,INE013P01021,916,18.69
WIM PLAST LT,INE015B01018,5212,26.73
Tinna Rubber and Infrastructure Limited,INE015C01016,659,6.28
MANAKSIA LIMITED,INE015D01022,29,0.02
DABUR INDIA,INE016A01026,52667,280.97
"Great Eastern Shipping Co. Ltd.,",INE017A01032,27474,287.13
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,22401,800.84
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,3472,30.80
JSW SL,INE019A01038,6847,74.48
Himadri Speciality Chemical Ltd.,INE019C01026,88692,433.77
STANLEY LIFESTYLES LIMITED,INE01A001028,72,0.32
Antony Waste Handling Cell Limited,INE01BK01022,4547,28.34
Vishal Mega Mart Limited,INE01EA01019,296937,434.62
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,6427,19.91
Sky Gold And Diamonds Limited,INE01IU01018,1407,4.27
eMudhra Limited,INE01QM01018,7434,53.08
Vikran Engineering Limited,INE01R501028,7812,7.98
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,525067,2096.53
BAID FINSERV LIMITED,INE020D01022,2000,0.23
Asian Paints Ltd.,INE021A01026,15192,375.02
Dodla Dairy Limited,INE021O01019,1350,18.27
ASIAN GRANITO INDIA LIMITED,INE022I01019,6377,3.72
Indian Energy Exchange Limited,INE022Q01020,245659,387.34
Nalwa Sons Investment Ltd,INE023A01030,375,28.90
Aeroflex Industries Limited,INE024001021,77522,150.13
GRAVITA INDIA LIMITED,INE024L01027,19748,355.26
Goldiam International Ltd.,INE025B01025,57591,221.00
Artemis Medicare Services Limited,INE025R01021,2559,7.62
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,76745,160.07
RASHTRIYA CH,INE027A01015,273041,456.79
Max Healthcare Institute Limited,INE027H01010,27255,330.87
Bank Of Baroda,INE028A01039,155142,397.73
BHARAT PETRO,INE029A01011,47019,155.07
Kalyani Investment Company Limited,INE029L01018,84,4.12
ROSSARI BIOTECH LIMITED,INE02A801020,2322,15.84
Axita Cotton Limited,INE02EZ01022,3071,0.31
Nova Agritech Limited,INE02H701025,118,0.06
Raymond Lifestyle Limited,INE02ID01020,9006,114.77
Azad Engineering Limited,INE02IJ01035,23306,402.91
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,9772,27.54
Borosil Limited,INE02PY01013,4537,17.11
Brainbees Solutions Limited,INE02RE01045,34058,132.72
WONDER ELECTRICALS LIMITED,INE02WG01024,16552,26.95
Electronics Mart India Limited,INE02YR01019,63061,97.03
"Hindustan Unilever Ltd.,",INE030A01027,9920,253.90
Housing &Urban Development Corporation Ltd.,INE031A01017,323128,782.45
Ajanta Pharma Ltd.,INE031B01049,1629,42.04
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,986784,1294.57
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,18762,61.53
Arvind SmartSpaces Limited,INE034S01021,4492,31.42
SOTL,INE035D01020,1141,5.41
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,28353,33.12
KARUR VYSYA,INE036D01028,17695,36.10
Concord Enviro Systems Limited,INE037Z01029,1116,6.29
Hindalco Industries Ltd.,INE038A01020,18757,136.19
T.V.Today Network Limited,INE038F01029,291,0.62
IFCI LTD,INE039A01010,405849,252.02
"Jamna Auto Industries Ltd.,",INE039C01032,160177,165.92
JASH ENGINEERING LIMITED,INE039O01029,6259,32.31
Max Estates Limited,INE03EI01018,3086,14.65
Go Digit General Insurance Limited,INE03JT01014,7108,25.66
Brigade Hotel Ventures Limited,INE03NU01014,8736,7.39
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,2194,21.14
Cohance Lifesciences Limited,INE03QK01018,4172,39.11
Chemcon Speciality Chemicals Limited,INE03YM01018,267,0.69
HDFC Bank Ltd.,INE040A01034,95866,949.78
Mayur Uniquoters ltd.,INE040D01038,714,3.96
SUZLON ENERGY LTD.,INE040H01021,5519147,3407.29
"Dhampur Sugar Mills Ltd.,",INE041A01016,52987,79.33
Escorts Kubota Limited,INE042A01014,7773,287.52
Vijaya Diagnostic Centre Limited,INE043W01024,5864,60.78
Sun Pharmaceutical Industries Ltd.,INE044A01036,22604,372.05
Paras Defence and Space Technologies Limited,INE045601023,22763,165.72
ADOR WELDING,INE045A01017,242,2.58
Nelco Ltd,INE045B01015,11315,100.68
Fineotex Chemical Limited,INE045J01026,24544,65.19
Reliance Industrial Infrastructure,INE046A01015,8768,81.60
Muthoot Microfin Limited,INE046W01019,11518,17.83
GRASIM INDUS,INE047A01021,3258,91.40
JAGSONPAL PH,INE048B01035,11469,28.10
Navin Fluorent International Ltd,INE048G01026,1667,85.92
"Himatsingka Seide Ltd.,",INE049A01027,167094,245.68
Wockhardt Ltd,INE049B01025,68962,976.21
SBC EXPORTS LIMITED,INE04AK01028,119521,21.71
KPIT Technologies Ltd,INE04I401011,28530,369.62
ETHOS LIMITED,INE04TZ01018,885,22.82
Prakash Pipes Limited,INE050001010,5773,23.96
Elin Electronics Limited,INE050401020,2956,6.45
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,4445,85.40
Balaji Amines Ltd.,INE050E01027,6147,99.96
Rane (Madras)  Ltd.,INE050H01012,1890,15.02
Vardhman Special Steels Ltd,INE050M01012,201,0.59
Vakrangee Softwares Ltd.,INE051B01021,3950,0.54
Windsor Machines Limited,INE052A01021,3453,10.78
Camlin Fine Sciences Ltd,INE052I01032,1347,2.81
BEST AGROLIFE LIMITED,INE052T01013,1226,4.59
Indian Hotels Co. Ltd,INE053A01029,88406,675.17
Indian Railway Finance Corporation,INE053F01010,1503754,2091.81
"V.I.P. Industries Ltd.,",INE054A01027,11844,54.48
Waterbase Limited,INE054C01015,12352,6.31
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,9728,202.10
Cyient DLM Limited,INE055S01018,33399,159.47
Refex Industries Limited,INE056I01025,15186,56.27
Sanofi India Ltd,INE058A01010,828,43.28
"Cipla Ltd.,",INE059A01026,4420,68.86
La Opala RG Ltd.,INE059D01020,11631,29.63
Hindware Home Innovation Limited,INE05AN01011,2092,6.12
Ratnaveer Precision Engineering Limited,INE05CZ01011,7071,11.28
Indogulf Cropsciences Limited,INE05J901018,1636,1.84
Likhitha Infrastructure Limited,INE060901027,2882,8.67
Navneet Education Limited,INE060A01024,14412,21.31
