SEBI REPORT For Trade date 15-May-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,437382.75,
2,Fresh Exposure taken during the day,54644.86,
3,Exposure liquidated during the day,11780.54,
4,Net scripwise outstanding at the end of the day,480247.07,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,18134,67.51
Reliance Industries Ltd,INE002A01018,328766,4649.23
SJVN LIMITED,INE002L01015,657029,550.62
Mahanagar Gas Limited,INE002S01010,18582,224.09
"Siemens Ltd.,",INE003A01024,4559,165.49
Protean eGov Technologies Limited,INE004A01022,50871,430.49
Avantel Limited,INE005B01027,205660,328.37
ASTRAL LIMITED,INE006I01046,14278,227.79
CRISIL Ltd.,INE007A01025,2153,99.67
Geojit Financial Services Limited,INE007B01023,31070,22.75
Fedbank Financial Services Limited,INE007N01010,53747,78.88
IDBI LTD,INE008A01015,1340261,1096.82
Infosys Ltd,INE009A01021,437026,5459.52
Bikaji Foods International Limited,INE00E101023,8894,68.68
Hariom Pipe Industries Limited,INE00EV01017,9745,36.23
Prudent Corporate Advisory Services Limited,INE00F201020,200,5.28
ACUTAAS CHEMICALS LIMITED,INE00FF01025,9428,220.59
SWIGGY LIMITED,INE00H001014,373597,1182.84
STOVE KRAFT LIMITED,INE00IN01015,11846,70.92
Craftsman Automation Limited,INE00LO01017,1355,121.57
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,340567,802.39
Interarch Building Solutions Limited,INE00M901018,4715,93.53
Studds Accessories Limited,INE00Q601028,6446,33.60
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,7811,151.39
Highway Infrastructure Limited,INE00RL01028,107,0.08
Nila Spaces Ltd,INE00S901012,1000,0.15
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,32592,39.57
Manorama Industries Limited,INE00VM01036,7308,104.96
AFFLE 3I LIMITED,INE00WC01027,12691,214.55
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,522,9.98
Flair Writing Industries Limited,INE00Y201027,2315,7.64
A B INFRABUILD LIMITED,INE00YB01025,6069,0.95
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2536,12.70
Entero Healthcare Solutions Limited,INE010601016,324,3.73
PRISM JOHNSON LIMITED.,INE010A01011,26564,37.69
Zydus Lifesciences Limited,INE010B01027,15446,151.22
Tejas Networks Limited,INE010J01012,173418,941.96
L&T Technology Services Limited,INE010V01017,5949,230.37
BALU FORGE INDUSTRIES LIMITED,INE011E01029,15804,78.96
Tega Industries Limited,INE011K01018,3088,59.14
ACC,INE012A01025,18828,309.32
Onesource Specialty Pharma Limited,INE013P01021,1657,27.20
Tinna Rubber and Infrastructure Limited,INE015C01016,720,5.55
DABUR INDIA,INE016A01026,40295,195.47
CEINSYS TECH LIMITED,INE016Q01014,2651,28.78
"Great Eastern Shipping Co. Ltd.,",INE017A01032,23631,355.20
LARSEN & TOU,INE018A01030,91422,3543.25
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,28307,204.70
JSW SL,INE019A01038,24432,311.61
Himadri Speciality Chemical Ltd.,INE019C01026,80565,453.93
STANLEY LIFESTYLES LIMITED,INE01A001028,5810,9.87
Antony Waste Handling Cell Limited,INE01BK01022,9053,47.61
Vishal Mega Mart Limited,INE01EA01019,303080,394.42
Ritco Logistics Limited,INE01EG01016,81,0.24
Baazar Style Retail Limited,INE01FR01028,13331,53.61
Sky Gold And Diamonds Limited,INE01IU01018,26387,108.64
eMudhra Limited,INE01QM01018,4270,24.68
Vikran Engineering Limited,INE01R501028,493359,449.09
Canara HSBC Life Insurance Company Limited,INE01TY01017,30560,43.76
Spencer's Retail Limited,INE020801028,2,0.00
REC LIMITED,INE020B01018,406906,1531.16
Asian Paints Ltd.,INE021A01026,11613,303.45
Dodla Dairy Limited,INE021O01019,2311,25.84
ASIAN GRANITO INDIA LIMITED,INE022I01019,74896,56.17
Indian Energy Exchange Limited,INE022Q01020,303962,421.27
Nalwa Sons Investment Ltd,INE023A01030,40,2.43
Aeroflex Industries Limited,INE024001021,31041,105.74
Shilchar Technologies Ltd.,INE024F01011,3386,138.61
GRAVITA INDIA LIMITED,INE024L01027,12616,216.39
Goldiam International Ltd.,INE025B01025,23148,90.79
Artemis Medicare Services Limited,INE025R01021,1616,5.00
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,396109,652.45
"Lotus Chocolate Co. Ltd.,",INE026D01011,20,0.15
RASHTRIYA CH,INE027A01015,211141,311.99
Max Healthcare Institute Limited,INE027H01010,18259,202.15
Bank Of Baroda,INE028A01039,314889,863.46
BHARAT PETRO,INE029A01011,193835,598.51
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,3198,16.70
Anand Rayons Limited,INE02GA01012,2000,1.35
Raymond Lifestyle Limited,INE02ID01020,13068,126.70
Azad Engineering Limited,INE02IJ01035,8035,159.07
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,23225,46.49
Borosil Limited,INE02PY01013,6149,18.00
Brainbees Solutions Limited,INE02RE01045,59039,170.32
WONDER ELECTRICALS LIMITED,INE02WG01024,3001,4.04
Electronics Mart India Limited,INE02YR01019,70967,95.18
Corona Remedies Limited,INE02ZQ01018,471,8.69
"Hindustan Unilever Ltd.,",INE030A01027,32335,751.54
Housing &Urban Development Corporation Ltd.,INE031A01017,326845,729.89
Ajanta Pharma Ltd.,INE031B01049,1668,51.22
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,224839,291.99
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,16347,63.62
Arvind SmartSpaces Limited,INE034S01021,3563,24.76
SOTL,INE035D01020,1759,7.71
Gujarat Ambuja Exports Ltd.,INE036B01030,34025,54.73
KARUR VYSYA,INE036D01028,62367,184.58
Concord Enviro Systems Limited,INE037Z01029,751,2.86
Hindalco Industries Ltd.,INE038A01020,31916,307.93
T.V.Today Network Limited,INE038F01029,717,1.00
IFCI LTD,INE039A01010,694385,430.42
"Jamna Auto Industries Ltd.,",INE039C01032,99780,124.58
JASH ENGINEERING LIMITED,INE039O01029,6569,32.76
Jubilant Agri and Consumer Products Limited,INE03CC01015,107,2.06
Max Estates Limited,INE03EI01018,2912,12.97
Go Digit General Insurance Limited,INE03JT01014,4344,14.82
Brigade Hotel Ventures Limited,INE03NU01014,1407,1.19
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,2582,26.45
Cohance Lifesciences Limited,INE03QK01018,244125,1185.94
Chemcon Speciality Chemicals Limited,INE03YM01018,118,0.30
HDFC Bank Ltd.,INE040A01034,623158,5086.46
Mayur Uniquoters ltd.,INE040D01038,1725,10.09
SUZLON ENERGY LTD.,INE040H01021,6160439,3385.89
"Dhampur Sugar Mills Ltd.,",INE041A01016,66921,98.08
Escorts Kubota Limited,INE042A01014,9664,320.71
GTL Ltd,INE043A01012,5000,0.31
Vijaya Diagnostic Centre Limited,INE043W01024,1100,13.79
Sun Pharmaceutical Industries Ltd.,INE044A01036,18142,310.42
Paras Defence and Space Technologies Limited,INE045601023,61747,496.97
ADOR WELDING,INE045A01017,362,4.09
Nelco Ltd,INE045B01015,12728,99.37
Fineotex Chemical Limited,INE045J01034,190245,53.05
Reliance Industrial Infrastructure,INE046A01015,6007,51.88
Muthoot Microfin Limited,INE046W01019,17419,33.97
GRASIM INDUS,INE047A01021,2701,77.45
JAGSONPAL PH,INE048B01035,6928,15.22
Navin Fluorent International Ltd,INE048G01026,3270,217.72
"Himatsingka Seide Ltd.,",INE049A01027,94068,94.03
Wockhardt Ltd,INE049B01025,77593,1065.74
SBC EXPORTS LIMITED,INE04AK01028,852234,240.09
KPIT Technologies Ltd,INE04I401011,77565,665.71
ETHOS LIMITED,INE04TZ01018,1882,49.09
Seshaasai Technologies Limited,INE04VU01023,2825,7.86
Prakash Pipes Limited,INE050001010,4111,16.33
Elin Electronics Limited,INE050401020,3521,4.29
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,5189,86.61
IL & FS Investment Managers Ltd.,INE050B01023,200,0.02
Balaji Amines Ltd.,INE050E01027,5895,84.15
Rane (Madras)  Ltd.,INE050H01012,2123,17.16
Vardhman Special Steels Ltd,INE050M01012,1236,3.69
Vakrangee Softwares Ltd.,INE051B01021,45850,3.51
Windsor Machines Limited,INE052A01021,1476,4.65
Camlin Fine Sciences Ltd,INE052I01032,34030,45.18
BEST AGROLIFE LIMITED,INE052T01021,4654,1.09
Indian Hotels Co. Ltd,INE053A01029,81599,568.67
Indian Railway Finance Corporation,INE053F01010,1813174,2131.48
"V.I.P. Industries Ltd.,",INE054A01027,116943,368.54
Waterbase Limited,INE054C01015,202,0.10
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,10192,177.49
Cyient DLM Limited,INE055S01018,14448,60.57
IVALUE INFOSOLUTIONS LIMITED,INE056801025,159,0.39
Refex Industries Limited,INE056I01025,19637,54.34
Sanofi India Ltd,INE058A01010,1601,60.70
"Cipla Ltd.,",INE059A01026,15923,231.40
Simplex Infrastructures Limited,INE059B01024,10,0.02
La Opala RG Ltd.,INE059D01020,3897,8.84
Hindware Home Innovation Limited,INE05AN01011,6000,13.54
Ratnaveer Precision Engineering Limited,INE05CZ01011,351664,576.56
Central Mine Planning & Design Institute Limited,INE05HV01027,42075,97.88
Indogulf Cropsciences Limited,INE05J901018,126,0.12
Amir Chand Jagdish Kumar (Exports) Limited,INE05TO01019,2100,2.80
BHARAT COKING COAL LIMITED,INE05XR01022,271887,99.23
Navneet Education Limited,INE060A01024,7673,11.25
FORTIS HEALTHCARE LIMITED,INE061F01013,17890,171.11
"State Bank Of India,",INE062A01020,559851,5727.03
ALICON,INE062D01024,54,0.47
Pondy Oxides & Chemicals Limited,INE063E01053,3248,42.85
Equitas Small Finance Bank Limited,INE063P01018,169084,112.85
TIMES GROUP,INE064A01026,555380,1702.81
Trident Ltd.,INE064C01022,863461,245.24
AEROFLEX ENTERPRISES LIMITED,INE065D01027,450,0.41
Indegene Limited,INE065X01017,6848,38.04
Eicher Motors Ltd.,INE066A01021,6743,489.78
Hindustan Aeronautics Limited,INE066F01020,83789,3855.66
Wonderla Holidays Limited,INE066O01014,3441,20.66
Inox Wind Limited,INE066P01011,561748,677.92
CG Power and Industrial Solutions Limited,INE067A01029,58743,465.99
CANTABIL RETAIL INDIA LIMITED,INE068L01024,1562,4.07
Gland Pharma Limited,INE068V01023,1509,28.09
EMBASSY DEVELOPMENTS LIMITED,INE069I01010,4493,4.15
ECOS (India) Mobility & Hospitality Limited,INE06HJ01020,4747,7.37
INDIQUBE SPACES LIMITED,INE06ST01018,620,1.33
LAXMI INDIA FINANCE LIMITED,INE06WU01026,421,0.55
SHANTI GOLD INTERNATIONAL LIMITED,INE06ZD01017,12273,24.93
SHREE CEMENT,INE070A01015,388,101.13
Jai Corp Limited,INE070D01027,27019,37.55
INSECTCID,INE070I01018,412,3.09
Ugar Sugar Works Ltd.,INE071E01023,509,0.24
Epigral Limited,INE071N01016,3531,52.45
India Homes Limited,INE072A01029,10000000,1300.00
Associated Alcohols & Breweries Ltd,INE073G01016,3039,29.77
Sona BLW Precision Forgings Limited,INE073K01018,57666,328.16
Praj Industries Ltd.,INE074A01025,104790,432.61
Paramount Communications Ltd.,INE074B01023,74766,34.71
WIPRO LTD.,INE075A01022,808475,1696.74
G M BREWERIE,INE075D01018,6633,73.61
HealthCare Global Enterprises Limited,INE075I01017,4844,29.84
SIYAR SILK M,INE076B01028,2345,14.68
IFB Agro Industries Ltd,INE076C01018,114,1.04
GOCL Corporation Limited ,INE077F01035,585,2.02
Vikram Solar Limited,INE078V01014,159176,361.87
Ambuja Cements Ltd.,INE079A01024,128377,624.46
Gateway Distriparks Limited,INE079J01017,55483,34.22
ZAGGLE PREPAID OCEAN SERVICES LIMITED,INE07K301024,82157,247.56
Easy Trip Planners Limited,INE07O001026,715952,74.31
NDR Auto Components Limited,INE07OG01012,456,4.07
Supriya Lifescience Limited,INE07RO01027,13672,97.79
Restaurant Brands Asia Limited,INE07T201019,893811,586.28
IRM ENERGY LIMITED,INE07U701015,8836,26.83
HITACHI ENERGY INDIA LIMITED,INE07Y701011,2926,921.45
LLOYDS ENTERPRISES LIMITED,INE080I01025,3074771,2367.65
TATA IORN AN,INE081A01020,407577,823.78
"Kopran Ltd.,",INE082A01010,4114,6.79
Morepen Laboratories Ltd.,INE083A01026,325289,156.12
Themis Medicare Ltd.,INE083B01024,3136,3.52
BANK OF INDI,INE084A01016,610473,923.16
Amanta Healthcare Limited,INE084K01015,4,0.01
WeWork India Management Limited,INE085001019,2708,14.51
CHAMBAL FERT,INE085A01013,718637,3159.03
Thangamayil Jewellery Limited,INE085J01014,914,34.52
