SEBI REPORT For Trade date 03-Nov-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,328818.30,
2,Fresh Exposure taken during the day,9670.47,
3,Exposure liquidated during the day,8841.11,
4,Net scripwise outstanding at the end of the day,329647.66,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,24660,96.32
Reliance Industries Ltd,INE002A01018,110040,1555.89
SJVN LIMITED,INE002L01015,569811,569.36
Mahanagar Gas Limited,INE002S01010,17014,232.20
"Siemens Ltd.,",INE003A01024,15239,508.41
Protean eGov Technologies Limited,INE004A01022,65748,764.40
Avantel Limited,INE005B01027,324266,574.57
ASTRAL LIMITED,INE006I01046,14975,227.33
CRISIL Ltd.,INE007A01025,2005,102.01
Geojit Financial Services Limited,INE007B01023,45670,49.07
Fedbank Financial Services Limited,INE007N01010,53518,77.36
IDBI LTD,INE008A01015,899771,852.69
Infosys Ltd,INE009A01021,124938,1903.68
Bikaji Foods International Limited,INE00E101023,12421,97.25
Hariom Pipe Industries Limited,INE00EV01017,11009,53.53
Prudent Corporate Advisory Services Limited,INE00F201020,1115,29.71
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4139,64.23
SWIGGY LIMITED,INE00H001014,210274,908.25
STOVE KRAFT LIMITED,INE00IN01015,7265,47.43
Craftsman Automation Limited,INE00LO01017,543,34.84
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,252920,719.16
Interarch Building Solutions Limited,INE00M901018,503,9.93
DALMIA BHARAT LIMITED,INE00R701025,7832,170.72
Highway Infrastructure Limited,INE00RL01028,2168,1.73
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,38440,54.19
Manorama Industries Limited,INE00VM01036,6257,91.89
AFFLE 3I LIMITED,INE00WC01027,10016,195.54
Flair Writing Industries Limited,INE00Y201027,2830,9.21
Entero Healthcare Solutions Limited,INE010601016,1057,12.17
PRISM JOHNSON LIMITED.,INE010A01011,12698,20.57
Zydus Lifesciences Limited,INE010B01027,18866,193.87
Tejas Networks Limited,INE010J01012,136933,945.47
L&T Technology Services Limited,INE010V01017,4938,214.31
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3598,22.93
Tega Industries Limited,INE011K01018,6898,138.57
ACC,INE012A01025,111072,2023.43
Onesource Specialty Pharma Limited,INE013P01021,1566,30.60
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,340,3.11
MANAKSIA LIMITED,INE015D01022,29,0.02
DABUR INDIA,INE016A01026,61728,325.55
"Great Eastern Shipping Co. Ltd.,",INE017A01032,31993,333.62
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,19584,718.06
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,9902,89.29
JSW SL,INE019A01038,6525,74.03
Himadri Speciality Chemical Ltd.,INE019C01026,83241,409.57
STANLEY LIFESTYLES LIMITED,INE01A001028,1068,3.24
Antony Waste Handling Cell Limited,INE01BK01022,5782,34.15
Vishal Mega Mart Limited,INE01EA01019,352879,515.67
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,3136,9.75
Sky Gold And Diamonds Limited,INE01IU01018,16671,58.35
eMudhra Limited,INE01QM01018,8745,61.48
Vikran Engineering Limited,INE01R501028,41604,43.47
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,543515,2149.81
Asian Paints Ltd.,INE021A01026,8455,211.24
Dodla Dairy Limited,INE021O01019,1922,25.63
ASIAN GRANITO INDIA LIMITED,INE022I01019,1054,0.61
Indian Energy Exchange Limited,INE022Q01020,185625,306.17
Nalwa Sons Investment Ltd,INE023A01030,351,27.74
Aeroflex Industries Limited,INE024001021,83648,160.62
GRAVITA INDIA LIMITED,INE024L01027,22704,406.73
Goldiam International Ltd.,INE025B01025,57170,218.60
Artemis Medicare Services Limited,INE025R01021,2529,7.54
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,92680,190.13
RASHTRIYA CH,INE027A01015,268767,449.24
Max Healthcare Institute Limited,INE027H01010,23500,287.36
Bank Of Baroda,INE028A01039,99503,262.42
BHARAT PETRO,INE029A01011,119810,419.82
Kalyani Investment Company Limited,INE029L01018,1,0.06
ROSSARI BIOTECH LIMITED,INE02A801020,2682,18.19
Axita Cotton Limited,INE02EZ01022,3071,0.31
Nova Agritech Limited,INE02H701025,118,0.06
Raymond Lifestyle Limited,INE02ID01020,8509,107.39
Azad Engineering Limited,INE02IJ01035,25665,443.26
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,8885,24.62
Borosil Limited,INE02PY01013,4505,16.78
Brainbees Solutions Limited,INE02RE01045,48743,183.30
WONDER ELECTRICALS LIMITED,INE02WG01024,16612,27.04
Electronics Mart India Limited,INE02YR01019,59357,92.69
"Hindustan Unilever Ltd.,",INE030A01027,14833,377.64
Housing &Urban Development Corporation Ltd.,INE031A01017,325237,791.26
Ajanta Pharma Ltd.,INE031B01049,1789,45.82
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,990213,1297.59
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,19870,66.05
Arvind SmartSpaces Limited,INE034S01021,4142,29.14
SOTL,INE035D01020,1012,4.74
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,38645,43.89
KARUR VYSYA,INE036D01028,15149,32.31
Concord Enviro Systems Limited,INE037Z01029,1035,5.72
Hindalco Industries Ltd.,INE038A01020,18935,144.03
T.V.Today Network Limited,INE038F01029,291,0.62
IFCI LTD,INE039A01010,520137,317.41
"Jamna Auto Industries Ltd.,",INE039C01032,166726,171.52
JASH ENGINEERING LIMITED,INE039O01029,7431,38.06
Max Estates Limited,INE03EI01018,2696,12.81
Go Digit General Insurance Limited,INE03JT01014,7939,28.66
Brigade Hotel Ventures Limited,INE03NU01014,5148,4.40
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,2114,20.27
Cohance Lifesciences Limited,INE03QK01018,11386,95.36
Chemcon Speciality Chemicals Limited,INE03YM01018,205,0.54
HDFC Bank Ltd.,INE040A01034,90113,903.48
Mayur Uniquoters ltd.,INE040D01038,354,2.08
SUZLON ENERGY LTD.,INE040H01021,5582085,3423.79
"Dhampur Sugar Mills Ltd.,",INE041A01016,49718,73.72
Escorts Kubota Limited,INE042A01014,4635,171.57
Vijaya Diagnostic Centre Limited,INE043W01024,2794,28.37
Sun Pharmaceutical Industries Ltd.,INE044A01036,18317,300.44
Paras Defence and Space Technologies Limited,INE045601023,24919,181.64
ADOR WELDING,INE045A01017,25326,273.62
Nelco Ltd,INE045B01015,11293,100.23
Fineotex Chemical Limited,INE045J01034,197720,50.16
Reliance Industrial Infrastructure,INE046A01015,9080,84.05
Muthoot Microfin Limited,INE046W01019,11804,18.31
GRASIM INDUS,INE047A01021,2587,74.14
JAGSONPAL PH,INE048B01035,8380,20.40
Navin Fluorent International Ltd,INE048G01026,1362,71.44
"Himatsingka Seide Ltd.,",INE049A01027,77272,108.84
Wockhardt Ltd,INE049B01025,69985,989.39
SBC EXPORTS LIMITED,INE04AK01028,10483,2.46
KPIT Technologies Ltd,INE04I401011,30731,395.07
ETHOS LIMITED,INE04TZ01018,273,6.93
Prakash Pipes Limited,INE050001010,7535,29.20
Elin Electronics Limited,INE050401020,2387,5.30
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,4355,86.15
Balaji Amines Ltd.,INE050E01027,5790,92.47
Rane (Madras)  Ltd.,INE050H01012,2140,17.11
Vardhman Special Steels Ltd,INE050M01012,2062,6.15
Vakrangee Softwares Ltd.,INE051B01021,3950,0.54
Windsor Machines Limited,INE052A01021,3453,10.78
Camlin Fine Sciences Ltd,INE052I01032,2028,4.12
BEST AGROLIFE LIMITED,INE052T01013,1092,3.93
Indian Hotels Co. Ltd,INE053A01029,83253,633.68
Indian Railway Finance Corporation,INE053F01010,1491534,2067.56
"V.I.P. Industries Ltd.,",INE054A01027,14089,63.64
Waterbase Limited,INE054C01015,31991,16.54
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,7667,167.40
Cyient DLM Limited,INE055S01018,24318,117.58
Refex Industries Limited,INE056I01025,16689,61.24
Sanofi India Ltd,INE058A01010,1049,53.76
"Cipla Ltd.,",INE059A01026,20658,321.19
La Opala RG Ltd.,INE059D01020,6426,16.62
Hindware Home Innovation Limited,INE05AN01011,2028,5.93
Ratnaveer Precision Engineering Limited,INE05CZ01011,6678,10.65
Indogulf Cropsciences Limited,INE05J901018,1438,1.62
Likhitha Infrastructure Limited,INE060901027,2882,8.67
Navneet Education Limited,INE060A01024,10255,14.80
FORTIS HEALTHCARE LIMITED,INE061F01013,11782,116.75
"State Bank Of India,",INE062A01020,87982,744.35
Pondy Oxides & Chemicals Limited,INE063E01053,5161,67.85
Equitas Small Finance Bank Limited,INE063P01018,260612,163.94
Trident Ltd.,INE064C01022,799548,247.01
AEROFLEX ENTERPRISES LIMITED,INE065D01027,6217,6.37
Indegene Limited,INE065X01017,13279,75.63
Eicher Motors Ltd.,INE066A01021,2892,194.04
Hindustan Aeronautics Limited,INE066F01020,95805,4581.06
Wonderla Holidays Limited,INE066O01014,11807,77.28
Inox Wind Limited,INE066P01011,405927,698.89
CG Power and Industrial Solutions Limited,INE067A01029,75676,559.43
CANTABIL RETAIL INDIA LIMITED,INE068L01024,2971,8.40
Gland Pharma Limited,INE068V01023,3317,63.51
EMBASSY DEVELOPMENTS LIMITED,INE069I01010,543798,587.62
ECOS (India) Mobility & Hospitality Limited,INE06HJ01020,2404,5.66
INDIQUBE SPACES LIMITED,INE06ST01018,1433,3.36
LAXMI INDIA FINANCE LIMITED,INE06WU01026,2693,4.43
Gem Aromatics Limited,INE06XZ01023,1285,2.98
SHANTI GOLD INTERNATIONAL LIMITED,INE06ZD01017,3966,9.53
SHREE CEMENT,INE070A01015,175,50.50
Jai Corp Limited,INE070D01027,37372,61.71
INSECTCID,INE070I01018,776,7.28
Ugar Sugar Works Ltd.,INE071E01023,1860,1.11
Epigral Limited,INE071N01016,2216,40.37
Associated Alcohols & Breweries Ltd,INE073G01016,1947,23.77
Sona BLW Precision Forgings Limited,INE073K01018,61067,297.31
Praj Industries Ltd.,INE074A01025,142580,592.77
Paramount Communications Ltd.,INE074B01023,104459,52.42
WIPRO LTD.,INE075A01022,231156,582.83
G M BREWERIE,INE075D01018,1140,8.93
HealthCare Global Enterprises Limited,INE075I01017,1056,6.84
SIYAR SILK M,INE076B01028,1579,12.36
IFB Agro Industries Ltd,INE076C01018,27,0.31
GOCL Corporation Limited ,INE077F01035,897,3.41
