SEBI REPORT For Trade date 30-Oct-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,322584.16,
2,Fresh Exposure taken during the day,10023.50,
3,Exposure liquidated during the day,7394.74,
4,Net scripwise outstanding at the end of the day,325212.93,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,23670,92.56
Reliance Industries Ltd,INE002A01018,110513,1560.23
SJVN LIMITED,INE002L01015,565623,565.60
Mahanagar Gas Limited,INE002S01010,17658,240.67
"Siemens Ltd.,",INE003A01024,15333,511.59
Protean eGov Technologies Limited,INE004A01022,65385,761.63
Avantel Limited,INE005B01027,376196,680.06
ASTRAL LIMITED,INE006I01046,14895,225.98
CRISIL Ltd.,INE007A01025,1945,99.11
Geojit Financial Services Limited,INE007B01023,44134,48.03
Fedbank Financial Services Limited,INE007N01010,48720,70.52
IDBI LTD,INE008A01015,836978,781.04
Infosys Ltd,INE009A01021,123772,1887.61
Bikaji Foods International Limited,INE00E101023,12401,97.18
Hariom Pipe Industries Limited,INE00EV01017,11032,53.65
Prudent Corporate Advisory Services Limited,INE00F201020,808,21.69
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4302,64.73
SWIGGY LIMITED,INE00H001014,194662,845.08
STOVE KRAFT LIMITED,INE00IN01015,9291,58.42
Craftsman Automation Limited,INE00LO01017,508,32.40
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,260512,741.47
Interarch Building Solutions Limited,INE00M901018,659,13.20
DALMIA BHARAT LIMITED,INE00R701025,7688,167.71
Highway Infrastructure Limited,INE00RL01028,1868,1.50
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39462,56.30
Manorama Industries Limited,INE00VM01036,6512,95.45
AFFLE 3I LIMITED,INE00WC01027,9859,192.27
Flair Writing Industries Limited,INE00Y201027,2830,9.21
Entero Healthcare Solutions Limited,INE010601016,1063,12.26
PRISM JOHNSON LIMITED.,INE010A01011,10935,17.92
Zydus Lifesciences Limited,INE010B01027,19223,197.53
Tejas Networks Limited,INE010J01012,138181,953.71
L&T Technology Services Limited,INE010V01017,4659,202.87
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3288,20.93
Tega Industries Limited,INE011K01018,6752,135.76
ACC,INE012A01025,106556,1936.69
Onesource Specialty Pharma Limited,INE013P01021,1356,26.64
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,288,2.60
MANAKSIA LIMITED,INE015D01022,29,0.02
DABUR INDIA,INE016A01026,56954,302.23
"Great Eastern Shipping Co. Ltd.,",INE017A01032,35897,372.89
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,20655,758.55
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,9054,81.82
JSW SL,INE019A01038,5785,64.94
Himadri Speciality Chemical Ltd.,INE019C01026,81329,400.06
STANLEY LIFESTYLES LIMITED,INE01A001028,1068,3.24
Antony Waste Handling Cell Limited,INE01BK01022,5326,31.78
Vishal Mega Mart Limited,INE01EA01019,352795,516.26
