SEBI REPORT For Trade date 12-Dec-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,344836.80,
2,Fresh Exposure taken during the day,9566.97,
3,Exposure liquidated during the day,9106.24,
4,Net scripwise outstanding at the end of the day,345297.53,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,21967,87.69
Reliance Industries Ltd,INE002A01018,83849,1224.08
SJVN LIMITED,INE002L01015,594525,567.66
Mahanagar Gas Limited,INE002S01010,25012,324.34
"Siemens Ltd.,",INE003A01024,11174,379.99
Protean eGov Technologies Limited,INE004A01022,70182,790.23
Avantel Limited,INE005B01027,298510,521.42
ASTRAL LIMITED,INE006I01046,22902,336.19
CRISIL Ltd.,INE007A01025,1932,95.05
Geojit Financial Services Limited,INE007B01023,41298,45.52
Fedbank Financial Services Limited,INE007N01010,28840,41.21
IDBI LTD,INE008A01015,890513,850.98
Infosys Ltd,INE009A01021,64310,1018.63
Bikaji Foods International Limited,INE00E101023,11023,86.36
Hariom Pipe Industries Limited,INE00EV01017,11302,50.00
Prudent Corporate Advisory Services Limited,INE00F201020,468,12.49
ACUTAAS CHEMICALS LIMITED,INE00FF01025,5355,87.92
SWIGGY LIMITED,INE00H001014,150870,650.01
STOVE KRAFT LIMITED,INE00IN01015,6914,44.70
Craftsman Automation Limited,INE00LO01017,570,39.29
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,255652,697.43
Interarch Building Solutions Limited,INE00M901018,747,18.47
Studds Accessories Limited,INE00Q601028,229,1.21
DALMIA BHARAT LIMITED,INE00R701025,7577,163.99
Highway Infrastructure Limited,INE00RL01028,1041,0.83
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39793,54.25
Manorama Industries Limited,INE00VM01036,7448,108.43
AFFLE 3I LIMITED,INE00WC01027,11228,212.12
Flair Writing Industries Limited,INE00Y201027,2211,7.20
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,845,5.06
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,988,11.33
PRISM JOHNSON LIMITED.,INE010A01011,14803,22.83
Zydus Lifesciences Limited,INE010B01027,24853,248.91
Tejas Networks Limited,INE010J01012,126633,847.07
L&T Technology Services Limited,INE010V01017,2724,122.48
BALU FORGE INDUSTRIES LIMITED,INE011E01029,2923,18.59
Tega Industries Limited,INE011K01018,6284,127.31
ACC,INE012A01025,101402,1842.02
Onesource Specialty Pharma Limited,INE013P01021,1045,20.64
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,292,2.63
DABUR INDIA,INE016A01026,46569,248.10
"Great Eastern Shipping Co. Ltd.,",INE017A01032,39213,420.79
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,21467,810.36
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,10737,96.18
JSW SL,INE019A01038,25687,298.56
Himadri Speciality Chemical Ltd.,INE019C01026,74892,369.04
STANLEY LIFESTYLES LIMITED,INE01A001028,1063,3.20
Antony Waste Handling Cell Limited,INE01BK01022,4489,26.17
Vishal Mega Mart Limited,INE01EA01019,279693,398.70
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,12685,37.92
Sky Gold And Diamonds Limited,INE01IU01018,16356,57.26
eMudhra Limited,INE01QM01018,8302,55.61
Vikran Engineering Limited,INE01R501028,117263,123.57
Canara HSBC Life Insurance Company Limited,INE01TY01017,1213,1.46
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,541703,2107.55
Asian Paints Ltd.,INE021A01026,12103,339.52
Dodla Dairy Limited,INE021O01019,807,10.68
ASIAN GRANITO INDIA LIMITED,INE022I01019,7848,5.41
Indian Energy Exchange Limited,INE022Q01020,115363,186.17
Nalwa Sons Investment Ltd,INE023A01030,16,1.04
Aeroflex Industries Limited,INE024001021,77450,147.75
SHILCHAR TEC,INE024F01011,424,16.37
GRAVITA INDIA LIMITED,INE024L01027,13741,254.91
Goldiam International Ltd.,INE025B01025,53037,217.42
Artemis Medicare Services Limited,INE025R01021,2145,6.75
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,124177,247.96
RASHTRIYA CH,INE027A01015,262173,431.51
Max Healthcare Institute Limited,INE027H01010,25131,299.95
Bank Of Baroda,INE028A01039,170139,483.79
BHARAT PETRO,INE029A01011,56403,201.57
Kalyani Investment Company Limited,INE029L01018,1,0.06
ROSSARI BIOTECH LIMITED,INE02A801020,2521,16.14
Raymond Lifestyle Limited,INE02ID01020,10083,123.57
Azad Engineering Limited,INE02IJ01035,20505,356.59
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,13362,37.15
Borosil Limited,INE02PY01013,6249,21.86
Brainbees Solutions Limited,INE02RE01045,40672,149.65
WONDER ELECTRICALS LIMITED,INE02WG01024,13853,23.36
Electronics Mart India Limited,INE02YR01019,53196,80.25
"Hindustan Unilever Ltd.,",INE030A01027,17294,423.26
Housing &Urban Development Corporation Ltd.,INE031A01017,391100,939.15
Ajanta Pharma Ltd.,INE031B01049,1042,27.18
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,1007711,1319.85
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,19970,67.27
Arvind SmartSpaces Limited,INE034S01021,4449,30.96
SOTL,INE035D01020,962,4.54
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,41738,47.87
KARUR VYSYA,INE036D01028,43539,104.41
Concord Enviro Systems Limited,INE037Z01029,1098,5.89
Hindalco Industries Ltd.,INE038A01020,24724,192.81
T.V.Today Network Limited,INE038F01029,116,0.30
IFCI LTD,INE039A01010,579056,341.09
"Jamna Auto Industries Ltd.,",INE039C01032,83701,91.54
JASH ENGINEERING LIMITED,INE039O01029,8447,42.72
Max Estates Limited,INE03EI01018,2677,12.65
Go Digit General Insurance Limited,INE03JT01014,8037,28.96
Brigade Hotel Ventures Limited,INE03NU01014,3548,3.04
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1843,17.60
Cohance Lifesciences Limited,INE03QK01018,13513,97.40
Chemcon Speciality Chemicals Limited,INE03YM01018,154,0.39
HDFC Bank Ltd.,INE040A01034,87280,881.39
Mayur Uniquoters ltd.,INE040D01038,277,1.62
SUZLON ENERGY LTD.,INE040H01021,6773758,4073.29
"Dhampur Sugar Mills Ltd.,",INE041A01016,46296,67.29
Escorts Kubota Limited,INE042A01014,4493,167.27
Vijaya Diagnostic Centre Limited,INE043W01024,1255,12.87
Sun Pharmaceutical Industries Ltd.,INE044A01036,12668,209.25
Paras Defence and Space Technologies Limited,INE045601023,27426,202.37
ADOR WELDING,INE045A01017,708,7.80
Nelco Ltd,INE045B01015,12364,107.29
Fineotex Chemical Limited,INE045J01034,125795,40.80
Reliance Industrial Infrastructure,INE046A01015,6338,59.04
Muthoot Microfin Limited,INE046W01019,4006,6.89
GRASIM INDUS,INE047A01021,3483,99.08
JAGSONPAL PH,INE048B01035,5303,12.83
Navin Fluorent International Ltd,INE048G01026,807,42.99
"Himatsingka Seide Ltd.,",INE049A01027,75987,106.49
Wockhardt Ltd,INE049B01025,76159,1093.02
Nahar Capital & Financial Services Ltd.,INE049I01012,2,0.01
SBC EXPORTS LIMITED,INE04AK01028,418430,103.16
KPIT Technologies Ltd,INE04I401011,23225,304.37
ETHOS LIMITED,INE04TZ01018,482,13.67
Seshaasai Technologies Limited,INE04VU01023,2571,8.17
Prakash Pipes Limited,INE050001010,4021,17.89
Elin Electronics Limited,INE050401020,2459,5.22
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,3449,65.57
IL & FS Investment Managers Ltd.,INE050B01023,244,0.02
Balaji Amines Ltd.,INE050E01027,4571,69.77
Rane (Madras)  Ltd.,INE050H01012,2259,17.99
Vardhman Special Steels Ltd,INE050M01012,2827,8.34
Vakrangee Softwares Ltd.,INE051B01021,12950,1.24
Windsor Machines Limited,INE052A01021,1547,4.78
Camlin Fine Sciences Ltd,INE052I01032,6885,12.33
BEST AGROLIFE LIMITED,INE052T01013,454,1.71
Indian Hotels Co. Ltd,INE053A01029,80336,601.83
Indian Railway Finance Corporation,INE053F01010,1525084,2076.92
"V.I.P. Industries Ltd.,",INE054A01027,14109,62.33
Waterbase Limited,INE054C01015,29680,15.32
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,8064,170.74
Cyient DLM Limited,INE055S01018,28295,133.96
IVALUE INFOSOLUTIONS LIMITED,INE056801025,235,0.75
Refex Industries Limited,INE056I01025,34837,109.20
Sanofi India Ltd,INE058A01010,931,47.26
"Cipla Ltd.,",INE059A01026,16858,260.77
La Opala RG Ltd.,INE059D01020,5975,15.21
Hindware Home Innovation Limited,INE05AN01011,4663,15.14
Ratnaveer Precision Engineering Limited,INE05CZ01011,4139,6.50
Indogulf Cropsciences Limited,INE05J901018,525,0.60
Likhitha Infrastructure Limited,INE060901027,2358,6.91
Navneet Education Limited,INE060A01024,10379,14.94
FORTIS HEALTHCARE LIMITED,INE061F01013,17812,167.88
"State Bank Of India,",INE062A01020,77360,698.25
ALICON,INE062D01024,57,0.50
Pondy Oxides & Chemicals Limited,INE063E01053,3083,39.51
Equitas Small Finance Bank Limited,INE063P01018,238545,151.65
Trident Ltd.,INE064C01022,713719,217.89
AEROFLEX ENTERPRISES LIMITED,INE065D01027,6009,6.11
Indegene Limited,INE065X01017,10505,60.15
Eicher Motors Ltd.,INE066A01021,2952,201.86
Hindustan Aeronautics Limited,INE066F01020,97512,4583.73
Wonderla Holidays Limited,INE066O01014,11777,76.82
Inox Wind Limited,INE066P01011,501677,822.98
CG Power and Industrial Solutions Limited,INE067A01029,76372,552.96
CANTABIL RETAIL INDIA LIMITED,INE068L01024,1761,4.66
Gland Pharma Limited,INE068V01023,8635,155.41
EMBASSY DEVELOPMENTS LIMITED,INE069I01010,716439,644.72
ECOS (India) Mobility & Hospitality Limited,INE06HJ01020,689,1.82
INDIQUBE SPACES LIMITED,INE06ST01018,1084,2.52
LAXMI INDIA FINANCE LIMITED,INE06WU01026,3015,4.88
Gem Aromatics Limited,INE06XZ01023,3844,6.46
SHANTI GOLD INTERNATIONAL LIMITED,INE06ZD01017,5182,11.91
SHREE CEMENT,INE070A01015,176,49.87
Jai Corp Limited,INE070D01027,29103,47.71
INSECTCID,INE070I01018,514,4.91
Ugar Sugar Works Ltd.,INE071E01023,1881,1.12
Epigral Limited,INE071N01016,2441,42.59
Associated Alcohols & Breweries Ltd,INE073G01016,2520,27.94
Sona BLW Precision Forgings Limited,INE073K01018,51130,253.66
Praj Industries Ltd.,INE074A01025,133198,546.38
Paramount Communications Ltd.,INE074B01023,96809,48.28
WIPRO LTD.,INE075A01022,121514,319.61
G M BREWERIE,INE075D01018,1115,9.31
