SEBI REPORT For Trade date 02-Feb-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,387553.20,
2,Fresh Exposure taken during the day,6639.49,
3,Exposure liquidated during the day,9151.07,
4,Net scripwise outstanding at the end of the day,385041.61,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,18262,71.31
Reliance Industries Ltd,INE002A01018,228113,3333.40
SJVN LIMITED,INE002L01015,570770,513.02
Mahanagar Gas Limited,INE002S01010,28985,356.95
"Siemens Ltd.,",INE003A01024,11715,387.18
Protean eGov Technologies Limited,INE004A01022,54554,560.15
Avantel Limited,INE005B01027,304939,524.59
ASTRAL LIMITED,INE006I01046,7389,112.92
CRISIL Ltd.,INE007A01025,1560,77.34
Geojit Financial Services Limited,INE007B01023,47099,49.02
Fedbank Financial Services Limited,INE007N01010,66293,103.77
IDBI LTD,INE008A01015,941562,921.85
Infosys Ltd,INE009A01021,45093,717.10
Bikaji Foods International Limited,INE00E101023,12130,93.65
Hariom Pipe Industries Limited,INE00EV01017,9299,41.56
Prudent Corporate Advisory Services Limited,INE00F201020,270,7.15
ACUTAAS CHEMICALS LIMITED,INE00FF01025,2954,47.97
SWIGGY LIMITED,INE00H001014,234312,923.72
STOVE KRAFT LIMITED,INE00IN01015,6878,44.21
Craftsman Automation Limited,INE00LO01017,541,39.04
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,305175,770.49
Interarch Building Solutions Limited,INE00M901018,1390,30.45
Studds Accessories Limited,INE00Q601028,8789,46.31
DALMIA BHARAT LIMITED,INE00R701025,8948,189.70
Highway Infrastructure Limited,INE00RL01028,8383,5.00
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39352,52.83
Manorama Industries Limited,INE00VM01036,5320,77.38
AFFLE 3I LIMITED,INE00WC01027,8130,152.37
Flair Writing Industries Limited,INE00Y201027,1671,5.39
A B INFRABUILD LIMITED,INE00YB01025,1500,0.29
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2199,11.92
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,3360,39.32
PRISM JOHNSON LIMITED.,INE010A01011,18905,27.97
Zydus Lifesciences Limited,INE010B01027,17736,175.47
Tejas Networks Limited,INE010J01012,144572,822.94
L&T Technology Services Limited,INE010V01017,4890,208.85
BALU FORGE INDUSTRIES LIMITED,INE011E01029,15669,78.14
Tega Industries Limited,INE011K01018,3707,73.31
ACC,INE012A01025,14145,265.89
R&B Denims Limited,INE012Q01021,2390,3.65
Onesource Specialty Pharma Limited,INE013P01021,3015,49.21
WIM PLAST LT,INE015B01018,5942,30.06
Tinna Rubber and Infrastructure Limited,INE015C01016,336,2.92
DABUR INDIA,INE016A01026,29302,154.74
CEINSYS TECH LIMITED,INE016Q01014,700,7.70
"Great Eastern Shipping Co. Ltd.,",INE017A01032,11009,127.41
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,24192,919.53
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,16050,135.41
JSW SL,INE019A01038,8778,101.73
Himadri Speciality Chemical Ltd.,INE019C01026,60836,301.34
STANLEY LIFESTYLES LIMITED,INE01A001028,1749,4.64
Antony Waste Handling Cell Limited,INE01BK01022,3437,19.79
Vishal Mega Mart Limited,INE01EA01019,294875,412.87
Ritco Logistics Limited,INE01EG01016,84,0.25
Baazar Style Retail Limited,INE01FR01028,8343,26.65
Sky Gold And Diamonds Limited,INE01IU01018,16915,58.97
eMudhra Limited,INE01QM01018,7210,47.40
Vikran Engineering Limited,INE01R501028,507551,507.72
Canara HSBC Life Insurance Company Limited,INE01TY01017,8522,12.63
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,542880,2096.61
Asian Paints Ltd.,INE021A01026,11931,324.13
Dodla Dairy Limited,INE021O01019,478,6.05
ASIAN GRANITO INDIA LIMITED,INE022I01019,12095,8.64
Indian Energy Exchange Limited,INE022Q01020,240211,356.73
Nalwa Sons Investment Ltd,INE023A01030,48,3.07
Aeroflex Industries Limited,INE024001021,51702,100.49
SHILCHAR TEC,INE024F01011,2295,85.18
GRAVITA INDIA LIMITED,INE024L01027,13858,244.37
Goldiam International Ltd.,INE025B01025,54619,220.85
Artemis Medicare Services Limited,INE025R01021,2117,6.44
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,126285,248.45
RASHTRIYA CH,INE027A01015,226625,370.27
Max Healthcare Institute Limited,INE027H01010,34832,388.37
Bank Of Baroda,INE028A01039,137219,399.51
BHARAT PETRO,INE029A01011,125379,451.85
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,1969,12.66
Anand Rayons Limited,INE02GA01012,140,0.49
Raymond Lifestyle Limited,INE02ID01020,9277,109.14
Azad Engineering Limited,INE02IJ01035,21744,373.81
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,21691,56.07
Borosil Limited,INE02PY01013,5854,20.35
Brainbees Solutions Limited,INE02RE01045,37258,129.72
WONDER ELECTRICALS LIMITED,INE02WG01024,12943,21.90
Electronics Mart India Limited,INE02YR01019,55949,77.95
"Hindustan Unilever Ltd.,",INE030A01027,12445,308.60
Housing &Urban Development Corporation Ltd.,INE031A01017,590780,1327.03
Ajanta Pharma Ltd.,INE031B01049,2575,72.77
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,786691,960.17
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,15976,53.00
Arvind SmartSpaces Limited,INE034S01021,4068,28.31
SOTL,INE035D01020,1195,5.45
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,10184,13.64
KARUR VYSYA,INE036D01028,24038,63.48
Concord Enviro Systems Limited,INE037Z01029,529,2.79
Hindalco Industries Ltd.,INE038A01020,43064,383.69
T.V.Today Network Limited,INE038F01029,240,0.47
IFCI LTD,INE039A01010,672579,405.65
"Jamna Auto Industries Ltd.,",INE039C01032,71888,83.12
JASH ENGINEERING LIMITED,INE039O01029,8351,42.06
Jubilant Agri and Consumer Products Limited,INE03CC01015,60,1.17
Max Estates Limited,INE03EI01018,3590,16.75
VL E-Governance & IT Solutions Limited,INE03HW01020,5000,1.00
Go Digit General Insurance Limited,INE03JT01014,4308,15.21
Brigade Hotel Ventures Limited,INE03NU01014,2314,1.93
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,2787,26.13
Cohance Lifesciences Limited,INE03QK01018,11985,76.12
Chemcon Speciality Chemicals Limited,INE03YM01018,125,0.32
HDFC Bank Ltd.,INE040A01034,179971,1753.30
Mayur Uniquoters ltd.,INE040D01038,883,4.92
SUZLON ENERGY LTD.,INE040H01021,7176277,4112.55
"Dhampur Sugar Mills Ltd.,",INE041A01016,44423,63.56
Escorts Kubota Limited,INE042A01014,3903,143.96
GTL Ltd,INE043A01012,387,0.03
Vijaya Diagnostic Centre Limited,INE043W01024,2642,26.09
Sun Pharmaceutical Industries Ltd.,INE044A01036,21415,357.68
Paras Defence and Space Technologies Limited,INE045601023,36153,257.86
ADOR WELDING,INE045A01017,142,1.67
Nelco Ltd,INE045B01015,10444,87.27
Fineotex Chemical Limited,INE045J01034,131398,37.57
Reliance Industrial Infrastructure,INE046A01015,5556,51.52
Muthoot Microfin Limited,INE046W01019,4789,8.29
GRASIM INDUS,INE047A01021,2864,81.38
JAGSONPAL PH,INE048B01035,4305,10.44
Navin Fluorent International Ltd,INE048G01026,988,54.73
"Himatsingka Seide Ltd.,",INE049A01027,57854,76.76
Wockhardt Ltd,INE049B01025,76091,1088.37
SBC EXPORTS LIMITED,INE04AK01028,1529185,425.28
KPIT Technologies Ltd,INE04I401011,31649,385.29
ETHOS LIMITED,INE04TZ01018,549,15.48
Seshaasai Technologies Limited,INE04VU01023,1626,4.91
Prakash Pipes Limited,INE050001010,3852,16.74
Elin Electronics Limited,INE050401020,1301,2.80
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,3645,67.81
IL & FS Investment Managers Ltd.,INE050B01023,244,0.02
Balaji Amines Ltd.,INE050E01027,8055,109.72
Rane (Madras)  Ltd.,INE050H01012,2260,18.00
Vardhman Special Steels Ltd,INE050M01012,1850,5.52
Vakrangee Softwares Ltd.,INE051B01021,13950,1.31
Windsor Machines Limited,INE052A01021,2550,7.41
