SEBI REPORT For Trade date 07-Nov-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,335016.32,
2,Fresh Exposure taken during the day,11800.47,
3,Exposure liquidated during the day,7846.04,
4,Net scripwise outstanding at the end of the day,338970.75,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,23068,90.05
Reliance Industries Ltd,INE002A01018,107681,1528.03
SJVN LIMITED,INE002L01015,548224,547.85
Mahanagar Gas Limited,INE002S01010,19316,260.79
"Siemens Ltd.,",INE003A01024,15424,513.78
Protean eGov Technologies Limited,INE004A01022,65614,762.96
Avantel Limited,INE005B01027,328253,580.78
ASTRAL LIMITED,INE006I01046,6964,105.59
CRISIL Ltd.,INE007A01025,1892,96.48
Geojit Financial Services Limited,INE007B01023,45901,49.19
Fedbank Financial Services Limited,INE007N01010,53184,76.67
IDBI LTD,INE008A01015,952066,907.64
Infosys Ltd,INE009A01021,140055,2124.86
Bikaji Foods International Limited,INE00E101023,12190,95.44
Hariom Pipe Industries Limited,INE00EV01017,10470,50.85
Prudent Corporate Advisory Services Limited,INE00F201020,1138,30.29
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4359,68.40
SWIGGY LIMITED,INE00H001014,212183,916.04
STOVE KRAFT LIMITED,INE00IN01015,7637,49.97
Craftsman Automation Limited,INE00LO01017,440,27.91
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,253367,719.25
Interarch Building Solutions Limited,INE00M901018,351,6.96
DALMIA BHARAT LIMITED,INE00R701025,7529,164.08
Highway Infrastructure Limited,INE00RL01028,2171,1.73
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,37422,52.73
Manorama Industries Limited,INE00VM01036,7902,113.40
AFFLE 3I LIMITED,INE00WC01027,10818,206.51
Flair Writing Industries Limited,INE00Y201027,3114,10.19
Entero Healthcare Solutions Limited,INE010601016,1134,12.98
PRISM JOHNSON LIMITED.,INE010A01011,14561,23.27
Zydus Lifesciences Limited,INE010B01027,20929,213.09
Tejas Networks Limited,INE010J01012,130502,905.24
