SEBI REPORT For Trade date 18-Feb-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,391937.49,
2,Fresh Exposure taken during the day,8178.97,
3,Exposure liquidated during the day,11082.80,
4,Net scripwise outstanding at the end of the day,389033.66,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,16169,62.20
Reliance Industries Ltd,INE002A01018,199157,2921.08
SJVN LIMITED,INE002L01015,741515,643.57
Mahanagar Gas Limited,INE002S01010,24870,309.32
"Siemens Ltd.,",INE003A01024,10125,337.89
Protean eGov Technologies Limited,INE004A01022,45329,498.16
Avantel Limited,INE005B01027,310327,532.18
ASTRAL LIMITED,INE006I01046,6644,103.85
CRISIL Ltd.,INE007A01025,1695,83.32
Geojit Financial Services Limited,INE007B01023,45788,47.89
Fedbank Financial Services Limited,INE007N01010,71018,109.97
IDBI LTD,INE008A01015,873561,863.98
Infosys Ltd,INE009A01021,163162,2410.28
Bikaji Foods International Limited,INE00E101023,12980,99.01
Hariom Pipe Industries Limited,INE00EV01017,10190,45.08
Prudent Corporate Advisory Services Limited,INE00F201020,245,6.60
ACUTAAS CHEMICALS LIMITED,INE00FF01025,5805,107.79
SWIGGY LIMITED,INE00H001014,222388,885.20
STOVE KRAFT LIMITED,INE00IN01015,8068,50.35
Craftsman Automation Limited,INE00LO01017,754,58.45
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,296710,739.40
Interarch Building Solutions Limited,INE00M901018,1761,38.12
Studds Accessories Limited,INE00Q601028,6477,34.79
DALMIA BHARAT LIMITED,INE00R701025,4534,97.81
Highway Infrastructure Limited,INE00RL01028,10639,6.26
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39174,51.21
Manorama Industries Limited,INE00VM01036,5345,77.58
AFFLE 3I LIMITED,INE00WC01027,7632,141.23
Flair Writing Industries Limited,INE00Y201027,2838,9.16
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2332,12.53
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,2951,34.38
PRISM JOHNSON LIMITED.,INE010A01011,23315,33.35
Zydus Lifesciences Limited,INE010B01027,20001,195.57
Tejas Networks Limited,INE010J01012,154174,848.41
L&T Technology Services Limited,INE010V01017,5495,227.40
BALU FORGE INDUSTRIES LIMITED,INE011E01029,21732,107.74
Tega Industries Limited,INE011K01018,3914,76.38
ACC,INE012A01025,16431,302.10
R&B Denims Limited,INE012Q01021,43745,78.14
Onesource Specialty Pharma Limited,INE013P01021,2883,46.55
WIM PLAST LT,INE015B01018,930,4.31
Tinna Rubber and Infrastructure Limited,INE015C01016,332,2.82
DABUR INDIA,INE016A01026,21322,113.68
CEINSYS TECH LIMITED,INE016Q01014,150,1.89
"Great Eastern Shipping Co. Ltd.,",INE017A01032,8023,96.76
LARSEN & TOU,INE018A01030,16335,622.94
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,15214,128.48
JSW SL,INE019A01038,8686,102.88
Himadri Speciality Chemical Ltd.,INE019C01026,66786,329.42
STANLEY LIFESTYLES LIMITED,INE01A001028,3883,8.73
Antony Waste Handling Cell Limited,INE01BK01022,4306,24.32
Vishal Mega Mart Limited,INE01EA01019,287154,396.30
Ritco Logistics Limited,INE01EG01016,83,0.24
Baazar Style Retail Limited,INE01FR01028,108826,379.62
Sky Gold And Diamonds Limited,INE01IU01018,16762,59.22
eMudhra Limited,INE01QM01018,11809,69.62
Vikran Engineering Limited,INE01R501028,587919,571.73
Canara HSBC Life Insurance Company Limited,INE01TY01017,11017,16.42
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,587846,2254.14
Asian Paints Ltd.,INE021A01026,13008,343.46
Dodla Dairy Limited,INE021O01019,359,4.61
ASIAN GRANITO INDIA LIMITED,INE022I01019,13670,9.75
Indian Energy Exchange Limited,INE022Q01020,248740,364.60
Nalwa Sons Investment Ltd,INE023A01030,32,2.04
Aeroflex Industries Limited,INE024001021,37235,74.49
SHILCHAR TEC,INE024F01011,2453,92.72
GRAVITA INDIA LIMITED,INE024L01027,15080,264.71
Goldiam International Ltd.,INE025B01025,30556,117.78
Artemis Medicare Services Limited,INE025R01021,2584,7.10
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,123296,241.67
RASHTRIYA CH,INE027A01015,233251,377.47
Max Healthcare Institute Limited,INE027H01010,25375,290.87
Bank Of Baroda,INE028A01039,129385,375.13
BHARAT PETRO,INE029A01011,80722,296.70
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,1911,12.17
Raymond Lifestyle Limited,INE02ID01020,8871,104.89
Azad Engineering Limited,INE02IJ01035,22487,389.70
Borosil Scientific Limited,INE02L001032,282,0.35
Fino Payments Bank Limited,INE02NC01014,19442,50.25
Borosil Limited,INE02PY01013,6739,22.49
Brainbees Solutions Limited,INE02RE01045,58191,177.69
WONDER ELECTRICALS LIMITED,INE02WG01024,7532,12.54
Electronics Mart India Limited,INE02YR01019,55229,77.06
Corona Remedies Limited,INE02ZQ01018,16,0.24
"Hindustan Unilever Ltd.,",INE030A01027,16791,411.12
Housing &Urban Development Corporation Ltd.,INE031A01017,618772,1375.37
Ajanta Pharma Ltd.,INE031B01049,894,24.84
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,771825,937.83
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,18836,68.01
Arvind SmartSpaces Limited,INE034S01021,4232,29.26
SOTL,INE035D01020,1195,5.45
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,8003,10.70
KARUR VYSYA,INE036D01028,27208,76.69
Concord Enviro Systems Limited,INE037Z01029,649,3.14
Hindalco Industries Ltd.,INE038A01020,45316,404.52
T.V.Today Network Limited,INE038F01029,1240,1.76
IFCI LTD,INE039A01010,858930,534.70
"Jamna Auto Industries Ltd.,",INE039C01032,78926,101.61
JASH ENGINEERING LIMITED,INE039O01029,6994,35.21
Jubilant Agri and Consumer Products Limited,INE03CC01015,95,1.86
Max Estates Limited,INE03EI01018,3095,14.28
VL E-Governance & IT Solutions Limited,INE03HW01020,5000,1.00
Go Digit General Insurance Limited,INE03JT01014,6105,21.18
Brigade Hotel Ventures Limited,INE03NU01014,1609,1.38
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,2202,20.79
Cohance Lifesciences Limited,INE03QK01018,15072,82.19
Chemcon Speciality Chemicals Limited,INE03YM01018,125,0.32
HDFC Bank Ltd.,INE040A01034,201254,1945.55
Mayur Uniquoters ltd.,INE040D01038,3017,17.57
SUZLON ENERGY LTD.,INE040H01021,7382132,4147.87
"Dhampur Sugar Mills Ltd.,",INE041A01016,46258,65.48
Escorts Kubota Limited,INE042A01014,4196,155.57
GTL Ltd,INE043A01012,387,0.03
Vijaya Diagnostic Centre Limited,INE043W01024,1615,16.26
Sun Pharmaceutical Industries Ltd.,INE044A01036,21932,368.14
Paras Defence and Space Technologies Limited,INE045601023,38075,268.74
ADOR WELDING,INE045A01017,162,1.88
Nelco Ltd,INE045B01015,8991,75.41
Fineotex Chemical Limited,INE045J01034,125434,36.33
Reliance Industrial Infrastructure,INE046A01015,5525,50.55
Muthoot Microfin Limited,INE046W01019,5036,8.69
GRASIM INDUS,INE047A01021,3796,108.53
JAGSONPAL PH,INE048B01035,4226,10.26
Navin Fluorent International Ltd,INE048G01026,4914,318.18
"Himatsingka Seide Ltd.,",INE049A01027,67108,88.14
Wockhardt Ltd,INE049B01025,76694,1097.41
SBC EXPORTS LIMITED,INE04AK01028,464014,117.09
KPIT Technologies Ltd,INE04I401011,46358,501.94
ETHOS LIMITED,INE04TZ01018,529,14.98
Seshaasai Technologies Limited,INE04VU01023,1546,4.67
Prakash Pipes Limited,INE050001010,4282,17.61
Elin Electronics Limited,INE050401020,1305,2.81
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,3030,56.26
IL & FS Investment Managers Ltd.,INE050B01023,244,0.02
Balaji Amines Ltd.,INE050E01027,6887,93.94
Rane (Madras)  Ltd.,INE050H01012,2259,17.99
Vardhman Special Steels Ltd,INE050M01012,1850,5.52
Vakrangee Softwares Ltd.,INE051B01021,13950,1.31
Windsor Machines Limited,INE052A01021,1250,3.95
Camlin Fine Sciences Ltd,INE052I01032,11120,18.69
BEST AGROLIFE LIMITED,INE052T01021,3377,0.88
Indian Hotels Co. Ltd,INE053A01029,81256,594.73
Indian Railway Finance Corporation,INE053F01010,1688410,2181.92
"V.I.P. Industries Ltd.,",INE054A01027,14345,60.80
Waterbase Limited,INE054C01015,24230,13.72
